,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0014062,4.055265967326975e-14,3.1173283156292397,2.309062411016472,3.9255942202420075,66,nervous system inclusion bodies,brain
MP:0003634,1.676391375520864e-08,1.7535761545366668,1.1444540452259753,2.362698263847358,421,abnormal glial cell morphology,brain
MP:0003243,2.463750907763575e-07,2.734485371403336,1.6959117669906316,3.77305897581604,52,abnormal dopaminergic neuron morphology,brain
MP:0002272,3.560908688132257e-07,1.714816576747566,1.054642269823729,2.374990883671403,358,abnormal nervous system electrophysiology,brain
MP:0000953,8.387075570793736e-07,2.5979781334474943,1.5643198133464267,3.6316364535485617,59,abnormal oligodendrocyte morphology,brain
MP:0000952,2.289845987364586e-06,1.6686135211370132,0.9766072237231175,2.360619818550909,334,abnormal CNS glial cell morphology,brain
MP:0010160,2.693616326151335e-06,3.6977932219885865,2.153429519804965,5.242156924172209,11,increased oligodendrocyte number,brain
MP:0000136,8.821643621384087e-05,2.0387634965068466,1.0196361902983744,3.0578908027153187,100,abnormal microglial cell morphology,brain
MP:0002882,0.00012044641412187375,0.9433314523822673,0.46250130107485843,1.4241616036896763,1681,abnormal neuron morphology,brain
MP:0000937,0.0001939047628633695,1.7326802735601827,0.8214520050642925,2.643908542056073,169,abnormal motor neuron morphology,brain
MP:0000811,0.0002544653838636627,2.7161617655485415,1.2607266293197403,4.171596901777343,26,hippocampal neuron degeneration,brain
MP:0003203,0.00030206333355431767,1.678769840115157,0.7682104007020633,2.5893292795282505,178,increased neuron apoptosis,brain
MP:0011448,0.0005231394401614203,2.56179705607736,1.1142385413883191,4.009355570766401,30,decreased dopaminergic neuron number,brain
MP:0003871,0.0007376201244300919,2.01635241285655,0.8454653889043193,3.187239436808781,76,abnormal myelin sheath morphology,brain
MP:0000921,0.0015416144097593536,1.8874346791514185,0.7192581315869322,3.0556112267159046,86,demyelination,brain
MP:0003202,0.003195037412577039,1.3648261525978231,0.4575270824850971,2.272125222710549,241,abnormal neuron apoptosis,brain
MP:0011975,0.006086811160284163,2.8895701546468286,0.8249280119252114,4.954212297368446,11,neuronal cytoplasmic inclusions,brain
MP:0008948,0.0064542805219477695,1.0735846317012463,0.3010551505338095,1.846114112868683,453,decreased neuron number,brain
MP:0004811,0.006704532959823242,0.9512792308348477,0.26357985048503685,1.6389786111846585,663,abnormal neuron physiology,brain
MP:0004191,0.007733890004894038,2.7942065117721064,0.7380390002189379,4.850374023325275,12,neuronal intranuclear inclusions,brain
MP:0020393,0.007733890004894038,2.7942065117721064,0.7380390002189379,4.850374023325275,12,increased neuronal precursor proliferation,brain
MP:0003690,0.010104385919399236,1.525217765082786,0.36304937126840375,2.6873861588971684,122,abnormal glial cell physiology,brain
MP:0009939,0.011382897100869122,1.500158875430646,0.3383320338856628,2.6619857169756296,125,abnormal hippocampus neuron morphology,brain
MP:0010170,0.01172894309400155,2.627045492392483,0.5839845141695053,4.670106470615461,14,abnormal glial cell apoptosis,brain
MP:0001038,0.014078010253687413,2.552884048592089,0.5149951273984499,4.5907729697857285,15,abnormal cholinergic neuron morphology,brain
MP:0014325,0.014078010253687413,2.552884048592089,0.5149951273984499,4.5907729697857285,15,abnormal oligodendrocyte progenitor morphology,brain
MP:0014345,0.014078010253687413,2.552884048592089,0.5149951273984499,4.5907729697857285,15,abnormal neuron mitochondrial morphology,brain
MP:0003244,0.02250579530452434,2.3585676020536726,0.33259387610339886,4.384541328003946,18,loss of dopaminergic neurons,brain
MP:0003224,0.022839470001117083,0.9634865248251323,0.13382561719176,1.7931474324585046,429,neuron degeneration,brain
MP:0008946,0.023087693667419,0.8944780146751814,0.12284077378184766,1.6661152555685153,538,abnormal neuron number,brain
MP:0000778,0.024316468557194208,1.1578094067261677,0.15018409902648178,2.165434714425854,234,abnormal nervous system tract morphology,brain
