,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal dopaminergic neuron morphology:-log(OR_p),abnormal dopaminergic neuron morphology:log_OR,abnormal dopaminergic neuron morphology:num_genes,abnormal dopaminergic neuron morphology:gene_ids,abnormal nervous system electrophysiology:-log(OR_p),abnormal nervous system electrophysiology:log_OR,abnormal nervous system electrophysiology:num_genes,abnormal nervous system electrophysiology:gene_ids,abnormal oligodendrocyte morphology:-log(OR_p),abnormal oligodendrocyte morphology:log_OR,abnormal oligodendrocyte morphology:num_genes,abnormal oligodendrocyte morphology:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,increased oligodendrocyte number:-log(OR_p),increased oligodendrocyte number:log_OR,increased oligodendrocyte number:num_genes,increased oligodendrocyte number:gene_ids,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal motor neuron morphology:-log(OR_p),abnormal motor neuron morphology:log_OR,abnormal motor neuron morphology:num_genes,abnormal motor neuron morphology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C116,13.39198065702507,3.1173283156292397,7,APOE HSPA4 IMMT PINK1 PITRM1 PRKN PRNP,7.775624582133906,1.7535761545366668,12,ALDH5A1 APOE CNTNAP2 CTSF ERMN GDPD2 MOG PITRM1 PLP1 PRKN PRNP SOD1,6.608403202697629,2.734485371403336,4,CHCHD10 IMMT PINK1 PRKN,6.448439162733704,1.714816576747566,10,ALDH5A1 CNTNAP2 ERMN KCNAB1 PHYH PINK1 PLP1 PRKN PRNP SLC1A2,6.07638944380371,2.5979781334474943,4,ERMN GDPD2 MOG PLP1,5.640193726868419,1.6686135211370132,9,APOE CNTNAP2 ERMN GDPD2 MOG PLP1 PRKN PRNP SOD1,5.569664264330115,3.6977932219885865,2,GDPD2 PLP1,4.054450490923129,2.0387634965068466,4,APOE PLP1 PRNP SOD1,3.9192061250991355,0.9433314523822673,21,APOE CARNS1 CHCHD10 CNTNAP2 CTSF ENPP2 GM2A GPM6B IMMT LGI3 MICU1 MOG OTC PHYH PINK1 PITRM1 PLP1 PRKN PRNP SLC1A2 SOD1,3.712411523258194,1.7326802735601827,5,CHCHD10 CTSF PINK1 SLC1A2 SOD1,CD_1C_aminoacids-FTLD systems map,3,3,0.02857142857142857,0.02857142857142857,0.0,0.9428571428571428
C133,-0.0,0.0,0,,-0.0,0.0,0,,4.449094723190623,4.809310790176687,1,CHCHD10,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,CHCHD10,2.7428665699292694,3.610917912644225,1,CHCHD10,C133,0,1,0.0,0.25,0.0,0.75
C118,2.615897716065271,3.1792283540001307,1,APOE,2.15401555176877,2.076834544765556,2,ALDH5A1 APOE,-0.0,0.0,0,,2.443505594239462,2.243195025451426,2,ALDH5A1 SLC1A2,-0.0,0.0,0,,0.8481683355282319,1.5310704773841124,1,APOE,-0.0,0.0,0,,2.076555200284247,2.756680018923186,1,APOE,1.0489644744794104,1.1191975211448995,3,APOE GM2A SLC1A2,1.4802997956769521,2.224140809540545,1,SLC1A2,C118,0,1,0.0,0.07692307692307693,0.0,0.9230769230769231
C120,2.7211114864436494,3.2662930856649774,1,PITRM1,0.7293364556256254,1.3813035728503333,1,PITRM1,3.061735168531502,3.5096013895376448,1,CHCHD10,0.8569118841857684,1.5472427939638713,1,PHYH,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.1079731772943893,1.6307360243473035,4,CHCHD10 MICU1 PHYH PITRM1,1.56333029304825,2.311205836037953,1,CHCHD10,C120,1,1,0.08333333333333333,0.08333333333333333,0.0,0.8333333333333334
C121,2.9630858359067687,3.4670704819381566,1,IMMT,-0.0,0.0,0,,3.3147971168482444,3.710378706174862,1,IMMT,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.042981105783598476,0.12481294158464173,1,IMMT,-0.0,0.0,0,,C121,0,1,0.0,0.1,0.0,0.9
C122,-0.0,0.0,0,,0.9610465779918836,1.6999204405417316,1,CTSF,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.0866662034754491,0.24265435265331803,1,CTSF,1.8727357729734808,2.629820498412366,1,CTSF,C122,1,0,0.1111111111111111,0.0,0.0,0.8888888888888888
C125,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.333194636881137,2.1536495488458947,1,SLC1A2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.0320752828352369,1.406575683572294,2,OTC SLC1A2,2.1515274855791326,2.9176098439816087,1,SLC1A2,C125,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C129,3.8451277768683387,4.2782674003830286,1,APOE,1.488475200487928,2.3932850951415707,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.7259616680242813,2.630115713347651,1,APOE,-0.0,0.0,0,,3.2268519203278507,3.855719840731626,1,APOE,1.4466731956116547,1.917518027501825,2,APOE GM2A,-0.0,0.0,0,,C129,0,1,0.0,0.2,0.0,0.8
C141,4.073710476857645,4.566002804745972,1,PITRM1,1.691301457306355,2.6810215287142913,1,PITRM1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,PITRM1,-0.0,0.0,0,,C141,1,0,0.25,0.0,0.0,0.75
C127,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C127,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C137,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C137,1,0,0.25,0.0,0.0,0.75
C128,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.4791869833338538,2.336025287093552,1,SLC1A2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.2221359400720981,1.6297775966712233,2,OTC SLC1A2,2.322377779818913,3.099985033019279,1,SLC1A2,C128,1,0,0.16666666666666666,0.0,0.0,0.8333333333333334
