,abnormal nervous system dopamine level:-log(OR_p),abnormal nervous system dopamine level:log_OR,abnormal nervous system dopamine level:num_genes,abnormal nervous system dopamine level:gene_ids,increased neuron apoptosis:-log(OR_p),increased neuron apoptosis:log_OR,increased neuron apoptosis:num_genes,increased neuron apoptosis:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal nervous system tract morphology:-log(OR_p),abnormal nervous system tract morphology:log_OR,abnormal nervous system tract morphology:num_genes,abnormal nervous system tract morphology:gene_ids,abnormal glial cell apoptosis:-log(OR_p),abnormal glial cell apoptosis:log_OR,abnormal glial cell apoptosis:num_genes,abnormal glial cell apoptosis:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,loss of dopaminergic neurons:-log(OR_p),loss of dopaminergic neurons:log_OR,loss of dopaminergic neurons:num_genes,loss of dopaminergic neurons:gene_ids,demyelination:-log(OR_p),demyelination:log_OR,demyelination:num_genes,demyelination:gene_ids,dysmyelination:-log(OR_p),dysmyelination:log_OR,dysmyelination:num_genes,dysmyelination:gene_ids,abnormal neuron apoptosis:-log(OR_p),abnormal neuron apoptosis:log_OR,abnormal neuron apoptosis:num_genes,abnormal neuron apoptosis:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C165,4.585736588084403,3.3060187721494483,2,GCH1 PAH,4.489092017533968,1.6390697100404719,7,COPB2 GSTM1 KRAS PARK7 PINK1 PRKN PRNP,4.432861874543724,1.3689770687446057,10,AGA ASS1 ERMN GALC HSD17B4 KRAS PLP1 PRKN PRNP WASL,4.301693471306847,1.497577417809799,8,ATL1 GALC PAH PLP1 PRNP QPRT TUBG1 WASL,4.069853441673289,3.0181758892124773,2,GALC PLP1,3.990946433179541,1.2311425549419663,11,AGA ASS1 CTSF ERMN GALC HSD17B4 KRAS PLP1 PRKN PRNP WASL,3.5292493769231688,2.730279362545849,2,PARK7 PRKN,3.2822287275374693,1.7989960942096257,4,ERMN GALC HSD17B4 PLP1,3.204680925507307,2.5582682347713224,2,PAH PLP1,3.1222378241167448,1.3220000104144933,7,COPB2 GSTM1 KRAS PARK7 PINK1 PRKN PRNP,CD_1C_aminoacids-PD systems map,2,10,0.012987012987012988,0.06493506493506493,0.012987012987012988,0.9090909090909091
C192,6.7020924787086456,5.929801886715875,1,PAH,-0.0,0.0,0,,-0.0,0.0,0,,1.9348894147919875,2.7694184662329544,1,PAH,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,5.549153601870114,5.23612276295492,1,PAH,-0.0,0.0,0,,C192,1,1,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666667
C166,-0.0,0.0,0,,5.145715899542585,2.111438583432089,5,COPB2 KRAS PARK7 PINK1 PRKN,3.9419066825336886,1.66116365903242,6,AGA GALC HSD17B4 KRAS PRKN WASL,1.503324285834929,1.2780544698173575,3,GALC TUBG1 WASL,2.4406787455683894,3.0391995955397153,1,GALC,3.0244360490449225,1.4211649461431133,6,AGA GALC HSD17B4 KRAS PRKN WASL,5.496112772704501,3.5391460869131333,2,PARK7 PRKN,2.0138001812367814,1.8772816426662162,2,GALC HSD17B4,-0.0,0.0,0,,3.9013308441481804,1.7975013191400109,5,COPB2 KRAS PARK7 PINK1 PRKN,Fatty acid metabolism,0,7,0.0,0.1,0.014285714285714285,0.8857142857142857
C167,3.6230567693677256,3.8998971519460417,1,PAH,-0.0,0.0,0,,0.14860913189508468,0.3769825928020101,1,ASS1,1.3501013141338063,1.4636630544760898,2,PAH QPRT,-0.0,0.0,0,,0.050558641716219266,0.140143257918389,1,ASS1,-0.0,0.0,0,,-0.0,0.0,0,,2.6991904718363133,3.206217092763234,1,PAH,-0.0,0.0,0,,L-amino acid catabolic process,2,1,0.05128205128205128,0.02564102564102564,0.0,0.9230769230769231
C168,4.642949239739694,4.542709504645485,1,GCH1,-0.0,0.0,0,,-0.0,0.0,0,,0.7490151982073615,1.3823165028401867,1,ATL1,-0.0,0.0,0,,0.35131748050940426,0.7829770026340697,1,CTSF,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C168,0,0,0.0,0.0,0.047619047619047616,0.9523809523809523
C171,-0.0,0.0,0,,-0.0,0.0,0,,3.9911287507348248,2.48144793471012,3,ERMN PLP1 WASL,2.7623010691536254,2.367716110984478,2,PLP1 WASL,4.609997364847746,4.503542012706193,1,PLP1,3.3576626969310404,2.2433639202634676,3,ERMN PLP1 WASL,-0.0,0.0,0,,5.083653026416295,3.391574510415751,2,ERMN PLP1,3.947036877527714,4.072386488619648,1,PLP1,-0.0,0.0,0,,C171,0,0,0.0,0.0,0.058823529411764705,0.9411764705882353
C176,-0.0,0.0,0,,1.5988664037439448,2.3539009859963027,1,PINK1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.287977104934871,2.0460247862645584,1,PINK1,C176,0,2,0.0,0.18181818181818182,0.0,0.8181818181818181
C186,-0.0,0.0,0,,-0.0,0.0,0,,1.4011843828098949,2.224542385987176,1,ASS1,-0.0,0.0,0,,-0.0,0.0,0,,1.1803801708616328,1.987711255925328,1,ASS1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C186,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C196,-0.0,0.0,0,,2.4539223884024857,3.270513692651881,1,COPB2,1.7259616680242813,2.630115713347651,1,GALC,2.1226718982179023,2.992615834515667,1,GALC,6.499990649044635,5.890474807557069,1,GALC,1.488475200487928,2.3932850951415707,1,GALC,-0.0,0.0,0,,3.445481970370522,4.008936177827927,1,GALC,-0.0,0.0,0,,2.088342598037017,2.962638585124078,1,COPB2,C196,0,1,0.0,0.2,0.0,0.8
C211,-0.0,0.0,0,,6.2046266808607085,5.766945049613841,3,PARK7 PINK1 PRKN,1.935489248385824,2.9178518910341262,1,PRKN,-0.0,0.0,0,,-0.0,0.0,0,,1.691301457306355,2.6810215287142913,1,PRKN,11.155307035323247,7.0690234265782586,2,PARK7 PRKN,-0.0,0.0,0,,-0.0,0.0,0,,5.622202343276992,5.456074978944102,3,PARK7 PINK1 PRKN,intrinsic apoptotic signaling pathway in response to oxidative stress,0,3,0.0,0.75,0.0,0.25
