,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
GCH1,1,1,CD_1C_aminoacids,PD,13.534291452419534,17.079324159089186,231.15655097946322,2
MCCC1,1,1,CD_1C_aminoacids,PD,11.074257772928574,12.460165528375915,137.98708495459366,2
SDHC,0,1,CD_1C_aminoacids,PD,3.5651990125618935,15.768582219526724,56.218133758557705,1
PARK7,0,1,CD_1C_aminoacids,PD,2.2115594848354525,20.954874221625786,46.34295083837043,1
CRLS1,0,1,CD_1C_aminoacids,PD,3.0594993583710615,11.76268642844284,35.98793158054087,1
PRKN,0,1,CD_1C_aminoacids,PD,2.1912050680707984,15.325248449892642,33.580762072848906,1
TUBG1,0,1,CD_1C_aminoacids,PD,1.6445420693068438,20.16051449015216,33.15481421792544,1
GALC,0,1,CD_1C_aminoacids,PD,2.3086758871019892,12.249042455784746,28.279068957758778,1
ACMSD,0,1,CD_1C_aminoacids,PD,3.4312406036691803,7.668360417118416,26.31198962678624,1
ASS1,1,0,CD_1C_aminoacids,PD,11.519943940367126,2.139960383646615,24.65222365421553,1
GTF2H2C_2,0,0,CD_1C_aminoacids,PD,5.5154647549924904,4.4358061061413965,24.465532238403352,0
MVK,0,1,CD_1C_aminoacids,PD,1.6163501829495015,14.880219677209489,24.05164579758633,1
GAS2,0,0,CD_1C_aminoacids,PD,3.648389435829574,5.7049969411798305,20.81405057164053,0
RMC1,0,0,CD_1C_aminoacids,PD,5.086351951479823,4.063354209777703,20.667649614456575,0
GRID1,0,0,CD_1C_aminoacids,PD,5.650523222885863,3.5479617032845194,20.04783999831886,0
PINK1,0,1,CD_1C_aminoacids,PD,1.7137588033376205,10.768432120958959,18.45449534543702,1
ACLY,0,0,CD_1C_aminoacids,PD,4.853958810131042,3.7077204163537436,17.997122180462988,0
TOX3,0,1,CD_1C_aminoacids,PD,1.9802088153213286,8.608726939122555,17.04707697354468,1
PAH,1,0,CD_1C_aminoacids,PD,9.420270698122755,1.7439394885902308,16.428382063665733,1
RIMKLA,0,0,CD_1C_aminoacids,PD,6.098082174217117,2.59266028113683,15.81025544420124,0
