,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0002912,1.971625095532825e-06,2.2312206067860743,1.311787059354446,3.1506541542177025,107,abnormal excitatory postsynaptic potential,brain
MP:0010050,2.3912573784995445e-06,3.717508605228243,2.1729058240214476,5.262111386435039,11,hypermyelination,brain
MP:0001038,1.229140190419973e-05,3.349569989968998,1.8480821045263374,4.851057875411659,15,abnormal cholinergic neuron morphology,brain
MP:0002882,8.339047141786881e-05,0.967546264749453,0.4855576609861062,1.4495348685127998,1681,abnormal neuron morphology,brain
MP:0003861,0.00031944246038698404,0.9607968907330253,0.4375607163238867,1.4840330651421638,1333,abnormal nervous system development,brain
MP:0003204,0.0003917618427002801,2.122350908361014,0.9491322397425248,3.295569576979503,70,decreased neuron apoptosis,brain
MP:0000939,0.0006553887425184379,2.0362623190242592,0.8650537005560337,3.207470937492485,76,decreased motor neuron number,brain
MP:0008947,0.001474177844926574,1.8953147850641168,0.7270516817060722,3.063577888422161,87,increased neuron number,brain
MP:0000778,0.0022454869744654325,1.4156255821635053,0.5076206074627015,2.323630556864309,234,abnormal nervous system tract morphology,brain
MP:0003202,0.0027827079969607433,1.3851370850236737,0.47740609441112647,2.292868075636221,241,abnormal neuron apoptosis,brain
MP:0000937,0.003351825087279612,1.5135619160200875,0.5022973845852508,2.5248264474549242,169,abnormal motor neuron morphology,brain
MP:0003635,0.0036225769875882037,0.8680468359185536,0.2832498284285617,1.4528438434085453,1083,abnormal synaptic transmission,brain
MP:0021009,0.003899269593797071,0.8611293395356654,0.2763522092941647,1.445906469777166,1090,abnormal synaptic physiology,brain
MP:0004981,0.00552364927871892,2.0207724726777663,0.5934089756579639,3.4481359696975686,51,decreased neuronal precursor cell number,brain
MP:0004793,0.0057559719429345554,2.9090951580705884,0.8442776328428478,4.9739126832983285,11,abnormal synaptic vesicle clustering,brain
MP:0006006,0.006493339886903117,1.9806599971200516,0.5543738484606318,3.4069461457794716,53,increased sensory neuron number,brain
MP:0001025,0.007321550232979368,2.8137315209118556,0.7573879040642475,4.870075137759464,12,abnormal sympathetic neuron morphology,brain
MP:0012205,0.007321550232979368,2.8137315209118556,0.7573879040642475,4.870075137759464,12,abnormal neuronal stem cell self-renewal,brain
MP:0012203,0.007321550232979368,2.8137315209118556,0.7573879040642475,4.870075137759464,12,abnormal neuronal stem cell morphology,brain
MP:0004494,0.013367350236173532,2.5724090748834723,0.5343424689797591,4.610475680787186,15,abnormal synaptic glutamate release,brain
MP:0014325,0.013367350236173532,2.5724090748834723,0.5343424689797591,4.610475680787186,15,abnormal oligodendrocyte progenitor morphology,brain
MP:0003691,0.014722796058551958,1.7687078166139614,0.3474600813090152,3.1899555519189073,65,abnormal microglial cell physiology,brain
MP:0012204,0.015832774486227063,2.5033627346089116,0.46978882642869824,4.536936642789125,16,abnormal neuronal stem cell physiology,brain
MP:0004297,0.015832774486227063,2.5033627346089116,0.46978882642869824,4.536936642789125,16,abnormal proprioceptive neuron morphology,brain
MP:0003224,0.020166740960527153,0.9840047278947033,0.15386181694503587,1.8141476388443707,429,neuron degeneration,brain
MP:0004811,0.022888999445470775,0.8424949772547876,0.11675654940290658,1.5682334051066686,663,abnormal neuron physiology,brain
MP:0014376,0.024544012331616013,2.3208807542965246,0.2978286053888217,4.3439329032042275,19,decreased miniature excitatory postsynaptic current frequency,brain
MP:0004979,0.02510027748619739,1.6208468800629277,0.20254069933215546,3.0391530607936996,75,abnormal neuronal precursor cell number,brain
MP:0003871,0.026325724447002836,1.6071875900099766,0.18913212019752135,3.025243059822432,76,abnormal myelin sheath morphology,brain
MP:0002272,0.034461844172879626,0.976149882199346,0.07139476209866935,1.8809050023000227,358,abnormal nervous system electrophysiology,brain
MP:0014489,0.03512903587368645,2.1665696252110003,0.15106664537032044,4.18207260505168,22,abnormal cochlear sensory neuron innervation pattern,brain
MP:0004980,0.03904703828268666,2.1199961207686266,0.10655691711607096,4.133435324421182,23,increased neuronal precursor cell number,brain
MP:0002888,0.03904703828268666,2.1199961207686266,0.10655691711607096,4.133435324421182,23,abnormal NMDA-mediated synaptic currents,brain
MP:0002206,0.04825886934537892,0.6604701545336447,0.005055408747358547,1.3158849003199307,995,abnormal CNS synaptic transmission,brain
MP:0000920,0.05031564223867238,1.1564498369234304,-0.0015912811331830756,2.3144909549800436,178,abnormal myelination,brain
MP:0002751,0.052504723665506625,1.3994808902834404,-0.01515112230504756,2.814112902871928,93,abnormal autonomic nervous system morphology,brain
MP:0000968,0.060120437210887605,1.3562487285666194,-0.05775493153658795,2.7702523886698267,97,abnormal sensory neuron innervation pattern,brain
MP:0002752,0.07368157588904665,0.5979501805418312,-0.05729428031657047,1.253194641400233,1055,abnormal somatic nervous system morphology,brain
MP:0014374,0.07646761377203111,1.809413178975829,-0.19242956648440623,3.811255924436064,31,abnormal miniature excitatory postsynaptic current frequency,brain
MP:0008236,0.07646761377203111,1.809413178975829,-0.19242956648440623,3.811255924436064,31,decreased susceptibility to neuronal excitotoxicity,brain
MP:0008946,0.07669336158867847,0.7487573588041165,-0.0802648577627516,1.5777795753709847,538,abnormal neuron number,brain
MP:0003634,0.07956701206921099,0.8084961556475463,-0.09534813617340565,1.7123404474684982,421,abnormal glial cell morphology,brain
MP:0002913,0.10435804750370856,1.65499489765911,-0.34227368005362435,3.6522634753718446,36,abnormal PNS synaptic transmission,brain
MP:0000952,0.11369884802403923,0.8114810286786174,-0.19401239565261008,1.8169744530098448,334,abnormal CNS glial cell morphology,brain
MP:0002915,0.1139247485798679,1.1382051340681478,-0.2730088585685433,2.549419126704839,120,abnormal synaptic depression,brain
MP:0003690,0.11934802462399183,1.121290477306669,-0.289731271744855,2.5323122263581928,122,abnormal glial cell physiology,brain
MP:0001105,0.12855454925163964,1.546567180255746,-0.4478813132804784,3.5410156737919705,40,abnormal PNS glial cell morphology,brain
MP:0000940,0.13482132279292955,1.5211958319153993,-0.4726352368508877,3.5150269006816863,41,abnormal motor neuron innervation pattern,brain
MP:0014378,0.14528841244013435,2.110828165406545,-0.729883408647146,4.951539739460236,11,increased excitatory postsynaptic current frequency,brain
MP:0005192,0.14528841244013435,2.110828165406545,-0.729883408647146,4.951539739460236,11,increased motor neuron number,brain
MP:0014373,0.14528841244013435,2.110828165406545,-0.729883408647146,4.951539739460236,11,increased miniature excitatory postsynaptic current amplitude,brain
MP:0014372,0.14528841244013435,2.110828165406545,-0.729883408647146,4.951539739460236,11,decreased miniature excitatory postsynaptic current amplitude,brain
MP:0020874,0.14528841244013435,2.110828165406545,-0.729883408647146,4.951539739460236,11,abnormal nervous system dopamine level,brain
MP:0011975,0.14528841244013435,2.110828165406545,-0.729883408647146,4.951539739460236,11,neuronal cytoplasmic inclusions,brain
MP:0006277,0.14528841244013435,2.110828165406545,-0.729883408647146,4.951539739460236,11,abnormal parasympathetic nervous system physiology,brain
MP:0011452,0.14528841244013435,2.110828165406545,-0.729883408647146,4.951539739460236,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0004562,0.14528841244013435,2.110828165406545,-0.729883408647146,4.951539739460236,11,abnormal inner hair cell synaptic ribbon morphology,brain
MP:0010160,0.14528841244013435,2.110828165406545,-0.729883408647146,4.951539739460236,11,increased oligodendrocyte number,brain
MP:0021105,0.14528841244013435,2.110828165406545,-0.729883408647146,4.951539739460236,11,abnormal ventral interneuron 3 morphology,brain
MP:0000954,0.14528841244013435,2.110828165406545,-0.729883408647146,4.951539739460236,11,decreased oligodendrocyte progenitor number,brain
MP:0003407,0.14528841244013435,2.110828165406545,-0.729883408647146,4.951539739460236,11,abnormal central nervous system regeneration,brain
