,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
MCEE,0,0,CD_1D_vitaminreposn,FTLD,7.0838920861032655,4.137481259127748,29.309470747935627,0
IMMP2L,0,1,CD_1D_vitaminreposn,FTLD,2.064888117220109,12.205828841700379,25.2036709360496,1
CSF1R,0,1,CD_1D_vitaminreposn,FTLD,1.8484419399381768,12.651708831540608,23.385949216105885,1
NACAD,0,0,CD_1D_vitaminreposn,FTLD,4.878721407855783,3.9410187521628117,19.227132554937793,0
CARNS1,0,0,CD_1D_vitaminreposn,FTLD,5.579135607417979,3.404223880440461,18.99262666698798,0
SRP54,0,0,CD_1D_vitaminreposn,FTLD,5.10505960206198,3.6357021272406795,18.560476054907195,0
ATL1,0,0,CD_1D_vitaminreposn,FTLD,5.973889131598654,2.6773229669761482,15.994030574198275,0
CLP1,0,0,CD_1D_vitaminreposn,FTLD,2.88522893427413,4.986863207996318,14.388242018978088,0
RSAD1,0,0,CD_1D_vitaminreposn,FTLD,3.7854480501706274,3.7306412021045903,14.122148464393026,0
AFAP1L2,0,0,CD_1D_vitaminreposn,FTLD,5.225618345061968,2.435911684898864,12.729144787558312,0
SESN2,0,0,CD_1D_vitaminreposn,FTLD,5.097129421921451,2.476267801810803,12.621857469166601,0
SLC49A4,0,0,CD_1D_vitaminreposn,FTLD,1.8880999268944854,6.528555605570211,12.326565361603697,0
ANO10,0,0,CD_1D_vitaminreposn,FTLD,4.329718319054693,2.696898805234807,11.676812161661857,0
DDX1,0,0,CD_1D_vitaminreposn,FTLD,1.843874758041123,5.947857025941098,10.967103434570335,0
RAB17,0,0,CD_1D_vitaminreposn,FTLD,4.138510719711345,2.5458420436336566,10.535994588269725,0
MCCC1,0,0,CD_1D_vitaminreposn,FTLD,5.150302512792915,1.8910052632289003,9.739249158912433,0
DYNLL2,0,0,CD_1D_vitaminreposn,FTLD,3.689166752609603,2.635846185957736,9.724076114228108,0
RELN,0,0,CD_1D_vitaminreposn,FTLD,2.603980271131391,3.68567224628991,9.597417815195444,0
NPAS3,0,0,CD_1D_vitaminreposn,FTLD,4.2570793347447315,2.2047337534316793,9.385726500348188,0
NUPR1,0,0,CD_1D_vitaminreposn,FTLD,4.54917934394308,2.0612550383712316,9.377018843157007,0
HM13,0,0,CD_1D_vitaminreposn,FTLD,4.301958281056086,2.0636442363895653,8.877711411889754,0
LMBRD1,0,0,CD_1D_vitaminreposn,FTLD,4.220070363569535,2.0986939522374453,8.85663615003986,0
RSAD2,0,0,CD_1D_vitaminreposn,FTLD,4.327061188734774,2.0333379645067056,8.79837778979793,0
SPTBN4,0,0,CD_1D_vitaminreposn,FTLD,2.6796940344717664,3.2392555975545516,8.68021390089621,0
RTN1,0,0,CD_1D_vitaminreposn,FTLD,2.9863224879326866,2.834632120831923,8.465125647456697,0
FOLR2,0,0,CD_1D_vitaminreposn,FTLD,4.377548026298843,1.9312924409917158,8.45432541326916,0
GPR162,0,0,CD_1D_vitaminreposn,FTLD,1.5178393815622218,5.420598664991551,8.22759812536778,0
DNAJA3,0,0,CD_1D_vitaminreposn,FTLD,2.6303694586495974,3.1071994304962796,8.173082483910836,0
DYNC1I1,0,0,CD_1D_vitaminreposn,FTLD,2.2052933397071834,3.6587966076725698,8.068719790243554,0
NPRL2,0,0,CD_1D_vitaminreposn,FTLD,3.444973955479066,2.340500901451553,8.062964648275877,0
TRAPPC1,0,0,CD_1D_vitaminreposn,FTLD,3.311864515380708,2.4292695026026583,8.045411463966285,0
MIEF2,0,0,CD_1D_vitaminreposn,FTLD,3.3245053696594984,2.377757810609837,7.904868609122215,0
