z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,368,230.12,14.583744375159625,1.6249876510431067e-21,1.5991656527029376
2,1.5,192,111.06,9.69723671980838,3.5096086834352236e-17,1.728795245813074
2,2.0,85,46.75,6.5059588071244345,2.060950568978175e-09,1.8181818181818181
3,1.0,287,164.29,11.375671408756496,1.9814147636362414e-27,1.7469109501491267
3,1.5,181,102.75,8.726253491619413,1.5208330249641825e-19,1.7615571776155718
3,2.0,85,46.54,6.865012745800257,1.0575065385789924e-08,1.8263859045981952
4,1.0,214,115.5,8.885381252371786,7.365940959398458e-29,1.852813852813853
4,1.5,158,85.17,9.04771241806458,4.1550008861365755e-16,1.8551133028061524
4,2.0,85,46.35,6.863490365695867,8.945636125915843e-09,1.8338727076591155
5,1.0,158,83.93,8.609593486338364,3.8764002173879786e-18,1.8825211485761943
5,1.5,134,67.79,7.912389019758824,2.932958644804261e-17,1.9766927275409352
5,2.0,84,43.63,5.964318904954697,6.502394950827467e-12,1.925280770112308
9,1.0,58,25.84,5.307956292208894,6.855799156699033e-10,2.2445820433436534
9,1.5,55,24.93,4.554678912942163,2.0282080717525174e-11,2.206177296430004
9,2.0,47,21.19,4.004235257823896,5.754343673275137e-11,2.2180273714016043
12,1.0,29,13.82,3.4623113667028846,5.816513436688712e-06,2.098408104196816
12,1.5,28,12.76,3.0858386218336173,3.93245848067796e-07,2.19435736677116
12,2.0,25,11.18,3.332806625053425,1.6868374567557972e-05,2.23613595706619
