,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
APOE,0,1,CD_1E_mineral_abs,FTLD,2.362037875413819,10.21478338405306,24.12770524228107,1
IMMP2L,0,1,CD_1E_mineral_abs,FTLD,1.9462120826160976,12.205828841700379,23.755131570061323,1
MLLT11,0,0,CD_1E_mineral_abs,FTLD,5.984239197718757,3.8250117072081578,22.8897849900082,0
SEPT3,0,0,CD_1E_mineral_abs,FTLD,4.247053628048152,4.747403272188325,20.162476290955095,0
STEAP1B,0,0,CD_1E_mineral_abs,FTLD,5.492771164411986,3.2352216197009,17.770332023175342,0
ATP8B4,0,0,CD_1E_mineral_abs,FTLD,4.638400052438137,3.6966820224890418,17.14669008696029,0
ALDH18A1,0,0,CD_1E_mineral_abs,FTLD,4.450586173429525,3.72003990420059,16.556358162241242,0
ALDH5A1,0,0,CD_1E_mineral_abs,FTLD,4.731593200931191,3.4243903611004702,16.202822149917292,0
ATP8B2,0,0,CD_1E_mineral_abs,FTLD,5.136550338907005,3.047786744064702,15.655110033141824,0
NLRC3,0,0,CD_1E_mineral_abs,FTLD,2.8676067209578644,4.825357766421653,13.83722836201696,0
SLC30A2,0,0,CD_1E_mineral_abs,FTLD,6.1408106823359665,2.215220030451428,13.603246826720735,0
SLC40A1,0,0,CD_1E_mineral_abs,FTLD,4.580167028514902,2.7371291643021647,12.536508751123323,0
HSPA12A,0,0,CD_1E_mineral_abs,FTLD,6.649987157767087,1.8433342965847623,12.258149399760295,0
DNAJB9,0,0,CD_1E_mineral_abs,FTLD,3.5491943681617704,3.425181692626447,12.156635573400585,0
OSBPL11,0,0,CD_1E_mineral_abs,FTLD,2.8977015323877002,3.911105215743283,11.333215576988838,0
CASP7,0,0,CD_1E_mineral_abs,FTLD,4.294735508790337,2.633407217527723,11.309787486221072,0
MT1G,0,0,CD_1E_mineral_abs,FTLD,6.626188633116438,1.65672088128382,10.977745071809496,0
SEC11A,0,0,CD_1E_mineral_abs,FTLD,3.0891036248753903,3.435653070768698,10.61308835472585,0
PCLO,0,0,CD_1E_mineral_abs,FTLD,3.0930788595703924,3.3419532337956204,10.336924897126142,0
BBC3,0,0,CD_1E_mineral_abs,FTLD,3.2930964227516,3.117044069665436,10.264726675374337,0
SNCA,0,0,CD_1E_mineral_abs,FTLD,3.8004518324757415,2.661382419621078,10.114455693567649,0
SEC24A,0,0,CD_1E_mineral_abs,FTLD,3.758751707944145,2.543858153358094,9.561731178702374,0
TP53TG3C,0,0,CD_1E_mineral_abs,FTLD,1.5538761840947932,6.1399578519813,9.540734277539565,0
HSPH1,0,0,CD_1E_mineral_abs,FTLD,3.060147895707388,3.115493616213122,9.533871233744387,0
HSPA4L,0,0,CD_1E_mineral_abs,FTLD,3.092304305821412,3.0398514017893055,9.400145578810324,0
GPR180,0,0,CD_1E_mineral_abs,FTLD,3.379634511861603,2.7780922153584804,9.388936328159577,0
PHF20L1,0,0,CD_1E_mineral_abs,FTLD,3.2385488453363824,2.863459383141593,9.273453078940836,0
HSPA2,0,0,CD_1E_mineral_abs,FTLD,3.65119941037545,2.5297943753460412,9.236783731634596,0
LRP8,0,0,CD_1E_mineral_abs,FTLD,4.150894619820872,2.208006415115174,9.165201949031546,0
PLIN2,0,0,CD_1E_mineral_abs,FTLD,4.425338223073806,2.033425667323507,8.998596329386075,0
NAMPT,0,0,CD_1E_mineral_abs,FTLD,2.6229435378786397,3.424604470881319,8.982544166688454,0
HSPA1L,0,0,CD_1E_mineral_abs,FTLD,3.3205551001823035,2.648539338111894,8.794620807200912,0
SESN2,0,0,CD_1E_mineral_abs,FTLD,3.5392939406454897,2.476267801810803,8.764239626364501,0
RICTOR,0,0,CD_1E_mineral_abs,FTLD,2.8016872058668674,3.1149413714708682,8.727091387475324,0
SV2B,0,0,CD_1E_mineral_abs,FTLD,3.0378292897084718,2.8575344964432845,8.680701989647758,0
MANSC1,0,0,CD_1E_mineral_abs,FTLD,5.053461961111766,1.7100008711698234,8.641424355924684,0
SLC30A10,0,0,CD_1E_mineral_abs,FTLD,5.375394627890679,1.5976778734636634,8.58814905811638,0
CCDC177,0,0,CD_1E_mineral_abs,FTLD,2.668256283017259,3.1908032058235007,8.513880701810168,0
HSPA6,0,0,CD_1E_mineral_abs,FTLD,2.8637883895442724,2.9400162038795217,8.4195842697422,0
RESF1,0,0,CD_1E_mineral_abs,FTLD,2.4251971403340398,3.4578683107638852,8.386012338916272,0
CASP8,0,0,CD_1E_mineral_abs,FTLD,3.9311692528671354,2.103511880042994,8.26926122586576,0
SOD3,0,0,CD_1E_mineral_abs,FTLD,2.873252642491849,2.8715444754418806,8.250672752096254,0
CYB5R3,0,0,CD_1E_mineral_abs,FTLD,4.173740054472768,1.9164312994487542,7.998686076154561,0
LAMC1,0,0,CD_1E_mineral_abs,FTLD,2.0165983797892046,3.8390177979928133,7.741757071414227,0
SLC31A2,0,0,CD_1E_mineral_abs,FTLD,4.44345599868673,1.7174315239649094,7.631331407495569,0
PXDN,0,0,CD_1E_mineral_abs,FTLD,1.733941328286765,4.317096691015014,7.485592370760972,0
AZGP1,0,0,CD_1E_mineral_abs,FTLD,3.0325787730449756,2.46056306911399,7.461851333133484,0
PSEN1,0,0,CD_1E_mineral_abs,FTLD,3.6753832347012616,2.021239502393496,7.428829780412976,0
DCTN4,0,0,CD_1E_mineral_abs,FTLD,4.3244886968049,1.7138416819603255,7.411488981750526,0
OTC,0,0,CD_1E_mineral_abs,FTLD,2.5162197306783174,2.9439362796637836,7.407590552749733,0
HSPA4,0,0,CD_1E_mineral_abs,FTLD,2.464681720661211,3.0009749336213254,7.396448063058971,0
ATRN,0,0,CD_1E_mineral_abs,FTLD,4.637525807708956,1.5387425730750572,7.135958394056062,0
RAB11FIP5,0,0,CD_1E_mineral_abs,FTLD,4.498930198364845,1.559152043515923,7.014516212416045,0
TNFAIP3,0,0,CD_1E_mineral_abs,FTLD,2.4309546544222216,2.8620141243875032,6.95742655670194,0
IRAK1BP1,0,0,CD_1E_mineral_abs,FTLD,1.7742344719426397,3.716338444220248,6.593655777141243,0
HSPA1A,0,0,CD_1E_mineral_abs,FTLD,2.341237348363226,2.733048366857201,6.398714911369199,0
TUT7,0,0,CD_1E_mineral_abs,FTLD,3.365561847733319,1.8911680738517034,6.364843117006601,0
MT1B,0,0,CD_1E_mineral_abs,FTLD,3.9596769867055728,1.596984127432663,6.323541297529196,0
PXDNL,0,0,CD_1E_mineral_abs,FTLD,2.754614418490967,2.291297186044651,6.311640265726375,0
KHK,0,0,CD_1E_mineral_abs,FTLD,3.8142683937100164,1.6445890186995762,6.2729039146683645,0
PRNP,0,0,CD_1E_mineral_abs,FTLD,2.9820743148605846,2.05940832417404,6.1413086673294845,0
LOC102724985,0,0,CD_1E_mineral_abs,FTLD,1.8707263126099638,3.2553880514752027,6.089940085650741,0
B2M,0,0,CD_1E_mineral_abs,FTLD,2.5354180386727974,2.390097902776189,6.059897336892771,0
CASP9,0,0,CD_1E_mineral_abs,FTLD,3.8407746576289097,1.5717139556139772,6.036599129763853,0
DICER1,0,0,CD_1E_mineral_abs,FTLD,1.6896639847846857,3.557225623755846,6.0105160222134915,0
HM13,0,0,CD_1E_mineral_abs,FTLD,2.909115832522386,2.0636442363895653,6.0033801207744535,0
HAMP,0,0,CD_1E_mineral_abs,FTLD,3.9527193709210655,1.5084806877296786,5.9626008350494315,0
YWHAH,0,0,CD_1E_mineral_abs,FTLD,2.8859470111779575,2.0435672948097623,5.897626926597257,0
MITF,0,0,CD_1E_mineral_abs,FTLD,3.4782742893212384,1.6813314459763455,5.848131940366823,0
IFNA1,0,0,CD_1E_mineral_abs,FTLD,2.9435104803671917,1.9669724644308424,5.789804063645867,0
TXNDC11,0,0,CD_1E_mineral_abs,FTLD,1.7692331879455196,3.24888134376782,5.748028697091064,0
IRAK1,0,0,CD_1E_mineral_abs,FTLD,3.4275892054864956,1.6209642089728693,5.555999425155363,0
AKR1E2,0,0,CD_1E_mineral_abs,FTLD,2.578899509023111,2.1472136600031533,5.537448253549849,0
APBB2,0,0,CD_1E_mineral_abs,FTLD,3.5153747206227526,1.5440592684133685,5.427946919323617,0
SWI5,0,0,CD_1E_mineral_abs,FTLD,2.5671933046027333,2.067256006340102,5.307045778376096,0
PKN2,0,0,CD_1E_mineral_abs,FTLD,2.103772189091091,2.4929174065584094,5.24453030961867,0
IL34,0,0,CD_1E_mineral_abs,FTLD,1.598546166479126,3.243592431531761,5.185032247045804,0
CD276,0,0,CD_1E_mineral_abs,FTLD,1.5202443629505236,3.3841203691715664,5.144689914779119,0
SLC9A9,0,0,CD_1E_mineral_abs,FTLD,1.9636489120870213,2.570599245526918,5.04775441189065,0
ANO10,0,0,CD_1E_mineral_abs,FTLD,1.8295553374782207,2.696898805234807,4.9341256037559775,0
HSPA8,0,0,CD_1E_mineral_abs,FTLD,2.2029892344648183,2.1910046553687987,4.826759668439763,0
FTH1,0,0,CD_1E_mineral_abs,FTLD,2.615066114704213,1.8430280203479545,4.819640124462323,0
SOD1,0,0,CD_1E_mineral_abs,FTLD,2.6529867872065718,1.8112853842423184,4.805316192255249,0
LCMT2,0,0,CD_1E_mineral_abs,FTLD,1.5463175722340317,3.0145362639412197,4.661430397069035,0
TRHDE,0,0,CD_1E_mineral_abs,FTLD,1.5902473631716088,2.920773567083875,4.6447524634764665,0
UPK1B,0,0,CD_1E_mineral_abs,FTLD,2.644883498840374,1.7325906416459738,4.582500398334692,0
UBXN8,0,0,CD_1E_mineral_abs,FTLD,1.6366848784240988,2.7345151666846443,4.475539623134112,0
TEK,0,0,CD_1E_mineral_abs,FTLD,2.471818989236607,1.787430040904898,4.418203517040692,0
SEC24D,0,0,CD_1E_mineral_abs,FTLD,1.9803604574366143,2.216316783602323,4.389106119399142,0
SOS2,0,0,CD_1E_mineral_abs,FTLD,2.4736528011991568,1.7634993926648492,4.362285212578416,0
TMEM51,0,0,CD_1E_mineral_abs,FTLD,2.413872690622781,1.8002206256739706,4.345503405410254,0
SEC23A,0,0,CD_1E_mineral_abs,FTLD,2.5744649191625832,1.6534844203041659,4.256837634454955,0
BAX,0,0,CD_1E_mineral_abs,FTLD,2.5467085138324417,1.653131492867801,4.210044047370963,0
NOMO2,0,0,CD_1E_mineral_abs,FTLD,1.6242816250809182,2.5336417218706426,4.115347693372863,0
SELENOK,0,0,CD_1E_mineral_abs,FTLD,1.7490667076515891,2.3297172075261696,4.074830805927052,0
TNFSF10,0,0,CD_1E_mineral_abs,FTLD,2.564476595936861,1.5545599686871185,3.9866326566784553,0
EDEM1,0,0,CD_1E_mineral_abs,FTLD,1.9201339220931581,2.0364375869237006,3.9102328908777317,0
KCNH2,0,0,CD_1E_mineral_abs,FTLD,2.000366966412983,1.9469329215815236,3.8945803021535985,0
SLC22A3,0,0,CD_1E_mineral_abs,FTLD,2.303898993790791,1.6868724076754364,3.886383642696887,0
CNDP1,0,0,CD_1E_mineral_abs,FTLD,1.51130442134122,2.566767867434297,3.8791676266100272,0
INSR,0,0,CD_1E_mineral_abs,FTLD,2.153350278975372,1.7906682700998162,3.8559360189717857,0
UBIAD1,0,0,CD_1E_mineral_abs,FTLD,2.090843169619002,1.8349465673287095,3.8365854969150663,0
LAMP3,0,0,CD_1E_mineral_abs,FTLD,2.373885862642786,1.6104181462877214,3.822948870415824,0
F3,0,0,CD_1E_mineral_abs,FTLD,2.5042092105482032,1.505238830656371,3.7694329438044916,0
LYST,0,0,CD_1E_mineral_abs,FTLD,2.47417537206099,1.519362780541997,3.7591699728431154,0
PON1,0,0,CD_1E_mineral_abs,FTLD,1.8870880475788667,1.9765125541014954,3.72985321673451,0
AKR1B15,0,0,CD_1E_mineral_abs,FTLD,2.0030606824240658,1.8453984652372124,3.6964451091223745,0
C17orf67,0,0,CD_1E_mineral_abs,FTLD,1.86248833388926,1.9407425562637801,3.614610370123711,0
SYT1,0,0,CD_1E_mineral_abs,FTLD,1.960345231226362,1.8425859849397002,3.6121046487010706,0
PTK7,0,0,CD_1E_mineral_abs,FTLD,2.0988704945194656,1.6943562905013734,3.556234425336785,0
TNFRSF1A,0,0,CD_1E_mineral_abs,FTLD,2.2715918060913953,1.5122847136422917,3.435293563987102,0
SYT15,0,0,CD_1E_mineral_abs,FTLD,2.0363911752706247,1.682235107040207,3.4256887267071123,0
ZFAND2A,0,0,CD_1E_mineral_abs,FTLD,1.6917893410705178,2.0038986502587517,3.3901743770933535,0
CCDC184,0,0,CD_1E_mineral_abs,FTLD,1.9365504463708594,1.7467160451450132,3.3826037369087176,0
MEGF10,0,0,CD_1E_mineral_abs,FTLD,1.7880249417662393,1.8042643208009026,3.226069607130937,0
DNM2,0,0,CD_1E_mineral_abs,FTLD,1.576879194355969,1.9663883672475464,3.10075690433626,0
RPL9P7,0,0,CD_1E_mineral_abs,FTLD,1.7169075827142877,1.8014478813966788,3.0929195274345465,0
RPL9P8,0,0,CD_1E_mineral_abs,FTLD,1.7169075827142877,1.8014478813966788,3.0929195274345465,0
