,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0000952,9.0297477460407e-11,1.79701777737181,1.2536834259232958,2.340352128820324,334,abnormal CNS glial cell morphology,brain
MP:0002916,1.3505598372520905e-10,3.7851015288453382,2.629792592921784,4.940410464768893,15,increased synaptic depression,brain
MP:0003634,1.4137903375007187e-09,1.625178444645492,1.0990233373847405,2.1513335519062435,421,abnormal glial cell morphology,brain
MP:0002752,3.4760812430920297e-09,1.2628532324350399,0.8438603479239413,1.6818461169461385,1055,abnormal somatic nervous system morphology,brain
MP:0010160,2.3025287961442596e-08,3.8095615093558353,2.4732762989225274,5.145846719789143,11,increased oligodendrocyte number,brain
MP:0002882,2.382860289029838e-08,1.0789696817600554,0.7000938325496986,1.4578455309704121,1681,abnormal neuron morphology,brain
MP:0003224,2.86775551042828e-08,1.5311503609812132,0.9903638937743902,2.0719368281880364,429,neuron degeneration,brain
MP:0004191,3.852118551758246e-08,3.691724864457206,2.3755544423875214,5.007895286526891,12,neuronal intranuclear inclusions,brain
MP:0001900,1.245647016796322e-07,2.5187952332293717,1.5849843087291533,3.45260615772959,54,impaired synaptic plasticity,brain
MP:0021010,1.871475130862758e-07,2.478682441061303,1.5465191141278865,3.4108457679947195,56,impaired synaptic physiology,brain
MP:0002915,3.407943940095669e-07,2.0294136517547274,1.2493993795366616,2.8094279239727933,120,abnormal synaptic depression,brain
MP:0001081,1.3419921408522067e-06,1.794357716873586,1.0667429312033347,2.5219725025438375,172,abnormal cranial ganglia morphology,brain
MP:0008946,2.6517381532372863e-06,1.2914437021353482,0.752447016032096,1.8304403882386004,538,abnormal neuron number,brain
MP:0003635,4.9818062049883235e-06,1.039963061318364,0.5935132243707001,1.4864128982660278,1083,abnormal synaptic transmission,brain
MP:0000965,5.54896319793368e-06,1.2887822093583878,0.7327551610804051,1.8448092576363706,501,abnormal sensory neuron morphology,brain
MP:0021009,5.7554447579568106e-06,1.032983235944652,0.5865599294871482,1.4794065424021559,1090,abnormal synaptic physiology,brain
MP:0004859,7.214428255323521e-06,2.1052063880423635,1.185686074405585,3.0247267016791417,79,abnormal synaptic plasticity,brain
MP:0003202,7.23953912826083e-06,1.568275950388319,0.8831651506394065,2.2533867501372313,241,abnormal neuron apoptosis,brain
MP:0008948,7.84156237200165e-06,1.3118258224024597,0.7365597497209077,1.8870918950840117,453,decreased neuron number,brain
MP:0000811,8.74374668644418e-06,2.7527043945515173,1.5392399634746523,3.9661688256283822,26,hippocampal neuron degeneration,brain
MP:0000966,1.125243872877739e-05,1.6247428721471326,0.8996212144905518,2.3498645298037135,202,decreased sensory neuron number,brain
MP:0002206,1.517269240377551e-05,1.023771930790046,0.5599533912474535,1.4875904703326384,995,abnormal CNS synaptic transmission,brain
MP:0004811,1.8135844526452075e-05,1.143375393319813,0.6205998395348737,1.6661509471047522,663,abnormal neuron physiology,brain
MP:0000953,3.377925921517644e-05,2.173301706461431,1.1459943516994529,3.2006090612234095,59,abnormal oligodendrocyte morphology,brain
MP:0002751,3.52524112589972e-05,1.9311812088994111,1.0161625760723538,2.8461998417264684,93,abnormal autonomic nervous system morphology,brain
MP:0004769,3.883237835047728e-05,2.1552294562996153,1.1285293124629516,3.1819296001362787,60,abnormal synaptic vesicle morphology,brain
MP:0003203,4.32364431904327e-05,1.6120061619447164,0.8394180600927498,2.384594263796683,178,increased neuron apoptosis,brain
MP:0000920,4.32364431904327e-05,1.6120061619447164,0.8394180600927498,2.384594263796683,178,abnormal myelination,brain
MP:0004753,4.5342340050813226e-05,1.7353747498174172,0.9014071728603612,2.569342326774473,135,abnormal miniature excitatory postsynaptic currents,brain
MP:0004948,7.56165463271521e-05,1.8437390295337073,0.9307103101372596,2.756767748930155,101,abnormal neuronal precursor proliferation,brain
MP:0014062,8.43118382855982e-05,2.053124233362463,1.0296620766359077,3.0765863900890187,66,nervous system inclusion bodies,brain
MP:0010281,0.00010689750148922812,2.0212680023847325,0.9987521886695432,3.0437838160999218,68,increased nervous system tumor incidence,brain
MP:0003861,0.00034451844453333173,0.813900073802234,0.36822194468492525,1.2595782029195426,1333,abnormal nervous system development,brain
MP:0000938,0.00036455087076006746,2.149509104296552,0.9675871558069433,3.3314310527861606,45,motor neuron degeneration,brain
MP:0009939,0.00047780501959598525,1.619301956426547,0.7106663468192304,2.5279375660338634,125,abnormal hippocampus neuron morphology,brain
MP:0009967,0.0006570359824410094,1.578210267468453,0.6702795208502619,2.4861410140866442,130,abnormal neuron proliferation,brain
MP:0004981,0.000789943691917495,2.015655425586628,0.8385799625573347,3.1927308886159214,51,decreased neuronal precursor cell number,brain
MP:0004792,0.000789943691917495,2.015655425586628,0.8385799625573347,3.1927308886159214,51,abnormal synaptic vesicle number,brain
MP:0014383,0.0013238369182151115,2.3853138081916745,0.9292327672462322,3.841394849137117,24,decreased miniature inhibitory postsynaptic current frequency,brain
MP:0000136,0.0017846338433541449,1.6140807971983033,0.601395580913068,2.6267660134835387,100,abnormal microglial cell morphology,brain
MP:0006069,0.0030870876159427804,0.9767676916441026,0.3297671870249237,1.6237681962632815,473,abnormal retina neuronal layer morphology,brain
MP:0003245,0.003596787451165749,2.143829811145576,0.7006544034199527,3.587005218871199,30,abnormal GABAergic neuron morphology,brain
MP:0008235,0.0047446214559797644,2.0747296032124307,0.6347264959006802,3.5147327105241812,32,increased susceptibility to neuronal excitotoxicity,brain
MP:0003204,0.004765008704761238,1.6811425587170685,0.5137473082914008,2.8485378091427362,70,decreased neuron apoptosis,brain
MP:0009937,0.00540865820954749,1.0203777096540403,0.3014096196241389,1.7393457996839417,360,abnormal neuron differentiation,brain
MP:0004979,0.006826939757690392,1.608900133448298,0.44321144656277967,2.7745888203338165,75,abnormal neuronal precursor cell number,brain
MP:0003871,0.007305023241867803,1.5950530175076167,0.42967786130748276,2.7604281737077505,76,abnormal myelin sheath morphology,brain
MP:0014381,0.008657068713225751,1.9203105318539961,0.4866730799995491,3.3539479837084434,37,abnormal miniature inhibitory postsynaptic current frequency,brain
MP:0002945,0.010680543890773381,1.5157417825554926,0.35208261473109026,2.679400950379895,82,abnormal inhibitory postsynaptic currents,brain
MP:0000921,0.013452316404600973,1.4661337535584362,0.3034819231551187,2.6287855839617538,86,demyelination,brain
MP:0011975,0.018630444447777256,2.4748777595858575,0.41325739016785157,4.5364981290038635,11,neuronal cytoplasmic inclusions,brain
MP:0010050,0.018630444447777256,2.4748777595858575,0.41325739016785157,4.5364981290038635,11,hypermyelination,brain
MP:0000954,0.018630444447777256,2.4748777595858575,0.41325739016785157,4.5364981290038635,11,decreased oligodendrocyte progenitor number,brain
MP:0020874,0.018630444447777256,2.4748777595858575,0.41325739016785157,4.5364981290038635,11,abnormal nervous system dopamine level,brain
MP:0014373,0.018630444447777256,2.4748777595858575,0.41325739016785157,4.5364981290038635,11,increased miniature excitatory postsynaptic current amplitude,brain
MP:0011452,0.018630444447777256,2.4748777595858575,0.41325739016785157,4.5364981290038635,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
