z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,379,259.38,14.261682930145376,2.4827469015396133e-17,1.4611766520163467
2,1.5,182,128.89,10.566830177494099,2.502707016079876e-07,1.412056792613857
2,2.0,85,55.4,6.654321903845651,4.32890134131244e-06,1.5342960288808665
3,1.0,274,187.92,13.859783548093382,2.6361925941175136e-10,1.458067262664964
3,1.5,171,120.77,9.621699434091674,8.922445447986063e-08,1.4159145483149789
3,2.0,85,54.93,6.76499076126494,4.395753622289884e-06,1.547423994174404
4,1.0,207,136.06,9.89122843735802,3.695197807362503e-13,1.5213876231074526
4,1.5,148,101.52,9.772901309232587,9.872916430837291e-07,1.4578408195429473
4,2.0,85,55.05,7.1657169913414815,1.4599597911571142e-05,1.544050862851953
5,1.0,153,98.43,9.300811792526499,2.215681743797819e-09,1.5544041450777202
5,1.5,122,79.11,8.39868442078877,1.6387155915289889e-07,1.5421564909619516
5,2.0,77,50.86,6.123757016734089,9.834240481152735e-06,1.5139598898938262
9,1.0,47,36.72,5.639290735544674,0.03415743004154705,1.2799564270152506
9,1.5,40,30.87,4.644685134645835,0.024667353719198124,1.2957563977972142
9,2.0,35,25.06,4.351597407849215,0.011179341722969941,1.3966480446927374
12,1.0,29,22.36,4.274388845203487,0.060159211036533045,1.29695885509839
12,1.5,25,18.65,4.341370751272,0.07177862106569602,1.3404825737265416
12,2.0,22,15.52,3.915303308812742,0.04895776704331547,1.4175257731958764
