,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0010762,0.00010843413325008887,2.859600099229411,1.4116906317542506,4.307509566704571,35,abnormal microglial cell activation,brain
MP:0014379,0.0019941516521663886,3.2509722588589725,1.1896398653257463,5.312304652392198,12,decreased excitatory postsynaptic current frequency,brain
MP:0003691,0.0024149543371660086,2.211369084722385,0.7827299248317143,3.640008244613056,65,abnormal microglial cell physiology,brain
MP:0003204,0.003369203094925685,2.1347285474077857,0.7076593799118156,3.561797714903756,70,decreased neuron apoptosis,brain
MP:0020448,0.010164456903697392,2.6526549378806425,0.6298003343604788,4.675509541400807,21,increased microglial cell activation,brain
MP:0014551,0.010164456903697392,2.6526549378806425,0.6298003343604788,4.675509541400807,21,impaired neuronal migration,brain
MP:0014377,0.011547359332692082,2.6038113905535845,0.5832187974253955,4.624403983681773,22,abnormal excitatory postsynaptic current frequency,brain
MP:0002882,0.011947217678094622,0.8034911728550522,0.17699872732398125,1.4299836183861232,1681,abnormal neuron morphology,brain
MP:0002888,0.013026761061004477,2.557237988911151,0.5387039682861161,4.575772009536186,23,abnormal NMDA-mediated synaptic currents,brain
MP:0006069,0.014040026726218397,1.1476715620548426,0.23188277051772754,2.0634603535919576,473,abnormal retina neuronal layer morphology,brain
MP:0008917,0.01627271931097071,2.4701198313554826,0.45519337266286275,4.4850462900481025,25,abnormal oligodendrocyte physiology,brain
MP:0008571,0.02601556427709641,2.2806108304070616,0.2725440980048246,4.288677562809299,30,abnormal synaptic bouton morphology,brain
MP:0003202,0.029485026460592794,1.2937950249846768,0.12895292018443527,2.4586371297849183,241,abnormal neuron apoptosis,brain
MP:0020551,0.030535434613721858,2.213812635420118,0.2078749611874433,4.2197503096527935,32,abnormal postsynaptic density morphology,brain
MP:0003690,0.030695630999596185,1.5639576491096747,0.14549118918642168,2.9824241090329275,122,abnormal glial cell physiology,brain
MP:0006009,0.042368756606799715,1.4680032431596999,0.05056293234935527,2.8854435539700445,134,abnormal neuronal migration,brain
