,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0014062,0.004984178460270765,1.6737612641249022,0.5055105239268018,2.842012004323003,66,nervous system inclusion bodies,brain
MP:0020551,0.0063065320948988805,2.0060012415627977,0.5665613913916099,3.4454410917339855,32,abnormal postsynaptic density morphology,brain
MP:0000921,0.018452177077470187,1.3969788404692398,0.23503343980165536,2.5589242411368245,86,demyelination,brain
MP:0014373,0.022117992832600155,2.4065696624719406,0.3453378451189697,4.467801479824912,11,increased miniature excitatory postsynaptic current amplitude,brain
MP:0011975,0.022117992832600155,2.4065696624719406,0.3453378451189697,4.467801479824912,11,neuronal cytoplasmic inclusions,brain
MP:0000938,0.02372876821531684,1.6453001272080723,0.21937065816950652,3.071229596246638,45,motor neuron degeneration,brain
MP:0014379,0.027331892691080415,2.311205836037953,0.25846272911775214,4.363948942958153,12,decreased excitatory postsynaptic current frequency,brain
MP:0014375,0.027331892691080415,2.311205836037953,0.25846272911775214,4.363948942958153,12,increased miniature excitatory postsynaptic current frequency,brain
MP:0012205,0.027331892691080415,2.311205836037953,0.25846272911775214,4.363948942958153,12,abnormal neuronal stem cell self-renewal,brain
MP:0002882,0.03387084500126989,0.4790770320596778,0.036500151670611325,0.9216539124487442,1681,abnormal neuron morphology,brain
MP:0000937,0.0510104281512932,0.9991723811434525,-0.0043890998200433184,2.0027338621069486,169,abnormal motor neuron morphology,brain
MP:0012204,0.05337553005569734,2.0008362924312184,-0.029096719468796106,4.030769304331233,16,abnormal neuronal stem cell physiology,brain
MP:0002110,0.08698554934454597,0.7178093202310745,-0.10419810015343711,1.539816740615586,335,abnormal digit morphology,neg_ctrl
MP:0014371,0.09554522197991133,1.7128858860631038,-0.3012153463585965,3.726987118484804,21,abnormal miniature excitatory postsynaptic current amplitude,brain
MP:0014377,0.10498704174761597,1.6640420464689534,-0.3477873337182902,3.675871426656197,22,abnormal excitatory postsynaptic current frequency,brain
