z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,285,334.4,18.18790807102345,0.9966971047182122,0.8522727272727273
2,1.5,161,170.61,11.06697338932375,0.8073984642107503,0.9436727038274426
2,2.0,44,64.36,7.493357058088184,0.9967068985054842,0.6836544437538844
3,1.0,204,229.62,13.009058382527153,0.9755462375737541,0.888424353279331
3,1.5,153,155.95,10.599410360958764,0.6096156277787997,0.9810836806668805
3,2.0,44,64.37,7.629750978898328,0.996205312578157,0.6835482367562529
4,1.0,117,156.66,10.949173484788703,0.9998539409707694,0.7468402910762161
4,1.5,93,121.19,10.322494853474135,0.996842195691612,0.7673900486838848
4,2.0,44,65.74,8.400738062813291,0.9951713989919984,0.6693033160937025
5,1.0,91,104.55,9.568045777482464,0.9216374467119794,0.8703969392635104
5,1.5,76,91.24,9.473246539597712,0.9461635053776826,0.8329679964927664
5,2.0,41,59.44,7.442203974630096,0.9933895094935884,0.689771197846568
9,1.0,28,28.95,5.082076347321044,0.5741428175297032,0.9671848013816926
9,1.5,27,27.52,4.528752587633818,0.5457068569494533,0.9811046511627907
9,2.0,19,23.37,4.886010642640886,0.814443421015025,0.8130081300813008
12,1.0,15,14.57,3.386015357318983,0.4494729984583545,1.029512697323267
12,1.5,15,12.64,2.981677380267691,0.21432590786119077,1.1867088607594936
12,2.0,11,11.09,3.1720498104538017,0.5113175992287474,0.9918845807033364
