Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C88,YRDC ACSL1 CD55 SLC2A5 RTN4 METTL17 DNHD1 ALDH1L1 TFRC ACSM3 OSGEP TYRP1 ABCB4 DNAH8 INSIG1 MTERF2 MX1 PLA2G6 PTK2 AC108488.2 SLC22A3 TUBB4A NCKAP1L TMC6 CIB1 PLIN3 RIMBP2 POLG PPP3CA SPAG9 HBE1 E4F1 P2RX4 TMEM70 IFIT1 MAP4K5 RAB10 LMBRD1 LAMP2 IRS2 DCAKD MGME1 PDK4 MCCC1 LPIN2 COQ3 GRID1 ATP6AP1 PIGY CDK11A OGDHL KMT2E SLC2A4 NEIL1 PAH CAPN15 MCM3AP INPP5A CHMP7 ADARB1 FKBP15 ZNF839 COX19 PNPLA5 RIMS1 MT-CO1 WDR5 PMEL RHAG SLC30A7 GAS2 RNASEK,C88,,,,0,6,6,0.0,0.08333333333333333,0.013888888888888888,0.9027777777777778
C89,YRDC ACSL1 CD55 SLC2A5 RTN4 ALDH1L1 TFRC ACSM3 TYRP1 ABCB4 INSIG1 MX1 PTK2 SLC22A3 NCKAP1L TMC6 CIB1 PLIN3 RIMBP2 PPP3CA HBE1 P2RX4 TMEM70 IFIT1 MAP4K5 RAB10 LMBRD1 LAMP2 IRS2 DCAKD PDK4 MCCC1 LPIN2 GRID1 ATP6AP1 PIGY OGDHL SLC2A4 PAH INPP5A FKBP15 COX19 RIMS1 MT-CO1 PMEL RHAG SLC30A7 GAS2 RNASEK,C89,,,,0,4,4,0.0,0.08163265306122448,0.0,0.9183673469387755
C91,METTL17 DNHD1 OSGEP MTERF2 DNAH8 PLA2G6 AC108488.2 TUBB4A POLG E4F1 MGME1 DCAKD COQ3 CDK11A NEIL1 CAPN15 MCM3AP CHMP7 ADARB1 ZNF839 PNPLA5,C91,,,,0,2,2,0.0,0.09523809523809523,0.047619047619047616,0.8571428571428572
C90,YRDC ACSL1 CD55 SLC2A5 RTN4 TFRC INSIG1 MX1 PTK2 SLC22A3 NCKAP1L TMC6 TMEM70 P2RX4 IFIT1 RAB10 LMBRD1 LAMP2 IRS2 DCAKD PDK4 MCCC1 LPIN2 GRID1 ATP6AP1 SLC2A4 FKBP15 SLC30A7 RNASEK,import into cell,7.267700226513016e-06,0.01193058568329718,11.0,0,3,3,0.0,0.10344827586206896,0.0,0.896551724137931
C101,INPP5A RAB10 RIMS1 CIB1 PLIN3 PPP3CA,C101,,,,0,1,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C98,IFIT1 FKBP15 SLC2A5 MX1 NCKAP1L MCCC1 TMC6 TMEM70,C98,,,,0,1,1,0.0,0.125,0.0,0.875
C92,YRDC ACSL1 CD55 RTN4 TFRC INSIG1 PTK2 SLC22A3 P2RX4 RAB10 LMBRD1 LAMP2 IRS2 DCAKD PDK4 LPIN2 GRID1 SLC2A4 SLC30A7,cellular response to insulin stimulus,9.560335049541095e-06,0.028985507246376812,6.0,0,2,2,0.0,0.10526315789473684,0.0,0.8947368421052632
C93,YRDC INSIG1 ACSL1 CD55 LMBRD1 RTN4 LAMP2 LPIN2 ATP6AP1 TFRC RNASEK P2RX4,C93,,,,0,1,1,0.0,0.08333333333333333,0.0,0.9166666666666666
C97,NEIL1 MTERF2 MCM3AP CHMP7 ADARB1 MGME1 ZNF839 AC108488.2 POLG,C97,,,,0,1,1,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777778
C99,MTERF2 CAPN15 CHMP7 MGME1 AC108488.2 POLG CDK11A E4F1,C99,,,,0,0,0,0.0,0.0,0.125,0.875
C102,NEIL1 MCM3AP ADARB1 PLA2G6 ZNF839 PNPLA5,C102,,,,0,2,2,0.0,0.3333333333333333,0.0,0.6666666666666667
C110,DNAH8 PLA2G6 DNHD1 PNPLA5 TUBB4A,C110,,,,0,1,1,0.0,0.2,0.0,0.8
C104,SLC2A4 IRS2 PTK2 DCAKD SLC22A3 SLC30A7,C104,,,,0,1,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C105,YRDC INSIG1 CD55 IRS2 PDK4 SLC30A7,C105,,,,0,1,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C100,INSIG1 ACSL1 CD55 LMBRD1 RTN4 LAMP2 LPIN2 P2RX4,C100,,,,0,1,1,0.0,0.125,0.0,0.875
C113,NEIL1 ZNF839 MCM3AP ADARB1,C113,,,,0,1,1,0.0,0.25,0.0,0.75
C108,MTERF2 CHMP7 MGME1 AC108488.2 POLG,C108,,,,0,0,0,0.0,0.0,0.2,0.8
C114,MX1 TMEM70 IFIT1 MCCC1,C114,,,,0,1,1,0.0,0.25,0.0,0.75
C109,ACSL1 CD55 LMBRD1 LAMP2 RTN4,C109,,,,0,1,1,0.0,0.2,0.0,0.8
C115,IRS2 YRDC SLC30A7 PDK4,C115,,,,0,1,1,0.0,0.25,0.0,0.75
