,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
SPTLC2,0,1,CD_1H_other_IEMs,ALS,1.9168808067892196,14.225330541419915,27.26826308508033,1
SQSTM1,0,1,CD_1H_other_IEMs,ALS,1.5488541615768638,17.025588799062028,26.37015406472366,1
SLC25A35,0,0,CD_1H_other_IEMs,ALS,6.862166585292259,2.6205216612617908,17.98245617994522,0
CMAS,0,0,CD_1H_other_IEMs,ALS,4.648600317690188,3.5615941489658125,16.55642769236599,0
ST8SIA3,0,0,CD_1H_other_IEMs,ALS,5.336059090204398,2.8579743580715364,15.250320052958703,0
A4GALT,0,0,CD_1H_other_IEMs,ALS,4.406139717889579,2.9229699956137716,12.879014191873368,0
NUDCD3,0,0,CD_1H_other_IEMs,ALS,6.2937267736633915,1.9818949575304388,12.473505356797792,0
GALNT16,0,0,CD_1H_other_IEMs,ALS,4.166824919819159,2.971004655799346,12.379656236683457,0
B4GALT6,0,0,CD_1H_other_IEMs,ALS,4.39825115349471,2.7772612768564016,12.21509261448986,0
SGCG,0,0,CD_1H_other_IEMs,ALS,3.3643876830420374,2.9552254660556727,9.94252415860987,0
EVL,0,0,CD_1H_other_IEMs,ALS,4.789426114050612,2.0389698383407873,9.765495389510923,0
ALDH4A1,0,0,CD_1H_other_IEMs,ALS,3.1293351363174757,3.074290193190935,9.620484320788634,0
GYG1,0,0,CD_1H_other_IEMs,ALS,5.826799243959143,1.6071209055226445,9.364370877250279,0
UST,0,0,CD_1H_other_IEMs,ALS,5.414148747213706,1.7096176716783709,9.256124375331865,0
PTPDC1,0,0,CD_1H_other_IEMs,ALS,3.8701051670875244,2.3614451772298524,9.139041182191166,0
FER,0,0,CD_1H_other_IEMs,ALS,3.7210967828580475,2.439691493534464,9.078328167757238,0
NEU2,0,0,CD_1H_other_IEMs,ALS,3.896417036984781,2.29854253951429,8.956080311197743,0
SLC5A6,0,0,CD_1H_other_IEMs,ALS,1.6497611490164548,5.0718476097623695,8.367337140317927,0
SLC47A2,0,0,CD_1H_other_IEMs,ALS,3.709919974101719,2.249698476032812,8.346201311940327,0
SDF2,0,0,CD_1H_other_IEMs,ALS,2.0020616683221544,4.14880532523542,8.306164110984664,0
ARCN1,0,0,CD_1H_other_IEMs,ALS,1.755254871826833,4.687323159659176,8.227446811818513,0
PRXL2A,0,0,CD_1H_other_IEMs,ALS,1.5595094361549682,5.266896949322289,8.213775491723926,0
TRPV2,0,0,CD_1H_other_IEMs,ALS,4.710968757817599,1.6641251727990531,7.839641698154153,0
ADRB2,0,0,CD_1H_other_IEMs,ALS,1.5093324740057437,5.168566905928375,7.801085875189086,0
SYNE2,0,0,CD_1H_other_IEMs,ALS,3.249837164772417,2.308606351493669,7.502594719913779,0
ETV5,0,0,CD_1H_other_IEMs,ALS,4.6092553959198455,1.6204281273078351,7.46896708949393,0
SLC25A13,0,0,CD_1H_other_IEMs,ALS,2.529197819714104,2.927101030912859,7.403217545467709,0
CTRB1,0,0,CD_1H_other_IEMs,ALS,2.871339654669869,2.543376754764276,7.302898532720228,0
SUSD2,0,0,CD_1H_other_IEMs,ALS,1.9744194225029525,3.6284607009785663,7.1641032818007595,0
ALG2,0,0,CD_1H_other_IEMs,ALS,2.5274020523444904,2.785125047107706,7.039130760096062,0
STUB1,0,0,CD_1H_other_IEMs,ALS,4.308816980193688,1.605166945784033,6.916370592039883,0
AACS,0,0,CD_1H_other_IEMs,ALS,3.5933542909450313,1.8988027000642052,6.823070829933723,0
HIGD1A,0,0,CD_1H_other_IEMs,ALS,1.8569182339127637,3.5101859594655846,6.518128312556214,0
EPHA8,0,0,CD_1H_other_IEMs,ALS,3.42039603717966,1.8996900938805503,6.4976924689784905,0
PITRM1,0,0,CD_1H_other_IEMs,ALS,2.823454136801387,2.2792897067848124,6.435469951590399,0
AADAT,0,0,CD_1H_other_IEMs,ALS,2.7641830204108597,2.318669090799538,6.409225730739569,0
ACSS2,0,0,CD_1H_other_IEMs,ALS,3.1796816383077267,1.9428817587176153,6.177745453597424,0
KYAT3,0,0,CD_1H_other_IEMs,ALS,2.5341449424885494,2.4299143137847876,6.157755068958253,0
PCDHB16,0,0,CD_1H_other_IEMs,ALS,2.3920939934642855,2.529473209372635,6.050737670769109,0
DUSP3,0,0,CD_1H_other_IEMs,ALS,2.8457971977836864,2.062818851176285,5.870364106212835,0
IMMT,0,0,CD_1H_other_IEMs,ALS,1.9161675361127704,3.0300649392693346,5.806112068941412,0
PHYKPL,0,0,CD_1H_other_IEMs,ALS,2.655299182064673,2.182095030355978,5.794115149291616,0
ISOC1,0,0,CD_1H_other_IEMs,ALS,2.0649030785416707,2.7267359153049746,5.630445385883382,0
TLR1,0,0,CD_1H_other_IEMs,ALS,3.390407562336177,1.6387212080924656,5.555932776477371,0
GOT2,0,0,CD_1H_other_IEMs,ALS,2.1655262643639057,2.547649631340067,5.517002189063938,0
EPHA10,0,0,CD_1H_other_IEMs,ALS,2.7028451215708036,2.032092688708949,5.49243181025668,0
PCYT1B,0,0,CD_1H_other_IEMs,ALS,2.52142639885901,2.168201403671942,5.466960257261595,0
CHCHD4,0,0,CD_1H_other_IEMs,ALS,2.5472554870850206,2.0785019071813817,5.294475387984455,0
CASP1,0,0,CD_1H_other_IEMs,ALS,2.717052649450442,1.9364413468422412,5.261413091943094,0
SLC7A1,0,0,CD_1H_other_IEMs,ALS,2.781833882319165,1.856294182265063,5.163902051776899,0
IDI1,0,0,CD_1H_other_IEMs,ALS,2.352779812568862,2.1878078186875176,5.147430069588308,0
MCCC1,0,0,CD_1H_other_IEMs,ALS,3.002140434186518,1.7112884010135732,5.137528103237241,0
TUBA8,0,0,CD_1H_other_IEMs,ALS,3.3761832161200815,1.517640436197291,5.123832168794453,0
WEE2,0,0,CD_1H_other_IEMs,ALS,3.1835337727135045,1.6071154735905107,5.1163063868258485,0
NPIPB15,0,0,CD_1H_other_IEMs,ALS,2.9536875701672907,1.7033881345048043,5.03127636005729,0
BCKDHA,0,0,CD_1H_other_IEMs,ALS,3.1838126522951278,1.5500823728949589,4.935171870922624,0
UQCRFS1,0,0,CD_1H_other_IEMs,ALS,1.679632280494321,2.9355544928800885,4.9306520873915325,0
NDUFV1,0,0,CD_1H_other_IEMs,ALS,1.7531761421904721,2.811401816783791,4.928882591296291,0
ST6GALNAC2,0,0,CD_1H_other_IEMs,ALS,2.939186615230287,1.6456653323509611,4.836917517994447,0
NOMO1,0,0,CD_1H_other_IEMs,ALS,2.929523094091384,1.5904567929409192,4.659279905074942,0
COA6,0,0,CD_1H_other_IEMs,ALS,2.001125964306744,2.2756758745798438,4.553914078968183,0
CIAO2A,0,0,CD_1H_other_IEMs,ALS,2.1922828909180354,2.0617504423650828,4.519940220139662,0
DST,0,0,CD_1H_other_IEMs,ALS,2.7953877447051085,1.580323391102067,4.4176166401575365,0
SPTLC3,0,0,CD_1H_other_IEMs,ALS,2.0385701997389454,2.1646873018623243,4.412867025329837,0
NADSYN1,0,0,CD_1H_other_IEMs,ALS,2.064461370551873,2.1283822143063,4.393962863205014,0
EPHA2,0,0,CD_1H_other_IEMs,ALS,2.1879839716774874,2.0057359754527977,4.388518165707632,0
BLCAP,0,0,CD_1H_other_IEMs,ALS,2.3564022148184938,1.8177857606662053,4.283434392499367,0
AHCY,0,0,CD_1H_other_IEMs,ALS,1.8291803195172402,2.3357330375945757,4.27247690401422,0
KYAT1,0,0,CD_1H_other_IEMs,ALS,2.2246171132002748,1.8956065122018058,4.216998686938022,0
GGT7,0,0,CD_1H_other_IEMs,ALS,2.3347654844379693,1.8016715655351268,4.2064805855047345,0
FAM217B,0,0,CD_1H_other_IEMs,ALS,2.075249602256297,2.0223639372658866,4.19690995642851,0
