,abnormal Bergmann glial cell morphology:-log(OR_p),abnormal Bergmann glial cell morphology:log_OR,abnormal Bergmann glial cell morphology:num_genes,abnormal Bergmann glial cell morphology:gene_ids,loss of dopaminergic neurons:-log(OR_p),loss of dopaminergic neurons:log_OR,loss of dopaminergic neurons:num_genes,loss of dopaminergic neurons:gene_ids,abnormal sensory neuron morphology:-log(OR_p),abnormal sensory neuron morphology:log_OR,abnormal sensory neuron morphology:num_genes,abnormal sensory neuron morphology:gene_ids,abnormal neuron differentiation:-log(OR_p),abnormal neuron differentiation:log_OR,abnormal neuron differentiation:num_genes,abnormal neuron differentiation:gene_ids,abnormal somatic nervous system morphology:-log(OR_p),abnormal somatic nervous system morphology:log_OR,abnormal somatic nervous system morphology:num_genes,abnormal somatic nervous system morphology:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal neuron number:-log(OR_p),abnormal neuron number:log_OR,abnormal neuron number:num_genes,abnormal neuron number:gene_ids,decreased dopaminergic neuron number:-log(OR_p),decreased dopaminergic neuron number:log_OR,decreased dopaminergic neuron number:num_genes,decreased dopaminergic neuron number:gene_ids,abnormal digit morphology:-log(OR_p),abnormal digit morphology:log_OR,abnormal digit morphology:num_genes,abnormal digit morphology:gene_ids,decreased sensory neuron number:-log(OR_p),decreased sensory neuron number:log_OR,decreased sensory neuron number:num_genes,decreased sensory neuron number:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C134,4.658124899884521,3.2647004115826697,2,ABL2 ASS1,4.088158713504031,2.9768042636684733,2,SLC6A3 VPS35,3.528837327384613,1.2062271008132495,10,ALG10 CDC14A EPHA5 EPHB2 EPHB3 HSP90AA1 JAG2 MERTK SLC1A1 TYR,3.38262579763796,1.3056438997481177,8,ABL2 EPHA4 EPHA8 EPHB2 EPHB3 GPR37L1 PRKAB1 SLC6A3,3.367037315583696,0.9516718551409813,16,ALG10 CDC14A EPHA4 EPHA5 EPHB2 EPHB3 FYN GRID1 HSP90AA1 JAG2 MERTK PRKAB1 RXRA SLC1A1 SPTLC3 TYR,3.3008887093483543,0.8252711134165889,22,ABL2 ALG10 CDC14A EPHA4 EPHA5 EPHA8 EPHB2 EPHB3 FYN GPR37L1 GPT2 GRID1 HEXA HSP90AA1 JAG2 MERTK PRKAB1 SLC1A1 SLC6A3 STUB1 TYR VPS35,3.166611084393363,1.1315408036245067,10,ALG10 CDC14A FYN JAG2 MERTK PRKAB1 SLC1A1 SLC6A3 TYR VPS35,2.9774261466833294,2.4165459742385487,2,SLC6A3 VPS35,2.7725319873497973,1.2352267055856103,7,HAAO HEXA JAG2 KYNU RXRA SC5D TYRO3,2.603583248084023,1.39827810592101,5,ALG10 CDC14A MERTK SLC1A1 TYR,CD_1H_other_IEMs-PD systems map,0,11,0.0,0.09090909090909091,0.0,0.9090909090909091
C135,2.626423941098727,3.1794417556227934,1,ABL2,2.300814348856352,2.9109643674054517,1,VPS35,5.179976649192226,1.721437141336649,8,ALG10 CDC14A EPHA5 EPHB2 EPHB3 HSP90AA1 JAG2 MERTK,4.208497498403218,1.73550701667493,6,ABL2 EPHA4 EPHA8 EPHB2 EPHB3 PRKAB1,5.928467905466761,1.5271310338407709,13,ALG10 CDC14A EPHA4 EPHA5 EPHB2 EPHB3 FYN GRID1 HSP90AA1 JAG2 MERTK PRKAB1 RXRA,5.817028043977091,1.378585390830203,17,ABL2 ALG10 CDC14A EPHA4 EPHA5 EPHA8 EPHB2 EPHB3 FYN GRID1 HEXA HSP90AA1 JAG2 MERTK PRKAB1 STUB1 VPS35,3.6563258970806536,1.492878233632874,7,ALG10 CDC14A FYN JAG2 MERTK PRKAB1 VPS35,1.6889137643744887,2.3762414032295602,1,VPS35,2.0553719399792216,1.3627512439640856,4,HEXA JAG2 RXRA TYRO3,2.07973670708893,1.5736284597373906,3,ALG10 CDC14A MERTK,ephrin receptor signaling pathway,0,5,0.0,0.08196721311475409,0.0,0.9180327868852459
C136,2.770283534388302,3.2851222883509283,1,ASS1,-0.0,0.0,0,,0.15562401447084936,-0.39085020575708285,1,SLC1A1,-0.0,0.0,0,,0.017246100423159185,-0.029025710958375583,3,GRID1 SLC1A1 SPTLC3,0.4308732453414412,-0.5319160974921946,3,GPT2 GRID1 SLC1A1,0.18989761799873411,-0.4642679886893646,1,SLC1A1,-0.0,0.0,0,,1.293059905771976,1.1641314166663683,3,HAAO KYNU SC5D,0.2249152553928564,0.5366905457377165,1,SLC1A1,L-amino acid catabolic process,0,5,0.0,0.09090909090909091,0.0,0.9090909090909091
C141,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C141,0,3,0.0,0.2,0.0,0.8
C147,-0.0,0.0,0,,5.06132712423486,4.810801817664165,1,SLC6A3,0.7364176967684398,1.4033699619101458,1,ALG10,2.901088858707155,2.5561006971571203,2,GPR37L1 SLC6A3,0.2579036846874821,0.6269064595163982,1,ALG10,1.4873814900824631,1.4760475913209063,3,ALG10 GPR37L1 SLC6A3,2.167257239746505,2.1428060413678747,2,ALG10 SLC6A3,4.189196103416126,4.276080592158244,1,SLC6A3,-0.0,0.0,0,,1.5628044841440953,2.3308711282459313,1,ALG10,C147,0,1,0.0,0.1,0.0,0.9
C137,-0.0,0.0,0,,3.4621054211534625,3.749024855453161,1,VPS35,0.8419706567345846,1.0759936761565356,2,HSP90AA1 MERTK,0.29684997289127313,0.6805331380438489,1,PRKAB1,2.1726604052107485,1.3455963668477935,5,GRID1 HSP90AA1 MERTK PRKAB1 RXRA,2.426331512819378,1.2751508612266793,7,GRID1 HEXA HSP90AA1 MERTK PRKAB1 STUB1 VPS35,1.7414805497763188,1.450650330549184,3,MERTK PRKAB1 VPS35,2.717732783717624,3.2143030514403925,1,VPS35,1.3639501013059632,1.4894903737681435,2,HEXA RXRA,0.669373732980021,1.2690852135710795,1,MERTK,C137,0,3,0.0,0.1111111111111111,0.0,0.8888888888888888
C138,4.037312446615109,4.140263911022734,1,ABL2,-0.0,0.0,0,,6.943618070238577,2.511540930908482,6,CDC14A EPHA5 EPHB2 EPHB3 JAG2 MERTK,6.639434228344403,2.6152128693673626,5,ABL2 EPHA4 EPHA8 EPHB2 EPHB3,6.068344579038707,2.1372530638578624,8,CDC14A EPHA4 EPHA5 EPHB2 EPHB3 FYN JAG2 MERTK,5.7966545448473905,1.9906448979138212,10,ABL2 CDC14A EPHA4 EPHA5 EPHA8 EPHB2 EPHB3 FYN JAG2 MERTK,3.3310212203929144,1.9227439257819903,4,CDC14A FYN JAG2 MERTK,-0.0,0.0,0,,1.5381400817901294,1.617486245616929,2,JAG2 TYRO3,2.396086899383991,2.1344891434640685,2,CDC14A MERTK,ephrin receptor signaling pathway,0,1,0.0,0.041666666666666664,0.0,0.9583333333333334
C174,6.706174300057658,6.178210064425829,1,ABL2,-0.0,0.0,0,,-0.0,0.0,0,,1.8547517313863309,2.8412643041509025,1,ABL2,0.8691626431750878,1.7258566050490316,1,FYN,1.6942673830633477,2.323041490583309,2,ABL2 FYN,1.4490954663032158,2.4288977557396283,1,FYN,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C174,0,1,0.0,0.25,0.0,0.75
C175,-0.0,0.0,0,,6.26098037155307,5.909733323189636,1,VPS35,1.5177360348319178,2.5023098866866844,1,ALG10,-0.0,0.0,0,,0.8691626431750878,1.7258566050490316,1,ALG10,1.6942673830633477,2.323041490583309,2,ALG10 VPS35,3.3748770951943627,3.529428683937339,2,ALG10 VPS35,5.365342633999122,5.375012301612715,1,VPS35,-0.0,0.0,0,,2.5186073496889696,3.429805789579631,1,ALG10,C175,0,1,0.0,0.25,0.0,0.75
C156,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C156,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
