Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C269,INSM1 IFI35 WDFY4 EDIL3 TMEM176B IRF5 CREG2 PAQR7 IL34 ENPP2 IRF9 ATP5F1A AC113554.2 GBP2 FRMPD4 TMEM151A ADARB2 IFIT3 GPM6B SAMHD1 MRPS12 TARDBP HLA-DRB5 IRF2 NTRK2 SLC9A9 PML PARP9 IRF8 NDRG3 PIWIL4 TAPBP ISG20 ERVMER34-1 NEUROD6 MMD2 DNAJA3 NFASC B2M OTUD5 CLDN11 IMMT OLIG2 SCRG1 SYP HLA-DMB GFAP RNASEH2A PARP14 TPPP3 EFNA4 IFI30 DPP6 BCS1L KLHL32 CTSH DCLK1 TRIL TMEM144 PABPC1L2B SHISA5 HLA-DQA1 HLA-A IFI27 GPR37 GNAZ RSAD2 ALDH18A1 HSPH1 SNAP29 TET2 NRGN NDUFA11 CTSA MMS19 TICAM1 NKX6-2 ERCC2 NACC2 FOLR3 IFI27L1 DPP9 ABTB1 IST1 C19orf66 CHFR LRRC25 ACAP3 MOBP EFNA3 RNF135 SPOCK3 IFIT1 TRIM21 PSMB8 KRTAP10-7 OLIG1 GIMAP8 SEPT4 DNPEP MYT1L WARS FASTK OAS2 STX1A HSPA1L SEC14L2 MT3 IFI27L2 GIMAP1 DTNA TMEM35A TIMD4 XAF1 TREX1 IFI44L SP100 STARD13 ATP8B4 CHADL FIG4 RTN2 RNF216 EEF2 GABBR2 MAVS TRIM5 SYT15 DHX58 LGI3 HAPLN2 PMP2 TYMP CTSC PLP1 HSPA6 GUF1 TLR7 C9orf72 SYT1 PAQR6 CD74 HLA-C ADAR NKAIN2 B3GALT4 PLAAT4 FAM131C LAMP3 REEP6 IMMP2L RTP4 IFI44 ISG15 RHBDF2 HAX1 MCM7 ERMN PTPRN DCTN5 DGKB DZIP1 PHF11 TRADD CAMK2A CYB561D1 SNAP25 TTI2 DCX LAMP5 MX2 GRIA2 TREM2 ARL11 TDRD7 SECTM1 LINC00242 EPB41L3 SLC46A3 DGKA TRIM14 MOG IDO1 HVCN1 IL15 RBMXL3 PLD4 CYB561A3 SLMAP MYD88 MPEG1 STXBP5L TMEM140 FABP7 PLLP SLC10A7 CARNS1 CARD16 PRG2 MYO1F IGHV4-31 SNCB HLA-F TRAFD1 TDRKH HSPA4L FRAT1 VSNL1 OSBPL11 LY6E IFIT5 CADPS TMEM176A KRTAP9-7 SOX8 MR1 ATP1B2 GKN1 DDX58 LHFPL3 GPR158 SERPINA5 SLFN5 TBR1 ARHGAP17 HLA-DQB1 CSF1R IFI6 TUBB2B COA4 CNTNAP4 EIF2B2 BST2 PARP12 TLR3 MCCC1 HSPA1A BRINP1 LUC7L MX1 KIAA0930 CNTN2 GPR62 IRF7 ALDH5A1 NELL2 SWI5 SYT4 IL15RA IQCE PPP2R2C OPALIN MS4A4A CCSAP HEPN1 BCAS1 SHC4 CD274 HERC6 GSDMD SLC10A6 HINT2 TRIM25 HSPA2,Interferon alpha/beta signaling,4.48285236518728e-28,0.34210526315789475,26.0,7,6,6,0.026515151515151516,0.022727272727272728,0.003787878787878788,0.946969696969697
C270,IFI35 WDFY4 TMEM176B IRF5 IL34 ENPP2 IRF9 ATP5F1A AC113554.2 GBP2 IFIT3 SAMHD1 MRPS12 TARDBP HLA-DRB5 IRF2 SLC9A9 PML PARP9 IRF8 NDRG3 PIWIL4 TAPBP ISG20 DNAJA3 B2M OTUD5 IMMT HLA-DMB RNASEH2A PARP14 TPPP3 EFNA4 IFI30 BCS1L CTSH TRIL PABPC1L2B SHISA5 HLA-DQA1 HLA-A IFI27 RSAD2 ALDH18A1 HSPH1 TET2 TICAM1 NDUFA11 CTSA MMS19 NACC2 FOLR3 IFI27L1 ABTB1 IST1 C19orf66 CHFR LRRC25 ACAP3 EFNA3 RNF135 IFIT1 TRIM21 PSMB8 KRTAP10-7 GIMAP8 DNPEP WARS FASTK OAS2 HSPA1L SEC14L2 IFI27L2 GIMAP1 TIMD4 XAF1 TREX1 IFI44L SP100 ATP8B4 CHADL FIG4 RTN2 RNF216 EEF2 MAVS TRIM5 DHX58 LGI3 HAPLN2 TYMP CTSC GUF1 HSPA6 TLR7 C9orf72 CD74 HLA-C ADAR B3GALT4 PLAAT4 FAM131C LAMP3 IMMP2L RTP4 IFI44 ISG15 RHBDF2 HAX1 MCM7 DCTN5 PHF11 TRADD CYB561D1 TTI2 LINC00242 MX2 TREM2 ARL11 TDRD7 SECTM1 EPB41L3 SLC46A3 DGKA TRIM14 IDO1 RBMXL3 HVCN1 IL15 PLD4 CYB561A3 SLMAP MYD88 MPEG1 TMEM140 SLC10A7 CARD16 MYO1F IGHV4-31 HLA-F TRAFD1 TDRKH HSPA4L FRAT1 OSBPL11 LY6E IFIT5 TMEM176A KRTAP9-7 MR1 DDX58 SLFN5 ARHGAP17 HLA-DQB1 CSF1R IFI6 TUBB2B COA4 EIF2B2 BST2 PARP12 TLR3 MCCC1 HSPA1A KIAA0930 LUC7L MX1 SWI5 IL15RA IRF7 ALDH5A1 IQCE MS4A4A SHC4 CD274 HERC6 GSDMD SLC10A6 HINT2 TRIM25 HSPA2,Interferon alpha/beta signaling,3.09075215110322e-31,0.34210526315789475,26.0,5,4,4,0.027624309392265192,0.022099447513812154,0.0055248618784530384,0.9447513812154696
C271,INSM1 EDIL3 CREG2 PAQR7 ATP5F1A FRMPD4 TMEM151A ADARB2 GPM6B SAMHD1 MRPS12 TARDBP NTRK2 NDRG3 PIWIL4 ERVMER34-1 NEUROD6 MMD2 DNAJA3 NFASC CLDN11 IMMT OLIG2 SCRG1 SYP GFAP RNASEH2A TPPP3 DPP6 BCS1L KLHL32 DCLK1 TMEM144 PABPC1L2B GPR37 GNAZ ALDH18A1 HSPH1 SNAP29 TET2 NRGN NDUFA11 MMS19 NKX6-2 ERCC2 NACC2 DPP9 ABTB1 IST1 ACAP3 MOBP SPOCK3 OLIG1 SEPT4 MYT1L FASTK STX1A HSPA1L MT3 DTNA TMEM35A STARD13 CHADL FIG4 RTN2 GABBR2 EEF2 SYT15 LGI3 HAPLN2 PMP2 PLP1 GUF1 HSPA6 C9orf72 SYT1 PAQR6 NKAIN2 FAM131C LAMP3 REEP6 IMMP2L ERMN HAX1 MCM7 PTPRN DGKB DZIP1 CAMK2A CYB561D1 SNAP25 TTI2 DCX LAMP5 GRIA2 EPB41L3 RBMXL3 MOG CYB561A3 SLMAP STXBP5L FABP7 PLLP SLC10A7 CARNS1 PRG2 SNCB TDRKH HSPA4L VSNL1 OSBPL11 KRTAP9-7 CADPS SOX8 ATP1B2 GKN1 LHFPL3 GPR158 SERPINA5 TBR1 TUBB2B COA4 CNTNAP4 EIF2B2 MCCC1 HSPA1A BRINP1 LUC7L SWI5 CNTN2 GPR62 ALDH5A1 NELL2 SYT4 PPP2R2C OPALIN CCSAP HEPN1 BCAS1 SHC4 SLC10A6 HINT2 HSPA2,oligodendrocyte differentiation,2.5894789184688947e-08,0.10091743119266056,11.0,5,5,5,0.03496503496503497,0.03496503496503497,0.0,0.9300699300699301
C291,SAMHD1 SLC10A7 EIF2B2 IST1 SLC10A6 C9orf72 TET2 FIG4 OSBPL11,C291,,,,2,1,1,0.2222222222222222,0.1111111111111111,0.0,0.6666666666666667
C332,B3GALT4 TREX1 LINC00242 KRTAP10-7,C332,,,,1,0,0,0.25,0.0,0.0,0.75
C272,IFI35 IRF5 IRF9 AC113554.2 GBP2 IFIT3 SAMHD1 HLA-DRB5 IRF2 PML PARP9 IRF8 TAPBP ISG20 B2M OTUD5 HLA-DMB PARP14 IFI30 CTSH TRIL SHISA5 HLA-DQA1 HLA-A IFI27 RSAD2 TICAM1 CTSA IFI27L1 C19orf66 RNF135 IFIT1 TRIM21 PSMB8 WARS OAS2 SEC14L2 IFI27L2 XAF1 TREX1 IFI44L SP100 RNF216 MAVS TRIM5 DHX58 TYMP CTSC TLR7 CD74 HLA-C ADAR B3GALT4 PLAAT4 LAMP3 RTP4 IFI44 ISG15 RHBDF2 DCTN5 PHF11 TRADD MX2 TDRD7 SECTM1 TRIM14 IDO1 IL15 MYD88 TMEM140 CARD16 MYO1F IGHV4-31 HLA-F TRAFD1 FRAT1 LY6E IFIT5 MR1 DDX58 SLFN5 ARHGAP17 HLA-DQB1 IFI6 BST2 PARP12 TLR3 MX1 IL15RA IRF7 CD274 HERC6 GSDMD TRIM25,Interferon alpha/beta signaling,5.675507406998921e-38,0.34210526315789475,26.0,3,1,1,0.031914893617021274,0.010638297872340425,0.0,0.9574468085106383
C275,EEF2 SLC10A7 ALDH18A1 HSPH1 ATP5F1A GUF1 HSPA6 TDRKH HSPA4L NDUFA11 MMS19 KRTAP9-7 MRPS12 TARDBP FAM131C IMMP2L IST1 HAX1 MCM7 NDRG3 TUBB2B PIWIL4 COA4 RTN2 CYB561D1 EIF2B2 TTI2 MCCC1 DNAJA3 HSPA1A SWI5 LUC7L FASTK HSPA1L ALDH5A1 IMMT RBMXL3 RNASEH2A CYB561A3 BCS1L SLC10A6 HINT2 PABPC1L2B HSPA2,Regulation of HSF1-mediated heat shock response,1.408052784600516e-06,0.08955223880597014,6.0,2,2,2,0.045454545454545456,0.045454545454545456,0.0,0.9090909090909091
C276,WDFY4 HLA-DQA1 TMEM176B HAPLN2 IL34 ENPP2 TDRKH TMEM176A NACC2 FOLR3 ABTB1 SLC9A9 LRRC25 ACAP3 EFNA3 CSF1R PIWIL4 GIMAP8 TREM2 B2M ARL11 SECTM1 IQCE EPB41L3 GIMAP1 SLC46A3 TIMD4 PLD4 HVCN1 MS4A4A TPPP3 EFNA4 SHC4 ATP8B4 MPEG1 CHADL,C276,,,,0,0,0,0.0,0.0,0.027777777777777776,0.9722222222222222
C315,SAMHD1 IRF2 ARHGAP17 C9orf72 TET2 FIG4 OSBPL11,C315,,,,1,2,2,0.14285714285714285,0.2857142857142857,0.0,0.5714285714285714
C273,INSM1 EDIL3 CREG2 PAQR7 FRMPD4 TMEM151A ADARB2 GPM6B NTRK2 ERVMER34-1 NEUROD6 MMD2 NFASC CLDN11 OLIG2 SCRG1 SYP GFAP TPPP3 DPP6 KLHL32 DCLK1 TMEM144 GPR37 GNAZ SNAP29 NRGN NKX6-2 ERCC2 DPP9 ACAP3 MOBP SPOCK3 OLIG1 SEPT4 MYT1L STX1A MT3 DTNA TMEM35A STARD13 CHADL GABBR2 SYT15 LGI3 HAPLN2 PMP2 PLP1 SYT1 PAQR6 NKAIN2 LAMP3 REEP6 ERMN PTPRN DGKB DZIP1 CAMK2A SNAP25 LAMP5 DCX GRIA2 EPB41L3 MOG SLMAP STXBP5L FABP7 PLLP CARNS1 PRG2 SNCB VSNL1 CADPS SOX8 ATP1B2 GKN1 LHFPL3 GPR158 SERPINA5 TBR1 CNTNAP4 BRINP1 CNTN2 GPR62 SYT4 NELL2 PPP2R2C OPALIN CCSAP HEPN1 BCAS1 SHC4,oligodendrocyte differentiation,2.986181588671878e-09,0.09174311926605505,10.0,2,2,2,0.021739130434782608,0.021739130434782608,0.0,0.9565217391304348
C287,ADAR IFIT1 TRIM21 IL15 PHF11 IGHV4-31 HERC6 FRAT1 TDRD7 SEC14L2,C287,,,,1,0,0,0.1,0.0,0.0,0.9
