,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0011975,3.217728636425367e-05,3.266982613134207,1.726827697545114,4.8071375287233,11,neuronal cytoplasmic inclusions,brain
MP:0000778,7.816923681671842e-05,1.4569780861148836,0.734025042511743,2.179931129718024,234,abnormal nervous system tract morphology,brain
MP:0014062,9.32633188960357e-05,2.0401132958634047,1.0168073754785634,3.063419216248246,66,nervous system inclusion bodies,brain
MP:0003244,0.0003595282557884534,2.69124308278583,1.212953645705724,4.169532519865935,18,loss of dopaminergic neurons,brain
MP:0001081,0.0005253197546392022,1.4680207125954645,0.6382395929226939,2.297801832268235,172,abnormal cranial ganglia morphology,brain
MP:0000136,0.0019403478727169365,1.6010696627635834,0.5885423456963379,2.613596979830829,100,abnormal microglial cell morphology,brain
MP:0000811,0.002021586247452111,2.28534879012172,0.8343803700194368,3.736317210224003,26,hippocampal neuron degeneration,brain
MP:0003691,0.003424221952431602,1.7460414253128533,0.5768024721328697,2.915280378492837,65,abnormal microglial cell physiology,brain
MP:0008235,0.005006651700434418,2.061883229466458,0.6219883493860339,3.5017781095468825,32,increased susceptibility to neuronal excitotoxicity,brain
MP:0002945,0.011357568139412267,1.5028134630855359,0.3392899496165447,2.6663369765545273,82,abnormal inhibitory postsynaptic currents,brain
MP:0003247,0.019242850618706616,2.462112129857684,0.40056639971319896,4.523657860002169,11,abnormal glutaminergic neuron morphology,brain
MP:0004191,0.023856652112755016,2.366748329312845,0.3136900116787702,4.4198066469469195,12,neuronal intranuclear inclusions,brain
MP:0014379,0.023856652112755016,2.366748329312845,0.3136900116787702,4.4198066469469195,12,decreased excitatory postsynaptic current frequency,brain
MP:0011451,0.0289721735399168,2.279683328707362,0.2337247499747166,4.325641907440008,13,increased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0003243,0.032649372700098864,1.5499834917411288,0.1279855886703123,2.9719813948119453,52,abnormal dopaminergic neuron morphology,brain
MP:0001900,0.037188826125417324,1.5106553037099957,0.08969679263367114,2.93161381478632,54,impaired synaptic plasticity,brain
MP:0002916,0.040628162022631024,2.125425393021148,0.09067359603014369,4.160177190012153,15,increased synaptic depression,brain
MP:0001038,0.040628162022631024,2.125425393021148,0.09067359603014369,4.160177190012153,15,abnormal cholinergic neuron morphology,brain
MP:0014345,0.040628162022631024,2.125425393021148,0.09067359603014369,4.160177190012153,15,abnormal neuron mitochondrial morphology,brain
