,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
SQSTM1,0,1,CD_3_NBIA,FTLD,3.310846298271369,16.378101161800952,54.225375604262695,1
WDR45,1,0,CD_3_NBIA,FTLD,14.156596465257573,3.1873265789050977,45.12169618054942,1
TMEM41A,0,0,CD_3_NBIA,FTLD,5.677246899984121,6.949224150411283,39.452461265217245,0
ATP8B4,0,0,CD_3_NBIA,FTLD,7.967409625658744,3.6966820224890418,29.452979928978827,0
GRN,0,1,CD_3_NBIA,FTLD,2.0709753735275003,11.060350129540312,22.905712740869685,1
LRRK2,0,1,CD_3_NBIA,FTLD,1.9078208634484088,11.837014952817878,22.58290408793673,1
SNAP29,0,0,CD_3_NBIA,FTLD,7.0603201869745735,2.7606193047032876,19.490856205548333,0
IMMP2L,0,1,CD_3_NBIA,FTLD,1.5516184944170552,12.205828841700379,18.938789770471413,1
CMTM6,0,0,CD_3_NBIA,FTLD,4.250768744756222,3.8721538966075775,16.459630758585504,0
HSP90AA2P,0,0,CD_3_NBIA,FTLD,3.8203032201854352,4.299727617499957,16.426263263055333,0
NPY1R,0,0,CD_3_NBIA,FTLD,5.032968221270795,3.145968741931098,15.83356070325048,0
GUF1,0,0,CD_3_NBIA,FTLD,4.040148638436864,3.8529353506134747,15.56643151076629,0
PEPD,0,0,CD_3_NBIA,FTLD,6.351876577947564,2.349516487027341,14.92383874345061,0
ULK1,0,0,CD_3_NBIA,FTLD,4.407706307882424,3.1303188937490884,13.797526333661388,0
SALL2,0,0,CD_3_NBIA,FTLD,4.9632515186663175,2.75588156546396,13.678133365053508,0
TMEM144,0,0,CD_3_NBIA,FTLD,3.307027801489507,3.968369562607611,13.123508470128124,0
SPAST,0,0,CD_3_NBIA,FTLD,3.7319385785637498,3.454771020031037,12.892993249757863,0
CACFD1,0,0,CD_3_NBIA,FTLD,4.50003222857994,2.843273721130956,12.794823379763715,0
USP3,0,0,CD_3_NBIA,FTLD,4.423580466524243,2.833149686006537,12.532665609757808,0
ATP8B2,0,0,CD_3_NBIA,FTLD,4.042094088761284,3.047786744064702,12.319440781988934,0
DTX4,0,0,CD_3_NBIA,FTLD,5.312418052219602,2.249291916215039,11.949178980412393,0
BCAS1,0,0,CD_3_NBIA,FTLD,3.991566733842922,2.854831861828985,11.39525189039143,0
MRNIP,0,0,CD_3_NBIA,FTLD,1.9078208634484344,5.90731254803005,11.27009412604246,0
CLSTN1,0,0,CD_3_NBIA,FTLD,3.6661541699402407,3.0486083995909605,11.176668396675243,0
CHCHD5,0,0,CD_3_NBIA,FTLD,1.6961646906052263,6.412881220214754,10.877302690773623,0
C14orf132,0,0,CD_3_NBIA,FTLD,2.520691122972548,4.27829097757154,10.784250088658126,0
WIPI1,0,0,CD_3_NBIA,FTLD,5.795215649585003,1.7856252600893956,10.348083451564356,0
LGI3,0,0,CD_3_NBIA,FTLD,4.7709229000738524,2.0956333485894043,9.998105132943639,0
SMCR8,0,0,CD_3_NBIA,FTLD,1.829851784521313,5.28233065138765,9.66588216887332,0
YWHAQ,0,0,CD_3_NBIA,FTLD,2.630096221610043,3.5271745914858514,9.276808566025885,0
PLLP,0,0,CD_3_NBIA,FTLD,3.433128508663851,2.6991070260897216,9.266381279203529,0
TOX3,0,0,CD_3_NBIA,FTLD,3.5555199564150923,2.599828746052629,9.243742989851748,0
DCTN3,0,0,CD_3_NBIA,FTLD,4.704000046429448,1.9353365861752572,9.103823391225019,0
SYT11,0,0,CD_3_NBIA,FTLD,4.384702192064152,2.037127812407443,8.932198784577766,0
GPD2,0,0,CD_3_NBIA,FTLD,2.536194482422707,3.451423094106242,8.753480207778559,0
VASH2,0,0,CD_3_NBIA,FTLD,2.174142063466129,3.9825709625674843,8.658675050456758,0
TMEM129,0,0,CD_3_NBIA,FTLD,4.450614285712883,1.939753225327192,8.633093415398843,0
DCP2,0,0,CD_3_NBIA,FTLD,2.6659392953191583,3.119808318907012,8.317219591237807,0
SCN3B,0,0,CD_3_NBIA,FTLD,3.0152876986850403,2.73645151657251,8.251188595969111,0
FADS3,0,0,CD_3_NBIA,FTLD,3.7841625389710067,2.123586347219727,8.035995903419169,0
RAB40B,0,0,CD_3_NBIA,FTLD,2.7606919131305263,2.80755735207786,7.750800877531502,0
FAM131C,0,0,CD_3_NBIA,FTLD,1.5976832190670596,4.830533506619867,7.71766232266772,0
SEC14L5,0,0,CD_3_NBIA,FTLD,2.7268498982349816,2.7716432425873476,7.557855093992983,0
LTBP2,0,0,CD_3_NBIA,FTLD,4.803473372251557,1.554889472032055,7.468870175700258,0
APBA3,0,0,CD_3_NBIA,FTLD,1.7694275106161839,4.211134934711072,7.4512980043946575,0
UGT8,0,0,CD_3_NBIA,FTLD,3.2820029715074495,2.2581301834779213,7.411189972225199,0
NXPE3,0,0,CD_3_NBIA,FTLD,2.2379165220507233,3.2929407916240514,7.3693266037102525,0
IRAK1BP1,0,0,CD_3_NBIA,FTLD,1.9806636561792463,3.716338444220248,7.3608164905287685,0
STX3,0,0,CD_3_NBIA,FTLD,3.097290595962276,2.337178480508264,7.238920928763648,0
NDUFB7,0,0,CD_3_NBIA,FTLD,4.26648144934011,1.6923033384434034,7.220180800125118,0
TUT7,0,0,CD_3_NBIA,FTLD,3.7237484507983414,1.8911680738517034,7.042234185204563,0
NAPSB,0,0,CD_3_NBIA,FTLD,1.7813302558562396,3.941555972880669,7.021212909643212,0
SMIM11A,0,0,CD_3_NBIA,FTLD,1.574517002847394,4.458771772379653,7.0204119674277745,0
LAMP1,0,0,CD_3_NBIA,FTLD,4.150372800941387,1.6436679780500103,6.821834869877088,0
RBFOX1,0,0,CD_3_NBIA,FTLD,2.3982842000563904,2.778016860144297,6.662473943174331,0
DNAAF2,0,0,CD_3_NBIA,FTLD,3.6249651058904124,1.8316269525274713,6.639583789920478,0
DNPEP,0,0,CD_3_NBIA,FTLD,2.6319528584211103,2.4728248131446287,6.508358335330653,0
TRPT1,0,0,CD_3_NBIA,FTLD,1.6698650790242842,3.860167199968712,6.445958406422703,0
AP2A2,0,0,CD_3_NBIA,FTLD,2.904242274991772,2.204446430312708,6.40224651586887,0
AP5Z1,0,0,CD_3_NBIA,FTLD,1.5479842017311385,4.127738683829367,6.389674271442344,0
COA3,0,0,CD_3_NBIA,FTLD,2.139740028794153,2.9473303656183742,6.306520761394141,0
USH1C,0,0,CD_3_NBIA,FTLD,2.5345389476703644,2.461766187437955,6.239442282119479,0
SCLT1,0,0,CD_3_NBIA,FTLD,3.9937165820102236,1.5603044937558348,6.231413929697744,0
ADAP1,0,0,CD_3_NBIA,FTLD,4.082202844313586,1.5263760782433289,6.2309767680971335,0
RAB7A,0,0,CD_3_NBIA,FTLD,2.418445755834522,2.5716795595783117,6.21946751622856,0
PLP1,0,0,CD_3_NBIA,FTLD,2.4917311162503135,2.4801151938209083,6.179780200328734,0
RAB17,0,0,CD_3_NBIA,FTLD,2.375243536269932,2.5458420436336566,6.046994858505077,0
AP1G1,0,0,CD_3_NBIA,FTLD,3.3358069546747218,1.762480421126072,5.879294446270384,0
GK3P,0,0,CD_3_NBIA,FTLD,2.0978321457478835,2.7501845983123103,5.769425657080295,0
CYBB,0,0,CD_3_NBIA,FTLD,2.6894052496822636,2.0912623493605316,5.624251940833077,0
CDK5,0,0,CD_3_NBIA,FTLD,2.1382540137418973,2.542926213140284,5.437422181896696,0
ZFP92,0,0,CD_3_NBIA,FTLD,2.1382540137418946,2.5429262131402517,5.43742218189662,0
MAP1LC3B,0,0,CD_3_NBIA,FTLD,3.3113459897117523,1.6048136425143114,5.314093219374475,0
HSPA8,0,0,CD_3_NBIA,FTLD,2.371759714622461,2.1910046553687987,5.196536576153986,0
AC048338.1,0,0,CD_3_NBIA,FTLD,3.4248122183484897,1.5130207843256385,5.181812068773661,0
KIF2A,0,0,CD_3_NBIA,FTLD,2.6280869873396537,1.9714615675478189,5.181172491712658,0
ZNF547,0,0,CD_3_NBIA,FTLD,2.972347611370277,1.7298523257329617,5.1417224284156875,0
ARNTL2,0,0,CD_3_NBIA,FTLD,1.871168750772453,2.694808943954905,5.042442285230533,0
SMCO2,0,0,CD_3_NBIA,FTLD,1.8711687507723218,2.694808943954887,5.042442285230146,0
FAM217B,0,0,CD_3_NBIA,FTLD,1.7214864250438753,2.9137078986580986,5.015908594083032,0
MPP2,0,0,CD_3_NBIA,FTLD,2.3926127509248807,2.0766433166353777,4.968603278504739,0
AP1M2,0,0,CD_3_NBIA,FTLD,3.066352759802306,1.6100123455365343,4.936865799051736,0
DCTN1,0,0,CD_3_NBIA,FTLD,2.6007980772572505,1.8682683727605043,4.858988791676052,0
CTNS,0,0,CD_3_NBIA,FTLD,3.102737566986325,1.5659662749035281,4.858782389776811,0
MCCC1,0,0,CD_3_NBIA,FTLD,2.55323903636526,1.8910052632289003,4.828188456048193,0
PTPN11,0,0,CD_3_NBIA,FTLD,3.068881585001392,1.5717237328093479,4.823434020328255,0
VAMP2,0,0,CD_3_NBIA,FTLD,2.379831232322586,2.0173500771431763,4.800952720113709,0
ADAR,0,0,CD_3_NBIA,FTLD,2.6872067287877957,1.7860074024487556,4.799371109525109,0
RHBDF2,0,0,CD_3_NBIA,FTLD,1.9388325161980071,2.4595960265664756,4.7687447530185,0
PHPT1,0,0,CD_3_NBIA,FTLD,1.5901081071081329,2.996781500432394,4.765206559069225,0
ZNF578,0,0,CD_3_NBIA,FTLD,2.854871318936554,1.6385617463044897,4.677882933831282,0
PRNP,0,0,CD_3_NBIA,FTLD,2.2619006472462564,2.05940832417404,4.658177021393589,0
FRMD7,0,0,CD_3_NBIA,FTLD,2.62333529423845,1.7658017647585167,4.632290092119558,0
SFXN1,0,0,CD_3_NBIA,FTLD,1.9914517446842566,2.2532277212220038,4.487194276598491,0
ENPP2,0,0,CD_3_NBIA,FTLD,2.3336991022497937,1.8414064349615444,4.297288544146749,0
HINT2,0,0,CD_3_NBIA,FTLD,1.5325609649245837,2.788619457695934,4.27372932689395,0
CHCHD4,0,0,CD_3_NBIA,FTLD,2.1145262593255594,2.0027871151855385,4.234945946898705,0
ZFAND4,0,0,CD_3_NBIA,FTLD,2.7117086138439004,1.5541257945877975,4.214336304180727,0
NRXN1,0,0,CD_3_NBIA,FTLD,2.3355960509958176,1.8043866817172685,4.2143184082883,0
VCY1B,0,0,CD_3_NBIA,FTLD,2.6393411449846047,1.5758379718006992,4.159173996802674,0
CCDC144NL,0,0,CD_3_NBIA,FTLD,2.6393411449846034,1.5758379718006992,4.159173996802672,0
LOC403312,0,0,CD_3_NBIA,FTLD,2.6393411449846034,1.5758379718006992,4.159173996802672,0
TARP,0,0,CD_3_NBIA,FTLD,2.639341144984603,1.575837971800699,4.1591739968026715,0
C19orf18,0,0,CD_3_NBIA,FTLD,2.639341144984603,1.575837971800699,4.1591739968026715,0
SERTM1,0,0,CD_3_NBIA,FTLD,2.639341144984603,1.5758379718006992,4.1591739968026715,0
FAM53A,0,0,CD_3_NBIA,FTLD,2.639341144984603,1.5758379718006992,4.1591739968026715,0
APP,0,0,CD_3_NBIA,FTLD,2.6393411449846065,1.5758379718006852,4.15917399680264,0
CEP41,0,0,CD_3_NBIA,FTLD,1.885286031398452,2.180328262624521,4.110542417389265,0
CUEDC1,0,0,CD_3_NBIA,FTLD,1.9751102125241118,2.0600408511119883,4.068807723248152,0
STX2,0,0,CD_3_NBIA,FTLD,1.5343476088962693,2.6342108425035375,4.04179510752393,0
HSPA2,0,0,CD_3_NBIA,FTLD,1.594984789483644,2.5297943753460412,4.034983549198212,0
MLST8,0,0,CD_3_NBIA,FTLD,2.592480821933298,1.535906969092038,3.981809361644807,0
SOD1,0,0,CD_3_NBIA,FTLD,2.153909769408602,1.8112853842423184,3.901345284306543,0
HLA-DPA1,0,0,CD_3_NBIA,FTLD,2.0843452749654046,1.8446428428964028,3.8448725935898684,0
STUB1,0,0,CD_3_NBIA,FTLD,1.7633496931753199,2.132071636880843,3.7595878667216365,0
SDCCAG8,0,0,CD_3_NBIA,FTLD,2.100193520844507,1.784305799464856,3.7473874792413686,0
CSK,0,0,CD_3_NBIA,FTLD,1.7381226538447263,2.151252350390548,3.7391404443505243,0
GLMP,0,0,CD_3_NBIA,FTLD,1.8560262559952607,1.9268239047869207,3.576235757963837,0
FASTK,0,0,CD_3_NBIA,FTLD,1.6499542037253259,2.150567842513259,3.5483384521512558,0
RAB25,0,0,CD_3_NBIA,FTLD,1.8162543379887457,1.9454921490194985,3.5335085551797114,0
ABHD14A-ACY1,0,0,CD_3_NBIA,FTLD,1.8429231899826086,1.8667985509595697,3.4403663405893217,0
MYCN,0,0,CD_3_NBIA,FTLD,1.6530408970700767,1.9803787901985408,3.273647131888349,0
C2CD4A,0,0,CD_3_NBIA,FTLD,1.5217655774268055,2.1225747612607426,3.230061207201518,0
ATP10B,0,0,CD_3_NBIA,FTLD,2.0278553502344905,1.5784107778951897,3.2007887408225444,0
DIP2B,0,0,CD_3_NBIA,FTLD,1.6421674118252227,1.9112404489283976,3.1385767813924237,0
ACP2,0,0,CD_3_NBIA,FTLD,2.0249882358461977,1.533832010715783,3.1059917774637795,0
ERCC2,0,0,CD_3_NBIA,FTLD,1.792217935498304,1.716891475239089,3.0770436952276374,0
KLK1,0,0,CD_3_NBIA,FTLD,1.9354422434909535,1.5747348963695769,3.047808440733028,0
