z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,436,298.94,15.039827126666049,4.001694927253947e-20,1.4584866528400349
2,1.5,245,147.07,11.242112790752458,1.5060809445674929e-18,1.6658733936220849
2,2.0,113,63.83,7.061239268003882,1.6611749115707679e-12,1.7703274322418925
3,1.0,344,218.89,12.310885427133176,1.456760124289602e-24,1.5715656265704236
3,1.5,235,136.64,10.957663984627379,1.3992892685598193e-19,1.7198477751756442
3,2.0,113,63.32,7.0397159033586005,8.500482454837829e-13,1.784586228679722
4,1.0,266,158.49,10.783779485875998,1.0352742883654175e-23,1.6783393274023597
4,1.5,201,116.56,9.327722122790751,6.981136672212071e-20,1.724433768016472
4,2.0,113,61.63,7.410337374236074,2.0716107968994455e-12,1.833522635080318
5,1.0,194,115.72,9.69647358579396,3.428511945456711e-16,1.67646042170757
5,1.5,166,92.84,8.16053919787167,1.5500833289622455e-19,1.788022404136148
5,2.0,109,61.57,7.366484914801632,6.02821547561792e-11,1.7703426993665745
9,1.0,79,41.41,5.94658725656994,1.2970883172257645e-10,1.9077517507848347
9,1.5,73,35.89,6.793960553314981,2.3512932355893527e-08,2.0339927556422404
9,2.0,64,30.56,4.930152127470309,5.895390586353543e-12,2.094240837696335
12,1.0,49,25.98,4.7095222687656975,5.094072106923531e-07,1.8860662047729022
12,1.5,46,21.33,4.312899256880458,5.324631118890886e-09,2.156586966713549
12,2.0,41,16.68,3.956968536645193,3.970083024832858e-10,2.458033573141487
