Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C250,PNMA8A ARRDC3 SLC7A11 DGKB TUBA3D TCEAL2 ATRX GLRB SLC9C1 TMEM159 TRIM52 USP3 TBCK ZFYVE27 SYP TUBGCP5 YIF1B EXOC3 SLC12A2 THRAP3 VPS8 SQSTM1 SPTLC1 STXBP6 PHPT1 DMXL2 PLCH1 PRRC2A SOD1 EPDR1 LGR6 KCNE3 SCAMP5 KIF4B SLC4A7 SNAP23 LRRTM2 TECPR2 GOT2 NEK9 COX7A2 ADAM33 CAMK2N1 TANGO2 BLCAP TRAPPC1 NAPSB COG6 TUBGCP2 EVL KLC1 ATP6V1B2 VAMP2 DGLUCY TAOK3 PCBD1 SH3GL2 GDI1 SEC31A SLC44A2 DNM1 GRIK5 RIC3 ANXA11 KYAT3 CERS6 ATP1A3 HERC1 ATP5F1C ABHD14B SLC12A4 KIAA0408 MAN2A2 KIF6 PPP1R21 TBCC POLR2G TXNDC11 VAMP1 SLC9C2 HINT2 SNCB TUBA4B UNC13A NDUFS7 SYT4 LHFPL3 SLC9A9 SLC19A1 MRPS24 KIF1A PTAR1 CC2D1B MT1P3 SLC9B1 MED10 MAN1A1 SLC7A7 NSF CHKB SLC9A2 RTN3 ELAVL4 BLOC1S5 TRAPPC12 SERPINB8 CREG2 RAB6B KIAA1191 AP4B1 PRADC1 RAB3D AREL1 LRIF1 VPS13C SLC9B2 TMCO3 NTRK1 SLC9A8 SRP68 STARD7 CHCHD10 GAPVD1 SEZ6 GRIA1 ESRRA RAB3A OFD1 MACF1 OSBPL10 GPR180 ATL1 TBCEL ATXN7 SLC12A6 CLEC16A NEIL1 KIFAP3 ZFYVE1 POTEF TUBA3E PCYT1B NAP1L3 SGPL1 NCOA2 GRIA2 SPTAN1 WDR45 TRPT1 CSAD CCSAP SNCA SLC33A1 NAXE STUB1 SNAP25 DNAJC13 SPG11 USP33 SLC20A1 SRSF8 SLC7A6 SYNE3 HEATR5B STXBP4 WBP1L TRAPPC11 SLC9A5 STXBP1 VGLL4 GNPTG FIZ1 SLC7A2 TRAPPC3L FASTK ATP1A4 MCRIP2 C9orf135 PLD3 ATG7 TSPAN7 RAB1A DNAL4 SLC9A4 FIG4 LGALS8 IST1 YWHAB EXOC2 RAB3B COG4 CD63 SYN1 IKBKB C1QTNF2 CAMSAP2 DYNC1I1 FBRS TGOLN2 SLC7A3 MIEN1 SCN2B VSIG2 WASHC1 TUBAL3 CALM1 YWHAH KCNIP3 HPCAL4 RAB3GAP1 SLC9A7 SRI SLC7A1 LEKR1 TUBA8 PELI3 DNAH10 CERS2 KYAT1 TRAPPC10 SLC12A7 LRBA CALM3 SLC20A2 KCNB2 AP4S1 MAP1LC3C DNAJC28 CEP72 DOCK5 MPND WDR7 ABTB2 ATP1A1 ATP2B1 CHML RAB1B WDTC1 FAM234A RAB6A,Transport of inorganic cations/anions and amino acids/oligopeptides,1.0577717656991411e-13,0.17757009345794392,19.0,6,5,5,0.025,0.020833333333333332,0.008333333333333333,0.9458333333333333
C256,ATP1A3 SLC9A8 ATP1A4 SLC7A11 SLC12A4 TMCO3 SLC9A4 LGALS8 SLC9C1 SLC7A3 USP3 TXNDC11 SLC9C2 GPR180 SLC12A2 SLC12A6 POTEF SLC9A9 SLC9A7 SLC4A7 SLC7A1 SLC9B2 SLC9B1 SLC7A7 SLC12A7 SLC33A1 SLC20A2 SLC9A2 SLC20A1 SLC7A6 ATP1A1 SLC9A5 SLC7A2,Transport of inorganic cations/anions and amino acids/oligopeptides,2.943333820660072e-29,0.16822429906542055,18.0,1,1,1,0.030303030303030304,0.030303030303030304,0.0,0.9393939393939394
C261,MAP1LC3C MACF1 FBRS SYNE3 NEK9 PELI3 SQSTM1 ATG7 ABTB2 TCEAL2 WASHC1 WDR45 TMEM159 EPDR1 ESRRA TECPR2,C261,,,,0,0,0,0.0,0.0,0.0625,0.9375
C283,ATXN7 TUBA3D ADAM33 CSAD TRIM52 LGR6 IKBKB,C283,,,,1,0,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C281,PCYT1B TRAPPC12 DGLUCY DNAL4 NEIL1 SLC44A2 CHKB,C281,,,,1,0,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C282,SGPL1 SPTLC1 VSIG2 TANGO2 KYAT1 KYAT3 CERS6,Sphingolipid metabolism,6.7954696271628205e-06,0.05555555555555555,3.0,1,0,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C251,PNMA8A ARRDC3 DGKB TSPAN7 TUBA3D RAB1A TCEAL2 SEZ6 GRIA1 GLRB KIF6 EXOC2 RAB3B COG4 RAB3A SYN1 DYNC1I1 SYP TGOLN2 VAMP1 YIF1B EXOC3 SNCB ATL1 SCN2B STXBP6 PLCH1 UNC13A CALM1 YWHAH RAB3GAP1 HPCAL4 LGR6 KIF1A SCAMP5 LRRTM2 SNAP23 KIF4B SYT4 LHFPL3 NAP1L3 GRIA2 MAN1A1 CAMK2N1 SPTAN1 NAPSB NSF COG6 CCSAP SNCA RIC3 CALM3 SNAP25 KLC1 RTN3 KCNB2 ELAVL4 DOCK5 SRSF8 VAMP2 RAB6B KIAA1191 RAB3D CREG2 STXBP4 CHML SH3GL2 GDI1 RAB1B WDTC1 DNM1 GRIK5 RAB6A STXBP1,exocytic process,1.7568878017883464e-13,0.13580246913580246,11.0,1,1,1,0.013513513513513514,0.013513513513513514,0.0,0.972972972972973
C252,NTRK1 SRP68 HERC1 GAPVD1 KIAA0408 ATG7 MAN2A2 FIG4 ATRX PPP1R21 TRIM52 OFD1 IKBKB C1QTNF2 CAMSAP2 USP3 MACF1 TUBGCP5 TBCK THRAP3 VPS8 TBCEL ATXN7 SPTLC1 DMXL2 CLEC16A NEIL1 RAB3GAP1 KCNE3 SLC19A1 TECPR2 PCYT1B LEKR1 NEK9 ADAM33 CHKB CSAD TUBGCP2 LRBA EVL MAP1LC3C DNAJC28 DNAJC13 SPG11 USP33 CEP72 WDR7 HEATR5B DGLUCY TAOK3 AREL1 LRIF1 VPS13C TRAPPC11 SLC44A2 KYAT3 CERS6,C252,,,,1,0,0,0.017543859649122806,0.0,0.017543859649122806,0.9649122807017544
C253,FIZ1 SRP68 FASTK MCRIP2 ATP5F1C STARD7 ABHD14B CHCHD10 PLD3 TCEAL2 IST1 YWHAB TMEM159 ESRRA CD63 POLR2G MIEN1 MACF1 ZFYVE27 FBRS FAM234A HINT2 SQSTM1 SPTLC1 VSIG2 WASHC1 PHPT1 PRRC2A SOD1 NDUFS7 EPDR1 ZFYVE1 SLC19A1 MRPS24 SRI GOT2 CC2D1B COX7A2 KYAT3 PELI3 TANGO2 KYAT1 BLCAP WDR45 TRPT1 EVL NAXE STUB1 MPND SYNE3 PRADC1 ABTB2 PCBD1 WBP1L ANXA11 VGLL4 GNPTG,C253,,,,2,3,3,0.03508771929824561,0.05263157894736842,0.017543859649122806,0.8947368421052632
C309,KIF4B ELAVL4 KIF6 KIF1A,Kinesins,2.6202748093697385e-06,0.05,3.0,1,0,0,0.25,0.0,0.0,0.75
