z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,604,380.32,16.043615552611577,1.759825314569936e-44,1.5881363062684055
2,1.5,280,180.22,12.674052232810151,1.7342586316290488e-15,1.553656641882144
2,2.0,101,61.97,6.479899690581638,8.547908946711976e-10,1.6298208810714863
3,1.0,359,251.84,13.345950696746934,4.897455409454014e-16,1.4255082592121981
3,1.5,250,167.25,10.315401107082556,5.202463537932968e-16,1.4947683109118086
3,2.0,101,61.1,7.167286794875729,1.2961082037424227e-08,1.653027823240589
4,1.0,233,163.73,10.696592915503517,4.7126154892909017e-11,1.4230745739937702
4,1.5,195,125.77,9.043069169258853,9.621584045709275e-15,1.5504492327264054
4,2.0,101,61.0,6.740919818541086,1.479035516949102e-09,1.6557377049180328
5,1.0,156,111.63,10.009650343543475,4.652534760442036e-06,1.3974737973662994
5,1.5,138,90.52,8.362392002292166,6.8218542306050785e-09,1.5245249668581529
5,2.0,89,56.07,6.756115747972351,5.465214220749379e-07,1.5873015873015872
9,1.0,50,34.61,4.943470440894736,0.0009253605037663139,1.444669170759896
9,1.5,43,28.94,5.304375552315277,0.004016948780815928,1.4858327574291637
9,2.0,34,22.73,4.711379840344016,0.008376582962347749,1.4958205015398152
12,1.0,28,20.86,4.197666018158186,0.0444766359412178,1.342281879194631
12,1.5,25,16.84,3.9312084655993504,0.01896096376200819,1.484560570071259
12,2.0,18,12.35,3.2476914878109957,0.04095609489389384,1.45748987854251
