"CD_AnnotatedAlgorithm","CD_AnnotatedMembers","CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_AnnotatedMembers_SourceDB","CD_AnnotatedMembers_SourceTerm","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","CD_NonAnnotatedMembers","HiDeF_persistence","name","NumChildren","NumDescendents","selected","shared name"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","AC138894.1 CLN3 MOGS NAGPA","2.0","4","","6","C159564",,,"false","C159564"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","CHI3L1 SLC1A3 TMEM51 TREM2","2.0","4","","6","C159563",,,"false","C159563"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","ADIPOR1 ATP5F1B HYOU1 TFRC","2.0","4","","8","C159562",,,"false","C159562"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","FMR1 GALC OGA PSEN1","2.0","4","","10","C159561",,,"false","C159561"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","APOC1 APOE NR1H3","0.081","6.884902672055362E-8","3","REAC","REAC:R-HSA-9029569","NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux","true","APOC1 APOE CYP27A1 NR1H3","2.0","4","CYP27A1","15","C159560",,,"false","C159560"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","AKR7A2 ANXA6 AP2S1 COMT","2.0","4","","16","C159559",,,"false","C159559"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","CAT FTH1 GLUL HMOX1 SLC31A2","2.322","5","","6","C159558",,,"false","C159558"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","AOAH MAFB PILRA TCN2 TMEM176A","2.322","5","","6","C159557",,,"false","C159557"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","ACAP3 CIAO3 HYAL1 TMEM53 ZNF276","2.322","5","","9","C159556",,,"false","C159556"
"Annotated by gProfiler [Docker: coleslawndex/cdgprofilergenestoterm:0.3.0] {{--organism=hsapiens, --minoverlap=0.05, --maxpval=0.00001, --maxgenelistsize=5000}} via CyCommunityDetection Cytoscape App (1.12.1)","","0.0","1.0","0","","","(none)","false","ARHGAP17 INPP1 KLC1 PDE4DIP SNAPIN","2.322","5","","10","C159555",,,"false","C159555"
