category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,comparison
Organismal Systems,Digestive system,hsa04979,Cholesterol metabolism,22/176,48/7783,0.4583333333333333,20.268229166666664,20.367020552212413,2.723357044223966e-24,7.788801146480542e-22,6.82272606868741e-22,348/1593/10948/6770/4864/3931/1581/3949/9217/27329/344/336/4023/19/949/255738/338/341/9388/3990/350/1071,22,CD_1B_otherlipid_DLB
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,16/176,67/7783,0.23880597014925373,10.560379918588874,11.95395679575354,9.723701000597071e-13,1.390489243085381e-10,1.2180214937590016e-10,1593/9415/23205/1581/1582/10062/336/4023/5468/1962/2169/116519/5106/6256/440503/2168,16,CD_1B_otherlipid_DLB
Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis,10/176,59/7783,0.1694915254237288,7.495184899845916,7.61713461891876,6.525040208479521e-7,6.220538332083809e-5,5.448980946028512e-5,1588/1583/1312/1581/1584/1543/1589/3290/1576/1545,10,CD_1B_otherlipid_DLB
Organismal Systems,Endocrine system,hsa04913,Ovarian steroidogenesis,9/176,49/7783,0.1836734693877551,8.122333024118738,7.607000969338427,1.188938847401588e-6,8.500912758921354e-5,7.446511728462578e-5,1588/255189/6770/1583/3949/240/1543/949/1545,9,CD_1B_otherlipid_DLB
Cellular Processes,Transport and catabolism,hsa04142,Lysosome,13/176,126/7783,0.10317460317460317,4.5625450937950935,6.13213289490649,4.791414827486624e-6,2.740689281322349e-4,2.400751008298561e-4,410/2760/3074/4864/23659/54/968/1508/1509/8722/768239/967/1497,13,CD_1B_otherlipid_DLB
Metabolism,Lipid metabolism,hsa00561,Glycerolipid metabolism,9/176,61/7783,0.14754098360655737,6.524497019374068,6.588522015551594,7.948264111235109e-6,3.788672559688735e-4,3.318748874515712e-4,1609/57104/11343/4023/10555/9388/160851/3990/1608,9,CD_1B_otherlipid_DLB
Metabolism,Lipid metabolism,hsa00564,Glycerophospholipid metabolism,11/176,97/7783,0.1134020618556701,5.014819587628866,6.051972562454276,1.0648846168203933e-5,4.3508142915804637e-4,3.8111659970414076e-4,1609/255189/11145/3931/23659/23646/5338/26279/10555/160851/1608,11,CD_1B_otherlipid_DLB
Organismal Systems,Digestive system,hsa04976,Bile secretion,10/176,85/7783,0.11764705882352941,5.202540106951871,5.925535649801088,1.9560118705829165e-5,6.992742437333927e-4,6.125405594720186e-4,1581/3949/949/6822/2052/6256/1080/1576/1244/5244,10,CD_1B_otherlipid_DLB
Organismal Systems,Digestive system,hsa04975,Fat digestion and absorption,7/176,41/7783,0.17073170731707318,7.5500277161862535,6.395930288593652,3.151848451820884e-5,0.0010015873969119698,8.773566450682693e-4,26279/19/949/2169/338/10555/2168,7,CD_1B_otherlipid_DLB
Metabolism,Lipid metabolism,hsa00590,Arachidonic acid metabolism,8/176,60/7783,0.13333333333333333,5.8962121212121215,5.790793410095474,5.470897869567693e-5,0.0015646767906963603,0.0013706038873232745,255189/11145/8529/26279/240/5742/6916/5730,8,CD_1B_otherlipid_DLB
