category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,comparison
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,26/105,356/7783,0.07303370786516854,5.413536650615302,9.968303064373112,6.574716888475181e-13,1.5713573363455682e-10,1.0104301744393436e-10,5663/91252/23516/348/29985/57181/201266/55334/64116/4891/25800/27173/7922/29986/283375/5295/841/3643/840/836/3709/4790/102/3553/5970/7132,26,CD_1E_mineral_abs_AD
Environmental Information Processing,Membrane transport,hsa02010,ABC transporters,10/105,43/7783,0.23255813953488372,17.238095238095237,12.485761663839044,1.711752427321213e-10,2.0455441506488494e-8,1.3153466020468268e-8,9619/10349/10057/64241/10350/340273/85320/64240/5826/10058,10,CD_1E_mineral_abs_AD
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,16/105,211/7783,0.07582938388625593,5.620762807492666,7.957301429282846,1.7936439129362045e-8,1.428936317305843e-6,9.188491624164417e-7,5295/841/6347/836/3709/7422/581/4790/3439/6655/9560/11214/3553/567/5970/7132,16,CD_1E_mineral_abs_AD
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,16/105,245/7783,0.0653061224489796,4.840738581146745,7.143086882278965,1.4621945402791995e-7,8.736612378168217e-6,5.61790533896745e-6,91252/23516/29985/57181/201266/55334/64116/4891/25800/27173/7922/29986/283375/836/3709/581,16,CD_1E_mineral_abs_AD
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,11/105,114/7783,0.09649122807017543,7.152297410192147,7.738140080744258,3.213475718910566e-7,1.5360413936392506e-5,9.877209578125108e-6,5295/841/6347/840/836/1051/4790/7128/3553/5970/7132,11,CD_1E_mineral_abs_AD
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,14/105,208/7783,0.0673076923076923,4.989102564102564,6.819173815249602,6.578414418450021e-7,2.6204017433492585e-5,1.6849973773573736e-5,5295/841/9619/4067/6347/840/836/8743/581/4790/3439/3553/5970/7132,14,CD_1E_mineral_abs_AD
Organismal Systems,Immune system,hsa04623,Cytosolic DNA-sensing pathway,9/105,80/7783,0.1125,8.338928571428571,7.715497133526785,1.0965132642788164e-6,3.743809573751959e-5,2.407382505033191e-5,841/661/840/836/4790/3439/9560/3553/5970,9,CD_1E_mineral_abs_AD
Cellular Processes,Cell growth and death,hsa04210,Apoptosis,11/105,131/7783,0.08396946564885496,6.224136677571792,7.0514577282680415,1.3099726692775312e-6,3.913543349466625e-5,2.5165264436120997e-5,5295/841/840/836/8743/3709/581/4790/5970/7132/142,11,CD_1E_mineral_abs_AD
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,9/105,92/7783,0.09782608695652174,7.251242236024845,7.053181261630314,3.5924656873003804e-6,9.207417722036215e-5,5.920647379067551e-5,841/338324/6347/836/1051/4790/7128/3553/5970,9,CD_1E_mineral_abs_AD
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,12/105,176/7783,0.06818181818181818,5.053896103896103,6.361191189397483,3.852476034324776e-6,9.207417722036215e-5,5.920647379067551e-5,841/10892/50617/836/23545/581/1051/4790/3439/3553/5970/7132,12,CD_1E_mineral_abs_AD
Environmental Information Processing,Signal transduction,hsa04064,NF-kappa B signaling pathway,9/105,100/7783,0.09,6.671142857142858,6.674540608130543,7.1937316731356975e-6,1.5554437282138962e-4,1.0001972443040247e-4,10892/4067/4790/7128/9560/3553/5970/7132/142,9,CD_1E_mineral_abs_AD
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,9/105,101/7783,0.0891089108910891,6.605091937765205,6.630136732184177,7.809759304839645e-6,1.5554437282138962e-4,1.0001972443040247e-4,5295/3480/3643/3162/7422/7037/4790/5970/2064,9,CD_1E_mineral_abs_AD
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,11/105,165/7783,0.06666666666666667,4.941587301587302,5.984237853364877,1.241041753235312e-5,2.2816075309479964e-4,1.4671424775089518e-4,5295/841/6347/836/8743/581/4790/3439/3553/5970/7132,11,CD_1E_mineral_abs_AD
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,11/105,173/7783,0.06358381502890173,4.713074593999449,5.775380552877133,1.941110351075926e-5,3.313752670765331e-4,2.1308429417825957e-4,5295/841/6347/836/581/4790/3439/3553/567/5970/7132,11,CD_1E_mineral_abs_AD
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,10/105,145/7783,0.06896551724137931,5.111986863711001,5.844698347270592,2.3511003443073154e-5,3.7460865485963225e-4,2.40884666855346e-4,5295/841/3643/840/836/581/4790/3553/5970/7132,10,CD_1E_mineral_abs_AD
Human Diseases,Infectious disease: bacterial,hsa05120,Epithelial cell signaling in Helicobacter pylori infection,7/105,67/7783,0.1044776119402985,7.744278606965174,6.483253504741072,2.9769169128298988e-5,4.446769638539661e-4,2.859407034691876e-4,4067/50617/836/23545/4790/102/5970,7,CD_1E_mineral_abs_AD
Human Diseases,Infectious disease: bacterial,hsa05130,Pathogenic Escherichia coli infection,11/105,187/7783,0.058823529411764705,4.360224089635854,5.438921304691252,4.003734953660606e-5,5.246421512949643e-4,3.3736073150876365e-4,841/10802/840/836/8743/581/9871/4790/3553/5970/7132,11,CD_1E_mineral_abs_AD
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,11/105,187/7783,0.058823529411764705,4.360224089635854,5.438921304691252,4.003734953660606e-5,5.246421512949643e-4,3.3736073150876365e-4,5295/841/4067/836/3709/7422/581/4790/3439/5970/7132,11,CD_1E_mineral_abs_AD
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,8/105,96/7783,0.08333333333333333,6.176984126984126,5.968294134632111,4.1707953450227284e-5,5.246421512949643e-4,3.3736073150876365e-4,5295/6347/836/7422/581/4790/3553/5970,8,CD_1E_mineral_abs_AD
Human Diseases,Drug resistance: antineoplastic,hsa01524,Platinum drug resistance,7/105,72/7783,0.09722222222222222,7.2064814814814815,6.186892491619251,4.771928525711809e-5,5.702454588225611e-4,3.6668503408101276e-4,540/538/5295/841/836/581/2064,7,CD_1E_mineral_abs_AD
Cellular Processes,Cell growth and death,hsa04215,Apoptosis - multiple species,5/105,31/7783,0.16129032258064516,11.955453149001535,7.146946312398858,5.2204703066524064e-5,5.941392396618692e-4,3.8204945602568995e-4,841/840/836/581/7132,5,CD_1E_mineral_abs_AD
Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,8/105,100/7783,0.08,5.929904761904762,5.802154937096233,5.59869305842849e-5,6.082216549838223e-4,3.911048739380668e-4,1636/5295/841/6347/4790/3553/5970/7132,8,CD_1E_mineral_abs_AD
