category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,comparison
Metabolism,Glycan biosynthesis and metabolism,hsa00512,Mucin type O-glycan biosynthesis,25/106,32/7783,0.78125,57.36291273584906,37.539832013227254,3.3929024060547844e-42,5.530430921869299e-40,5.000066703659683e-40,6482/11227/79623/114805/6483/11226/27090/374378/50614/57452/55808/442117/55568/79695/10610/26290/8693/63917/2591/256435/2650/9334/9245/2590/100528030,25,CD_1H_other_IEMs_PD
Metabolism,Glycan biosynthesis and metabolism,hsa00514,Other types of O-glycan biosynthesis,18/106,44/7783,0.4090909090909091,30.037307032590054,22.69567099778179,4.4616525954124097e-23,3.6362468652611136e-21,3.2875334913565124e-21,6487/11227/79623/114805/6480/11226/374378/50614/57452/442117/55568/79695/26290/8693/63917/2591/2590/100528030,18,CD_1H_other_IEMs_PD
Metabolism,Glycan biosynthesis and metabolism,hsa00604,Glycosphingolipid biosynthesis - ganglio series,7/106,15/7783,0.4666666666666667,34.264779874213836,15.15229616947702,4.188572530136227e-10,2.2757910747073503e-8,2.057544400768673e-8,6482/6483/27090/30815/3073/256435/2583,7,CD_1H_other_IEMs_PD
Metabolism,Amino acid metabolism,hsa00380,Tryptophan metabolism,7/106,40/7783,0.175,12.849292452830188,8.828167407481258,9.174572996922877e-7,3.7386384962460724e-5,3.380105840971586e-5,130013/64577/8564/1644/8942/23498/1962,7,CD_1H_other_IEMs_PD
Metabolism,Amino acid metabolism,hsa00280,"Valine, leucine and isoleucine degradation",7/106,47/7783,0.14893617021276595,10.935568044961862,8.027608349758331,2.8620802720514345e-6,9.330381686887676e-5,8.435605012362123e-5,54511/64902/4329/5095/197322/1962/11112,7,CD_1H_other_IEMs_PD
Metabolism,Glycan biosynthesis and metabolism,hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series,5/106,28/7783,0.17857142857142858,13.111522911051214,7.543790954961722,3.264569106978728e-5,8.868746073958879e-4,8.018239911877577e-4,6487/124872/6484/84002/2651,5,CD_1H_other_IEMs_PD
Metabolism,Carbohydrate metabolism,hsa00650,Butanoate metabolism,4/106,26/7783,0.15384615384615385,11.296081277213354,6.178947654333262,3.85802240281127e-4,0.008983680737974814,0.008122152426971094,54511/123876/6296/1962,4,CD_1H_other_IEMs_PD
Metabolism,Amino acid metabolism,hsa00250,"Alanine, aspartate and glutamate metabolism",4/106,27/7783,0.14814814814814814,10.87770789657582,6.041182233439402,4.481838337239275e-4,0.009131745612125023,0.008256017989651296,8659/64902/445/137362,4,CD_1H_other_IEMs_PD
Metabolism,Lipid metabolism,hsa00600,Sphingolipid metabolism,5/106,52/7783,0.09615384615384616,7.060050798258346,5.151846033954947,6.662120323369862e-4,0.011874526536001314,0.010735768259865571,3073/55304/9334/9517/2583,5,CD_1H_other_IEMs_PD
Metabolism,Global and overview maps,hsa01240,Biosynthesis of cofactors,8/106,144/7783,0.05555555555555555,4.079140461215933,4.382231004368982,7.398212344343505e-4,0.011874526536001314,0.010735768259865571,8564/7364/8942/51109/23498/93100/80025/7358,8,CD_1H_other_IEMs_PD
Metabolism,Glycan biosynthesis and metabolism,hsa00533,Glycosaminoglycan biosynthesis - keratan sulfate,3/106,14/7783,0.21428571428571427,15.733827493261455,6.483355165801257,8.013484165399659e-4,0.011874526536001314,0.010735768259865571,6482/6487/6483,3,CD_1H_other_IEMs_PD
Metabolism,Glycan biosynthesis and metabolism,hsa00603,Glycosphingolipid biosynthesis - globo and isoglobo series,3/106,15/7783,0.2,14.68490566037736,6.233552255613441,9.918024030653074e-4,0.013471982641637093,0.012180029511328338,6482/6483/3073,3,CD_1H_other_IEMs_PD
