category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,comparison
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,25/105,440/7783,0.056818181818181816,4.211580086580087,8.110068817825155,4.721306222486124e-10,8.781629573824191e-8,7.305600154794318e-8,8878/643246/80208/53349/27429/9896/440738/113457/3831/347733/4137/808/6647/9927/6622/2891/2890/4741/30849/126328/7316/801/1347/5532/841,25,CD_4_notcateg_FTLD
Organismal Systems,Nervous system,hsa04721,Synaptic vesicle cycle,11/105,76/7783,0.14473684210526316,10.72844611528822,9.966067016877034,4.3742699213288025e-9,4.068071026835786e-7,3.384303570712284e-7,23025/1759/6812/6844/5864/6616/161/6857/163/1785/6506,11,CD_4_notcateg_FTLD
Cellular Processes,Transport and catabolism,hsa04140,Autophagy - animal,13/105,165/7783,0.07878787878787878,5.840057720057719,7.348322999005073,2.8050269679514227e-7,1.739116720129882e-5,1.446803383469681e-5,8878/643246/53349/440738/11152/64121/10533/30849/55054/170067/7316/64223/11337,13,CD_4_notcateg_FTLD
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,18/105,336/7783,0.05357142857142857,3.970918367346939,6.510073463088877,4.4641847087621504e-7,2.0758458895744e-5,1.7269346110211475e-5,8878/643246/80208/400916/9896/440738/113457/3831/347733/6647/2891/2890/4741/30849/126328/1347/5532/6506,18,CD_4_notcateg_FTLD
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,13/105,245/7783,0.053061224489795916,3.93310009718173,5.455041624398824,2.3001756058857545e-5,8.556653253895007e-4,7.11843819084644e-4,27429/113457/3831/347733/4137/808/6647/9927/6622/126328/7316/801/1347,13,CD_4_notcateg_FTLD
Cellular Processes,Transport and catabolism,hsa04136,Autophagy - other,5/105,32/7783,0.15625,11.581845238095237,7.0141287780266905,6.121296126178439e-5,0.001897601799115316,0.001578650053593387,10533/30849/55054/64223/11337,5,CD_4_notcateg_FTLD
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,13/105,278/7783,0.046762589928057555,3.466221308667352,4.896607623334457,8.545135649487044e-5,0.002270564615435129,0.0018889247225181884,113457/3831/347733/6647/2891/2890/161/30849/126328/163/1347/6506/841,13,CD_4_notcateg_FTLD
Organismal Systems,Nervous system,hsa04720,Long-term potentiation,6/105,65/7783,0.09230769230769231,6.842197802197802,5.530912107540941,2.2638467733779105e-4,0.004678616664981016,0.0038922277858076354,5499/808/2891/2890/801/5532,6,CD_4_notcateg_FTLD
Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,6/105,65/7783,0.09230769230769231,6.842197802197802,5.530912107540941,2.2638467733779105e-4,0.004678616664981016,0.0038922277858076354,5499/808/2891/2890/801/5532,6,CD_4_notcateg_FTLD
Organismal Systems,Excretory system,hsa04961,Endocrine and other factor-regulated calcium reabsorption,5/105,52/7783,0.09615384615384616,7.127289377289378,5.184041094400182,6.379850413817628e-4,0.011866521769700789,0.009871979061380962,1759/482/161/163/1785,5,CD_4_notcateg_FTLD
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,13/105,356/7783,0.03651685393258427,2.706768325307651,3.8548640861444565,9.454559804351962e-4,0.01598680112372241,0.01329971570564343,113457/3831/347733/4137/808/6622/10313/30849/126328/801/1347/5532/841,13,CD_4_notcateg_FTLD
Cellular Processes,Transport and catabolism,hsa04142,Lysosome,7/105,126/7783,0.05555555555555555,4.117989417989418,4.1261669377267305,0.0015098148460471964,0.02205386621585564,0.01834701943254544,23312/130340/1174/967/84572/1497/8120,7,CD_4_notcateg_FTLD
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,6/105,93/7783,0.06451612903225806,4.782181259600614,4.290785967653355,0.0015413992516458243,0.02205386621585564,0.01834701943254544,808/2891/2890/3763/801/2983,6,CD_4_notcateg_FTLD
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,7/105,129/7783,0.05426356589147287,4.022222222222222,4.047559388005712,0.0017294633039742489,0.02297715532422931,0.019115120728136432,5499/808/2891/2890/3763/801/5532,7,CD_4_notcateg_FTLD
Human Diseases,Infectious disease: bacterial,hsa05131,Shigellosis,9/105,210/7783,0.04285714285714286,3.176734693877551,3.739360853119055,0.0020410715201366774,0.024684343544422376,0.020535362201641705,8878/643246/440738/55072/64121/30849/55054/7316/4792,9,CD_4_notcateg_FTLD
Cellular Processes,Transport and catabolism,hsa04137,Mitophagy - animal,6/105,99/7783,0.06060606060606061,4.4923520923520925,4.089386416430012,0.002123384390918054,0.024684343544422376,0.020535362201641705,8878/643246/440738/9927/7316/11337,6,CD_4_notcateg_FTLD
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,8/105,177/7783,0.04519774011299435,3.3502286790422384,3.6985781786841954,0.002608323837971159,0.02853813140368445,0.023741399639737485,643246/440738/55072/9927/55054/4792/841/11337,8,CD_4_notcateg_FTLD
Cellular Processes,Cell motility,hsa04814,Motor proteins,8/105,181/7783,0.04419889502762431,3.276190476190476,3.623265556756024,0.0029948668675136075,0.030946957630973947,0.02574534675581873,547/113457/3831/1780/22920/285643/347733/63971,8,CD_4_notcateg_FTLD
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,8/105,187/7783,0.0427807486631016,3.171072065189712,3.514137686769581,0.0036570302534770787,0.03580040142877561,0.029783016468760696,643246/440738/808/7316/801/5532/4792/841,8,CD_4_notcateg_FTLD
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,7/105,149/7783,0.04697986577181208,3.4823266219239377,3.5776033638015097,0.0038972969603322367,0.0362448617310898,0.03015277121941257,5499/808/3763/100134444/801/5532/2983,7,CD_4_notcateg_FTLD
Cellular Processes,Transport and catabolism,hsa04144,Endocytosis,9/105,243/7783,0.037037037037037035,2.7453262786596118,3.232289865000532,0.005388981778419758,0.04773098146600357,0.039708286788356105,100287171/1759/6456/161/9798/163/93343/1785/27183,9,CD_4_notcateg_FTLD
