query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,comparison
query_1,TRUE,1.7607538801627082e-27,114,261,34,0.13026819923371646,0.2982456140350877,KEGG_LYSOSOME,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_LYSOSOME,12733,407,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","CTSH,GM2A,MAN2B1,CTSA,CTSD,MANBA,NPC1,NAGA,NPC2,HEXA,FUCA1,CLN3,CD68,IDUA,CTSB,SCARB2,GAA,LAMP1,NAGPA,ACP5,LGMN,IGF2R,CTNS,CTSL,TCIRG1,SLC11A2,LAPTM5,CTSC,CTSS,CTSF,CTSK,SORT1,CTSW,ABCA2",CD_1A_lyso_AD
query_1,TRUE,2.048832870111447e-19,453,261,49,0.18773946360153257,0.10816777041942605,REACTOME_NEUTROPHIL_DEGRANULATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NEUTROPHIL_DEGRANULATION,12733,2303,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","GRN,CTSH,GM2A,PSEN1,ATP8B4,MAN2B1,CTSA,CTSD,MANBA,NPC2,FUCA1,CD68,CTSB,TIMP2,GAA,NCSTN,LAMP1,MVP,CYB5R3,RNASET2,IGF2R,ATP8A1,HPSE,TCIRG1,FCER1G,ITGB2,CTSC,CTSS,PKM,PLAUR,CHI3L1,GSDMD,CD14,CYBB,CYBA,MPO,PYGL,CHIT1,VAMP8,PECAM1,LYZ,TLR2,PLEKHO2,RAB31,CD55,COTL1,TMEM30A,RAB7A,C3AR1",CD_1A_lyso_AD
query_1,TRUE,3.6863287365143564e-16,1052,261,69,0.26436781609195403,0.0655893536121673,REACTOME_INNATE_IMMUNE_SYSTEM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INNATE_IMMUNE_SYSTEM,12733,2049,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","GRN,CTSH,GM2A,PSEN1,ATP8B4,MAN2B1,CLU,CTSA,CTSD,MANBA,TREM2,NPC2,FUCA1,CD68,CTSB,TIMP2,GAA,KIR2DS4,NCSTN,LAMP1,MVP,LGMN,CYB5R3,RNASET2,IGF2R,ATP8A1,HPSE,PLD3,CTSL,TCIRG1,FCER1G,ITGB2,CTSC,CTSS,PKM,PLAUR,CHI3L1,HMOX1,GSDMD,CD14,CYBB,CYBA,CTSK,MPO,PYGL,KIR3DS1,LY96,CHIT1,ARPC1B,VAMP8,DNM2,PECAM1,UNC93B1,LYZ,TLR2,PLEKHO2,ATP6V1C1,TLR1,RAB31,C1QB,CLEC10A,CD55,ATP7A,COTL1,TMEM30A,TREX1,RAB7A,ICAM3,C3AR1",CD_1A_lyso_AD
query_1,TRUE,1.8363163403670136e-12,123,261,22,0.0842911877394636,0.17886178861788618,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,12733,2212,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","CTSH,HLA-DRB1,CTSA,CTSD,CTSB,LGMN,HLA-DMA,CTSL,HLA-DMB,CTSC,CTSS,CTSF,HLA-DQA1,CTSK,HLA-DRA,DNM2,IFI30,CD74,HLA-DPA1,HLA-DPB1,HLA-DQA2,RAB7A",CD_1A_lyso_AD
query_1,TRUE,6.820421375944334e-10,15,261,9,0.034482758620689655,0.6,KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES,12733,630,,"X,X,X,X,X,X,X,X,X","HLA-DRB1,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DRA,CD74,HLA-DPA1,HLA-DPB1,HLA-DQA2",CD_1A_lyso_AD
query_1,TRUE,1.7432020997807757e-8,125,261,18,0.06896551724137931,0.144,WP_EBOLA_VIRUS_INFECTION_IN_HOST,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_EBOLA_VIRUS_INFECTION_IN_HOST,12733,3353,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","HLA-DRB1,NPC1,NPC2,CTSB,HLA-DMA,CTSL,HLA-DMB,HLA-DQA1,HLA-DRA,VPS41,HLA-DPA1,HLA-DPB1,CLEC10A,REL,HLA-DQA2,HAVCR2,RAB7A,ICAM3",CD_1A_lyso_AD
query_1,TRUE,2.710462292004737e-8,85,261,15,0.05747126436781609,0.17647058823529413,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,12733,324,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","HLA-DRB1,CTSB,KIR2DS4,LGMN,HLA-DMA,CTSL,HLA-DMB,CTSS,HLA-DQA1,HLA-DRA,IFI30,CD74,HLA-DPA1,HLA-DPB1,HLA-DQA2",CD_1A_lyso_AD
query_1,TRUE,2.710462292004737e-8,15,261,8,0.03065134099616858,0.5333333333333333,KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION,12733,576,,"X,X,X,X,X,X,X,X","HLA-DRB1,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DRA,HLA-DPA1,HLA-DPB1,HLA-DQA2",CD_1A_lyso_AD
query_1,TRUE,6.719702674966567e-8,122,261,17,0.06513409961685823,0.13934426229508196,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,12733,1957,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","HEXA,IDUA,DSE,HPSE,NDST2,B3GALT6,SLC35B3,CHPF,XYLT2,NDST1,CHPF2,PAPSS2,PAPSS1,B4GALT4,B4GALT2,AGRN,SLC35B2",CD_1A_lyso_AD
query_1,TRUE,1.302968933710075e-7,700,261,41,0.15708812260536398,0.05857142857142857,REACTOME_TRANSPORT_OF_SMALL_MOLECULES,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSPORT_OF_SMALL_MOLECULES,12733,3071,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","APOE,ABCA7,ATP8B4,SLC24A4,ATP13A2,NPC1,NPC2,CLN3,ATP8B3,CLCN7,SLC39A1,SLC8B1,TPCN1,ATP8A1,CTNS,TCIRG1,ATP8A2,SLC20A2,SLC11A2,SLC35B3,APOC1,SLC15A3,ATP10D,HMOX1,ATP2B1,ATP8B1,SLCO2B1,ABCG1,PLTP,SLC7A7,SLC1A3,SLC39A7,VLDLR,ATP10A,ATP6V1C1,ADD3,ATP7A,ATP1B1,ABCA2,SLC35A1,SLC35B2",CD_1A_lyso_AD
query_1,TRUE,6.769419435970262e-7,30,261,9,0.034482758620689655,0.3,KEGG_ASTHMA,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ASTHMA,12733,330,,"X,X,X,X,X,X,X,X,X","HLA-DRB1,HLA-DMA,FCER1G,HLA-DMB,HLA-DQA1,HLA-DRA,HLA-DPA1,HLA-DPB1,HLA-DQA2",CD_1A_lyso_AD
