query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,comparison
query_1,TRUE,1.359078577328362e-14,114,184,21,0.11413043478260869,0.18421052631578946,KEGG_LYSOSOME,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_LYSOSOME,12733,407,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","CTSB,CTSD,GNPTAB,CTSA,HEXA,ASAH1,FUCA1,M6PR,DNASE2,LAMP1,SORT1,GNPTG,SCARB2,CTSF,CTSZ,AP1S3,IGF2R,ATP6V0C,CTSE,AP3M1,AP1B1",CD_1A_lyso_PD
query_1,TRUE,1.655120237563355e-12,70,184,16,0.08695652173913043,0.22857142857142856,REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,12733,3075,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","M6PR,DNASE2,SORT1,VAMP8,CTSZ,AP1S3,IGF2R,FTL,DNM2,TGOLN2,TFRC,SNAPIN,ARF1,VAMP2,AP1B1,PICALM",CD_1A_lyso_PD
query_1,TRUE,7.188969038514875e-11,123,184,18,0.09782608695652174,0.14634146341463414,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,12733,2212,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","CTSB,CTSD,CTSA,HLA-DRB1,CAPZB,AP2A2,CTSF,AP1S3,RAB7A,DNM2,CTSE,AP2S1,KLC1,ARF1,AP1B1,TUBB4A,HLA-DQA2,OSBPL1A",CD_1A_lyso_PD
query_1,TRUE,1.2475644970613685e-10,611,184,36,0.1956521739130435,0.058919803600654665,REACTOME_MEMBRANE_TRAFFICKING,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MEMBRANE_TRAFFICKING,12733,2177,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","M6PR,PLIN3,DNASE2,SORT1,CAPZB,SCARB2,AP2A2,PLA2G4A,DAB2,VAMP8,GALNT2,CTSZ,AP1S3,IGF2R,FTL,RAB27B,SLC2A8,RAB7A,DNM2,TGOLN2,VAMP3,AP2S1,LMAN2,GALNT1,TFRC,KLC1,SNAPIN,ARF1,COPS6,VAMP2,RAB9A,AP1B1,NECAP2,TUBB4A,PICALM,PPP6R1",CD_1A_lyso_PD
query_1,TRUE,1.4554597639355256e-10,54,184,13,0.07065217391304347,0.24074074074074073,REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,12733,1963,,"X,X,X,X,X,X,X,X,X,X,X,X,X","SORT1,VAMP8,AP1S3,IGF2R,FTL,DNM2,TGOLN2,TFRC,SNAPIN,ARF1,VAMP2,AP1B1,PICALM",CD_1A_lyso_PD
query_1,TRUE,4.280429837888541e-9,703,184,36,0.1956521739130435,0.051209103840682786,REACTOME_VESICLE_MEDIATED_TRANSPORT,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_VESICLE_MEDIATED_TRANSPORT,12733,3110,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","M6PR,PLIN3,DNASE2,SORT1,CAPZB,SCARB2,AP2A2,PLA2G4A,DAB2,VAMP8,GALNT2,CTSZ,AP1S3,IGF2R,FTL,RAB27B,SLC2A8,RAB7A,DNM2,TGOLN2,VAMP3,AP2S1,LMAN2,GALNT1,TFRC,KLC1,SNAPIN,ARF1,COPS6,VAMP2,RAB9A,AP1B1,NECAP2,TUBB4A,PICALM,PPP6R1",CD_1A_lyso_PD
query_1,TRUE,4.280429837888541e-9,103,184,15,0.08152173913043478,0.14563106796116504,REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS,12733,1536,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","M6PR,SCARB2,AP2A2,DAB2,VAMP8,IGF2R,SLC2A8,TGOLN2,VAMP3,AP2S1,TFRC,COPS6,VAMP2,NECAP2,PICALM",CD_1A_lyso_PD
query_1,TRUE,3.672514165122507e-8,142,184,16,0.08695652173913043,0.11267605633802817,REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,12733,1597,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","M6PR,SCARB2,AP2A2,DAB2,VAMP8,IGF2R,SLC2A8,DNM2,TGOLN2,VAMP3,AP2S1,TFRC,COPS6,VAMP2,NECAP2,PICALM",CD_1A_lyso_PD
query_1,TRUE,5.49969794777739e-8,453,184,27,0.14673913043478262,0.059602649006622516,REACTOME_NEUTROPHIL_DEGRANULATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NEUTROPHIL_DEGRANULATION,12733,2303,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","CTSB,CTSD,CTSA,ASAH1,FUCA1,TSPAN14,LAMP1,TOM1,AP2A2,ATP8B4,ATP8A1,MAPK1,VAMP8,CTSZ,HPSE,IGF2R,NHLRC3,FTL,ATP6V0C,TMBIM1,RAB7A,LTA4H,DPP7,ENPP4,PYGB,CMTM6,GSN",CD_1A_lyso_PD
query_1,TRUE,1.6236998994202198e-7,35,184,9,0.04891304347826087,0.2571428571428571,REACTOME_LYSOSOME_VESICLE_BIOGENESIS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_LYSOSOME_VESICLE_BIOGENESIS,12733,2149,,"X,X,X,X,X,X,X,X,X","M6PR,DNASE2,VAMP8,CTSZ,AP1S3,DNM2,ARF1,VAMP2,AP1B1",CD_1A_lyso_PD
query_1,TRUE,1.231828858795142e-4,54,184,8,0.043478260869565216,0.14814814814814814,REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES,12733,2103,,"X,X,X,X,X,X,X,X","ATP13A2,ATP8B3,ATP8B4,ATP8A1,ATP8A2,ATP8B1,ATP8B2,ATP10A",CD_1A_lyso_PD
query_1,TRUE,1.8916467108260135e-4,58,184,8,0.043478260869565216,0.13793103448275862,REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS,12733,2384,,"X,X,X,X,X,X,X,X","GALNT18,ST3GAL4,GALNT2,ST3GAL1,B3GNT5,ST6GALNAC4,GCNT1,GALNT1",CD_1A_lyso_PD
query_1,TRUE,1.8916467108260135e-4,100,184,10,0.05434782608695652,0.1,REACTOME_SPHINGOLIPID_METABOLISM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SPHINGOLIPID_METABOLISM,12733,2883,,"X,X,X,X,X,X,X,X,X,X","CTSA,HEXA,ASAH1,M6PR,SPTLC2,CERS6,SMPD3,B3GNT5,SPHK2,B4GALNT1",CD_1A_lyso_PD
query_1,TRUE,1.9417379144926372e-4,179,184,13,0.07065217391304347,0.07262569832402235,REACTOME_ION_CHANNEL_TRANSPORT,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ION_CHANNEL_TRANSPORT,12733,2101,,"X,X,X,X,X,X,X,X,X,X,X,X,X","ATP13A2,ATP8B3,CLCN6,ATP8B4,ATP8A1,MCOLN3,ATP6V0C,ATP8A2,ATP8B1,ATP8B2,ATP6V1F,ATP6V1G1,ATP10A",CD_1A_lyso_PD
query_1,TRUE,4.4193706208010906e-4,195,184,13,0.07065217391304347,0.06666666666666667,REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,12733,2095,,"X,X,X,X,X,X,X,X,X,X,X,X,X","M6PR,PLIN3,CAPZB,PLA2G4A,GALNT2,IGF2R,TGOLN2,VAMP3,GALNT1,KLC1,ARF1,RAB9A,TUBB4A",CD_1A_lyso_PD
query_1,TRUE,4.4193706208010906e-4,9,184,4,0.021739130434782608,0.4444444444444444,REACTOME_MATURATION_OF_PROTEIN_3A,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MATURATION_OF_PROTEIN_3A,12733,2163,,"X,X,X,X","ST3GAL4,ST3GAL1,ST6GALNAC4,GALNT1",CD_1A_lyso_PD
query_1,TRUE,4.8712897012729813e-4,366,184,18,0.09782608695652174,0.04918032786885246,WP_FATTY_ACID_AND_LIPOPROTEIN_TRANSPORT_IN_HEPATOCYTES,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FATTY_ACID_AND_LIPOPROTEIN_TRANSPORT_IN_HEPATOCYTES,12733,3412,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","BIN3,STEAP2,SORT1,TOM1,SCARB2,AP2A2,DAB2,RAB7A,LRP10,DNM2,CLEC10A,SNX10,AP3M1,AP2S1,TFRC,NECAP2,PICALM,PCYOX1",CD_1A_lyso_PD
query_1,TRUE,7.644500200013763e-4,53,184,7,0.03804347826086957,0.1320754716981132,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_GLYCOSPHINGOLIPID_METABOLISM,12733,1960,,"X,X,X,X,X,X,X","CTSA,HEXA,ASAH1,M6PR,SMPD3,B3GNT5,B4GALNT1",CD_1A_lyso_PD
query_1,TRUE,7.644500200013763e-4,21,184,5,0.02717391304347826,0.23809523809523808,REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS,12733,2274,,"X,X,X,X,X","AP2A2,AP1S3,AP2S1,ARF1,AP1B1",CD_1A_lyso_PD
