query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,comparison
query_1,TRUE,9.910151476614511e-78,152,154,61,0.3961038961038961,0.40131578947368424,REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,12733,1815,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","SCFD1,COG3,TUBA4A,FOLR1,ARCN1,COG7,COPB1,COG1,COPA,KDELR2,GOLGB1,COPG2,COPG1,SEC31A,COPE,STX5,COG8,TBC1D20,LMAN2L,DYNC1LI2,BET1L,SPTBN4,DYNC1LI1,COG2,COG4,DYNC1I2,COPB2,GOSR1,SPTA1,DCTN2,COG6,TMED2,TRAPPC1,DCTN5,TMEM115,TFG,COG5,SPTAN1,DCTN4,GORASP1,LMAN1,TRAPPC10,COPZ2,TMED7,ARFGAP2,SEC22B,ANK3,KDELR3,DYNC1I1,GOSR2,TMED10,DYNC1H1,DCTN3,KDELR1,SEC24A,SEC16A,GRIA1,SPTBN2,BET1,ARF3,USO1",CD_1D_vitaminreposn_ALS
query_1,TRUE,1.5005260136444527e-72,180,154,61,0.3961038961038961,0.3388888888888889,REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION,12733,3074,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","SCFD1,COG3,TUBA4A,FOLR1,ARCN1,COG7,COPB1,COG1,COPA,KDELR2,GOLGB1,COPG2,COPG1,SEC31A,COPE,STX5,COG8,TBC1D20,LMAN2L,DYNC1LI2,BET1L,SPTBN4,DYNC1LI1,COG2,COG4,DYNC1I2,COPB2,GOSR1,SPTA1,DCTN2,COG6,TMED2,TRAPPC1,DCTN5,TMEM115,TFG,COG5,SPTAN1,DCTN4,GORASP1,LMAN1,TRAPPC10,COPZ2,TMED7,ARFGAP2,SEC22B,ANK3,KDELR3,DYNC1I1,GOSR2,TMED10,DYNC1H1,DCTN3,KDELR1,SEC24A,SEC16A,GRIA1,SPTBN2,BET1,ARF3,USO1",CD_1D_vitaminreposn_ALS
query_1,TRUE,1.0560750893209167e-67,98,154,49,0.3181818181818182,0.5,REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT,12733,1628,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","COG3,TUBA4A,FOLR1,ARCN1,COG7,COPB1,COG1,COPA,KDELR2,GOLGB1,COPG2,COPG1,COPE,STX5,COG8,DYNC1LI2,BET1L,SPTBN4,DYNC1LI1,COG2,COG4,DYNC1I2,COPB2,GOSR1,SPTA1,DCTN2,COG6,TMED2,DCTN5,TMEM115,COG5,SPTAN1,DCTN4,GORASP1,COPZ2,TMED7,ARFGAP2,ANK3,KDELR3,DYNC1I1,GOSR2,TMED10,DYNC1H1,DCTN3,KDELR1,SPTBN2,BET1,ARF3,USO1",CD_1D_vitaminreposn_ALS
query_1,TRUE,9.172335509515036e-64,300,154,65,0.42207792207792205,0.21666666666666667,REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,12733,1467,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","SCFD1,COG3,TUBA4A,FOLR1,ARCN1,ALG2,COG7,COPB1,COG1,COPA,KDELR2,GOLGB1,CMAS,COPG2,COPG1,SEC31A,COPE,STX5,COG8,TBC1D20,LMAN2L,DYNC1LI2,BET1L,SPTBN4,DYNC1LI1,COG2,COG4,DYNC1I2,COPB2,GOSR1,SPTA1,DCTN2,COG6,PDIA3,TMED2,TRAPPC1,DCTN5,TMEM115,TFG,COG5,SPTAN1,DCTN4,GORASP1,LMAN1,TRAPPC10,COPZ2,TMED7,ARFGAP2,SEC22B,ANK3,UAP1,KDELR3,DYNC1I1,GOSR2,TMED10,DYNC1H1,DCTN3,KDELR1,SEC24A,SEC16A,GRIA1,SPTBN2,BET1,ARF3,USO1",CD_1D_vitaminreposn_ALS
query_1,TRUE,7.95865868873273e-42,611,154,64,0.4155844155844156,0.10474631751227496,REACTOME_MEMBRANE_TRAFFICKING,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MEMBRANE_TRAFFICKING,12733,2177,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","SCFD1,COG3,TUBA4A,FOLR1,ARCN1,COG7,COPB1,COG1,COPA,KDELR2,GOLGB1,COPG2,COPG1,SEC31A,COPE,STX5,COG8,TBC1D20,LMAN2L,DYNC1LI2,BET1L,SPTBN4,DYNC1LI1,COG2,COG4,DYNC1I2,COPB2,GOSR1,SPTA1,DCTN2,COG6,TMED2,TRAPPC1,DCTN5,TMEM115,TFG,COG5,SPTAN1,DCTN4,GORASP1,LMAN1,TRAPPC10,COPZ2,TMED7,ARFGAP2,SEC22B,ANK3,BLOC1S1,KDELR3,DYNC1I1,GABARAPL2,GOSR2,TMED10,DYNC1H1,DCTN3,KDELR1,SEC24A,SEC16A,GRIA1,SPTBN2,BET1,ARF3,USO1,EXOC5",CD_1D_vitaminreposn_ALS
query_1,TRUE,4.2373104983078077e-38,703,154,64,0.4155844155844156,0.09103840682788052,REACTOME_VESICLE_MEDIATED_TRANSPORT,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_VESICLE_MEDIATED_TRANSPORT,12733,3110,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","SCFD1,COG3,TUBA4A,FOLR1,ARCN1,COG7,COPB1,COG1,COPA,KDELR2,GOLGB1,COPG2,COPG1,SEC31A,COPE,STX5,COG8,TBC1D20,LMAN2L,DYNC1LI2,BET1L,SPTBN4,DYNC1LI1,COG2,COG4,DYNC1I2,COPB2,GOSR1,SPTA1,DCTN2,COG6,TMED2,TRAPPC1,DCTN5,TMEM115,TFG,COG5,SPTAN1,DCTN4,GORASP1,LMAN1,TRAPPC10,COPZ2,TMED7,ARFGAP2,SEC22B,ANK3,BLOC1S1,KDELR3,DYNC1I1,GABARAPL2,GOSR2,TMED10,DYNC1H1,DCTN3,KDELR1,SEC24A,SEC16A,GRIA1,SPTBN2,BET1,ARF3,USO1,EXOC5",CD_1D_vitaminreposn_ALS
query_1,TRUE,4.4844971509513996e-35,195,154,39,0.2532467532467532,0.2,REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,12733,2095,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","COG3,TUBA4A,ARCN1,COG7,COPB1,COG1,COPA,KDELR2,COPG2,COPG1,COPE,STX5,COG8,DYNC1LI2,BET1L,DYNC1LI1,COG2,COG4,DYNC1I2,COPB2,GOSR1,DCTN2,COG6,TMED2,DCTN5,COG5,DCTN4,COPZ2,TMED7,ARFGAP2,SEC22B,KDELR3,DYNC1I1,GOSR2,TMED10,DYNC1H1,DCTN3,KDELR1,ARF3",CD_1D_vitaminreposn_ALS
query_1,TRUE,2.5247700059725452e-24,1382,154,68,0.44155844155844154,0.049204052098408106,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,12733,2466,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","SCFD1,COG3,TUBA4A,FOLR1,ARCN1,ALG2,COG7,COPB1,COG1,COPA,KDELR2,GOLGB1,CMAS,COPG2,COPG1,SEC31A,COPE,STX5,USP21,COG8,TBC1D20,LMAN2L,DYNC1LI2,BET1L,SPTBN4,DYNC1LI1,COG2,COG4,DYNC1I2,COPB2,GOSR1,SPTA1,DCTN2,COG6,PDIA3,TMED2,TRAPPC1,DCTN5,TMEM115,TFG,COG5,SPTAN1,DCTN4,GORASP1,LMAN1,TRAPPC10,COPZ2,STS,TMED7,ARFGAP2,SEC22B,ANK3,UAP1,KDELR3,DYNC1I1,GOSR2,DLST,TMED10,DYNC1H1,DCTN3,KDELR1,SEC24A,SEC16A,GRIA1,SPTBN2,BET1,ARF3,USO1",CD_1D_vitaminreposn_ALS
query_1,TRUE,2.5247700059725452e-24,129,154,27,0.17532467532467533,0.20930232558139536,REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,12733,1965,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","TUBA4A,ARCN1,COPB1,COPA,KDELR2,COPG2,COPG1,COPE,DYNC1LI2,DYNC1LI1,DYNC1I2,COPB2,DCTN2,TMED2,DCTN5,DCTN4,COPZ2,TMED7,ARFGAP2,SEC22B,KDELR3,DYNC1I1,TMED10,DYNC1H1,DCTN3,KDELR1,ARF3",CD_1D_vitaminreposn_ALS
query_1,TRUE,3.707538667402339e-21,67,154,20,0.12987012987012986,0.29850746268656714,REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT,12733,1625,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","SCFD1,FOLR1,SEC31A,STX5,TBC1D20,LMAN2L,TMED2,TRAPPC1,TFG,GORASP1,LMAN1,TRAPPC10,SEC22B,GOSR2,TMED10,SEC24A,SEC16A,GRIA1,BET1,USO1",CD_1D_vitaminreposn_ALS
