query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,comparison
query_1,TRUE,1.8182760663625773e-6,26,113,7,0.061946902654867256,0.2692307692307692,WP_SPHINGOLIPID_METABOLISM_INTEGRATED_PATHWAY,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_SPHINGOLIPID_METABOLISM_INTEGRATED_PATHWAY,12733,3909,,"X,X,X,X,X,X,X","CERS5,CERS3,CERS4,SGPP2,KDSR,CERS6,SGPP1",CD_2_leukodys_ALS
query_1,TRUE,3.763610045310753e-5,26,113,6,0.05309734513274336,0.23076923076923078,WP_SPHINGOLIPID_METABOLISM_OVERVIEW,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_SPHINGOLIPID_METABOLISM_OVERVIEW,12733,3911,,"X,X,X,X,X,X","CERS3,CERS4,SGPP2,KDSR,CERS6,SGPP1",CD_2_leukodys_ALS
query_1,TRUE,4.046897563073404e-5,28,113,6,0.05309734513274336,0.21428571428571427,WP_SPHINGOLIPID_PATHWAY,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_SPHINGOLIPID_PATHWAY,12733,3912,,"X,X,X,X,X,X","CERS5,CERS3,CERS4,SGPP2,KDSR,CERS6",CD_2_leukodys_ALS
query_1,TRUE,1.243264265698028e-4,35,113,6,0.05309734513274336,0.17142857142857143,REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,12733,2882,,"X,X,X,X,X,X","CERS5,CERS3,CERS4,KDSR,CERS6,ORMDL3",CD_2_leukodys_ALS
query_1,TRUE,2.0787023947398787e-4,22,113,5,0.04424778761061947,0.22727272727272727,WP_SYNTHESIS_OF_CERAMIDES_AND_1DEOXYCERAMIDES,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_SYNTHESIS_OF_CERAMIDES_AND_1DEOXYCERAMIDES,12733,3932,,"X,X,X,X,X","CERS5,CERS3,CERS4,KDSR,CERS6",CD_2_leukodys_ALS
query_1,TRUE,3.605337660335178e-4,100,113,8,0.07079646017699115,0.08,REACTOME_SPHINGOLIPID_METABOLISM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SPHINGOLIPID_METABOLISM,12733,2883,,"X,X,X,X,X,X,X,X","CERS5,CERS3,CERS4,SGPP2,KDSR,CERS6,SGPP1,ORMDL3",CD_2_leukodys_ALS
query_1,TRUE,3.605337660335178e-4,26,113,5,0.04424778761061947,0.19230769230769232,WP_OLIGODENDROCYTE_SPECIFICATION_AND_DIFFERENTIATION_LEADING_TO_MYELIN_COMPONENTS_FOR_CNS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_OLIGODENDROCYTE_SPECIFICATION_AND_DIFFERENTIATION_LEADING_TO_MYELIN_COMPONENTS_FOR_CNS,12733,3755,,"X,X,X,X,X","OLIG1,SOX8,MOG,OLIG2,OMG",CD_2_leukodys_ALS
query_1,TRUE,0.001261058617697785,34,113,5,0.04424778761061947,0.14705882352941177,REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING,12733,2290,,"X,X,X,X,X","OTUD5,ISG15,RNF135,UBC,RNF216",CD_2_leukodys_ALS
query_1,TRUE,0.0017191588440709819,37,113,5,0.04424778761061947,0.13513513513513514,KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,12733,469,,"X,X,X,X,X","SNAP25,SNAP29,STX10,STX1A,STX12",CD_2_leukodys_ALS
query_1,TRUE,0.002769175364082286,21,113,4,0.035398230088495575,0.19047619047619047,WP_METABOLISM_OF_SPHINGOLIPIDS_IN_ER_AND_GOLGI_APPARATUS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_METABOLISM_OF_SPHINGOLIPIDS_IN_ER_AND_GOLGI_APPARATUS,12733,3639,,"X,X,X,X","CERS3,SGPP2,KDSR,SGPP1",CD_2_leukodys_ALS
query_1,TRUE,0.0029653035059182516,8,113,3,0.02654867256637168,0.375,WP_BIOSYNTHESIS_AND_TURNOVER_OF_1DEOXYSPHINGOID_BASES,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_BIOSYNTHESIS_AND_TURNOVER_OF_1DEOXYSPHINGOID_BASES,12733,3242,,"X,X,X","SGPP2,KDSR,SGPP1",CD_2_leukodys_ALS
query_1,TRUE,0.004013796831443409,24,113,4,0.035398230088495575,0.16666666666666666,REACTOME_OTHER_INTERLEUKIN_SIGNALING,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_OTHER_INTERLEUKIN_SIGNALING,12733,2378,,"X,X,X,X","IL34,SNAP25,STX1A,IL32",CD_2_leukodys_ALS
query_1,TRUE,0.04578224339087623,79,113,5,0.04424778761061947,0.06329113924050633,REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,12733,1665,,"X,X,X,X,X","OTUD5,ISG15,RNF135,UBC,RNF216",CD_2_leukodys_ALS
query_1,TRUE,0.04843989961594394,5,113,2,0.017699115044247787,0.4,BIOCARTA_BOTULIN_PATHWAY,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_BOTULIN_PATHWAY,12733,53,,"X,X","SNAP25,STX1A",CD_2_leukodys_ALS
