Cluster,genes,Top.pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds,comparison
C246,EPHA10 ACSL6 PICK1 SRD5A2 IGF1R MTCH1 ATP2A1 CDH10 FLRT1 KCNV2 LSS CRLS1 HEXD CERS3 MBOAT2 CASP3 PNPLA5 RALGDS SPTLC3 FBXO7 MAPK12 PINK1 PMEL ALDH1L1 ZNF219 ZNF768 SYNJ1 DYNC1I1 GSTM1 RXRG HMGCLL1 ACHE FAM151B GNAZ H6PD VAMP2 GPAT2 FAM53B HMGCR EPHB3 MPP2 PRKN PLA2G4C SLC29A3 INPP5J ZBTB7C SLC2A11 TMEM270 DNAH3 NF1 WDTC1 DPP10 PLAAT3 FITM2 NEIL1 HSD17B3 TNK1 TFF1 PLD4 ACSM3 HEPH B3GAT3 GPAT4 DNAJC13 PCSK2 SELENOI BAG3 DCAKD CDK19 GPAT3 ZNF135 TSC22D4 ABCB4 PLD3 ICA1 CARNS1 ASB16-AS1 STRADA CEPT1 ATN1 GLG1 CMTM4 TMEM222 FAM57B GP1BA MAGEC2 RET HSD17B4 CD47 NR1H2 CALB2 OMG CACNB4 SIM2 EPHB2 SLC2A4 SLC2A5 KMO HSD11B2 CTNS HPCAL4 PHYHIP SOX11 PRAF2 DGKQ SPTB MVK PRKCD SHBG SLC22A25 CYP11A1 PLA2G4E ZNF839 ANKEF1 AC138894.1 AC138696.1 GAS2 MERTK PLD6 CYP17A1 PLA2G4F TMEM56 PLBD1 ABCG1 MATK RXRA TMEM74B ZNF3 SREBF1 FYB2 CXXC1 TBC1D10B SFI1 STAR TYR VAMP3 AP2A2 SPNS1 LPCAT4 PYGM LPCAT3 HAAO WDR13 IQSEC3 ZNF843 CHPT1 NPC1 SC5D CTSB SBF1 FCSK AWAT2 CACNA1D TMEM94 FAXDC2 MAP3K9 CD300LD FAM57A ADGRL1 TMEM136 FDX1 ACSL5 STK11 CLN8 AP2S1 GSTA3 DCTN1 AAK1 UGT2B7 PLA2G4A ELOVL3 CYSRT1 PLA2G4D GLIS1 SNCAIP CERS5 SLC39A1 GRN LLGL2 PLPP3 RPH3A TLCD1 PLD2 DOC2A USP6 ASIC1 SNTA1 C4orf3 CYB5B PNPLA1 TMEM63A PNPLA8 BCL2L13 PTDSS2 RASL11B RXRB HERC2P2 SLC25A20 KLKB1 RAP1GAP PLB1 CTSF SLC41A3 CTSD ALDH8A1 EHHADH PLA2G6 PLA2G4B USP20 CERS4 TRAM1L1 MBOAT1 E4F1 F3 PLPP4 MYO7A FAM131C HOGA1 TLCD2 CACNA1B ALDH3B2 RAB26 LPCAT2 ACSL1 KIF1A TMEM53 PTPRN SLC22A1 ABCB11 FBRS LDLR CMTM8 SLC22A10 ZNF236 STX1A,Glycerophospholipid metabolism,1.5738001641645994e-26,0.29292929292929293,29,0,22,22,0,0.09361702127659574,0.00425531914893617,0.902127659574468,CD_1B_otherlipid_PD
C261,TMEM56 CERS4 TLCD2 CLN8 CERS3 CERS5 FAM57B TRAM1L1 FAM57A TMEM136 TLCD1,ceramide biosynthetic process,4.224380777354292e-9,0.07142857142857142,5,0,1,1,0,0.09090909090909093,0,0.9090909090909092,CD_1B_otherlipid_PD
C277,GAS2 DCTN1 ATN1 FBRS TMEM270 BAG3 ZNF3 DPP10 CASP3,C277,NA,NA,NA,0,2,2,0,0.2222222222222222,0,0.7777777777777778,CD_1B_otherlipid_PD
C247,EPHA10 PICK1 IGF1R MTCH1 ATP2A1 CDH10 FLRT1 KCNV2 HEXD RALGDS FBXO7 MAPK12 PINK1 ZNF768 ZNF219 SYNJ1 DYNC1I1 GSTM1 ACHE FAM151B GNAZ H6PD VAMP2 FAM53B EPHB3 MPP2 PRKN INPP5J TMEM270 DNAH3 NF1 WDTC1 DPP10 NEIL1 TNK1 B3GAT3 DNAJC13 PCSK2 BAG3 CDK19 ZNF135 TSC22D4 PLD3 ICA1 CARNS1 STRADA ATN1 GLG1 TMEM222 GP1BA MAGEC2 RET CD47 NR1H2 CALB2 OMG CACNB4 SIM2 EPHB2 CTNS HPCAL4 PHYHIP SOX11 PRAF2 DGKQ SPTB PRKCD ZNF839 ANKEF1 AC138894.1 AC138696.1 MERTK MATK TMEM74B ZNF3 FYB2 CXXC1 TBC1D10B SFI1 VAMP3 AP2A2 SPNS1 PYGM WDR13 IQSEC3 ZNF843 NPC1 SBF1 CTSB CACNA1D TMEM94 FAXDC2 MAP3K9 ADGRL1 STK11 AP2S1 DCTN1 AAK1 CYSRT1 GLIS1 SNCAIP SLC39A1 GRN LLGL2 RPH3A DOC2A USP6 ASIC1 SNTA1 C4orf3 TMEM63A BCL2L13 RASL11B RAP1GAP RXRB HERC2P2 CTSF SLC41A3 CTSD PLA2G6 USP20 E4F1 PLPP4 MYO7A FAM131C CACNA1B RAB26 KIF1A PTPRN ABCB11 FBRS ZNF236 STX1A,presynaptic endocytosis,5.515773922738595e-6,0.09195402298850576,8,0,15,15,0,0.11278195488721804,0.007518796992481203,0.8796992481203008,CD_1B_otherlipid_PD
C249,ACSL6 ABCB4 ASB16-AS1 CARNS1 SRD5A2 LSS CYB5B STAR RXRB CASP3 KLKB1 SLC25A20 HSD17B4 CD47 SPTLC3 ALDH1L1 HMGCLL1 GSTM1 RXRG ALDH8A1 SC5D SLC2A4 EHHADH SLC2A5 KMO HSD11B2 HMGCR HOGA1 SHBG FDX1 ACSL5 SLC22A25 SLC29A3 ZBTB7C SLC2A11 ALDH3B2 GSTA3 CYP11A1 FITM2 GAS2 MERTK HSD17B3 UGT2B7 ACSL1 CYP17A1 ELOVL3 SLC22A1 ABCG1 ABCB11 ACSM3 LDLR RXRA SLC22A10 DCAKD SREBF1,Fatty acid metabolism,9.93333931232652e-6,0.10526315789473684,6,0,3,3,0,0.05454545454545454,0,0.9454545454545454,CD_1B_otherlipid_PD
C250,GPAT3 PLD2 SFI1 PNPLA1 CRLS1 PNPLA8 CEPT1 MBOAT2 LPCAT4 PTDSS2 PNPLA5 PLB1 LPCAT3 CHPT1 AWAT2 PLA2G4B MBOAT1 PLPP4 GPAT2 PLA2G4C PLA2G4E PLAAT3 LPCAT2 PLD6 PLA2G4F PLBD1 PLA2G4A PLD4 GPAT4 SELENOI PLA2G4D PLPP3,Glycerophospholipid metabolism,1.79133922529675e-47,0.25252525252525254,25,0,2,2,0,0.0625,0,0.9375,CD_1B_otherlipid_PD
C285,MVK TMEM53 FCSK H6PD RAP1GAP,C285,NA,NA,NA,0,1,1,0,0.2,0,0.8,CD_1B_otherlipid_PD
C288,FBXO7 PINK1 PRKN SIM2 SNCAIP,C288,NA,NA,NA,0,3,3,0,0.6,0,0.4,CD_1B_otherlipid_PD
C267,DGKQ AAK1 SLC41A3 SBF1 STRADA TMEM94 GLIS1 CDK19 ZNF839,C267,NA,NA,NA,0,1,1,0,0.1111111111111111,0,0.8888888888888888,CD_1B_otherlipid_PD
C305,SPNS1 SYNJ1 ZNF236 NF1,C305,NA,NA,NA,0,1,1,0,0.25,0,0.75,CD_1B_otherlipid_PD
