Cluster,genes,Top.pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds,comparison
C181,SPPL2C GSTM3 ATOX1 SCFD2 SEC24D YWHAH PDIA4 ARCN1 LRBA DUOX2 COG8 SLC31A1 HERC4 SPTA1 FOLR1 BET1L EHBP1 SPTAN1 NAMPT OSBPL8 DCTN4 SLC7A11 SCAMP1 PLIN2 SEC22B STX5 STEAP1B SLC1A5 UBXN4 SEC24A SLC12A7 PDIA3 P4HB KDELR3 RICTOR SLC7A1 SLC5A6 ANO10 ATP1A4 BBC3 CCL15 GLRX EVC2 GCN1 COPG2 TXNDC11 MPZL1 SLC4A7 SLC12A6 SFT2D3 AKAP12 GOLIM4 DDOST GOLT1B ANXA5 ATP8B2 DOP1A CD55 LMAN1 SLC52A2 ZDHHC17 SEC61A1 EDEM1 OSBPL11 NEMF PXDNL ARF1 SNAP23 TMEM165 GOSR1 HOMER2 ATP2B1 SLC9A7 PDIA6 NPIPB15 HM13 AP4E1 STX6 GSTA3 SESN2 FTH1 SLC9A9 ABCC4 CASP7 SLC7A9 AKR1E2 COG3 PSEN1 SLC12A4 ZNF292 SEPT3 PKN2 SLC12A2 RPSA SLC22A5 VTN SLC7A2 SPTLC3 TMEM147 MT1A NIPBL TMEM17 BAX AKR1C3 PGRMC2 PDIA5 SLC20A1 PHF20L1 UAP1 MLLT11 COG6 CKAP4 AKR1B15 APOE YIF1A ATRX ERGIC1 VNN3 EPHA2 SCAF11 ITPR2 MSRA SOD1 PRKAR2B SLC20A2 COPA CFH MAN1A2 GOSR2 CALR SEC23B ALG2 VSIG2 DST LOC102724985 PDXDC1 CCDC177 GPR180 NTRK1 COG5 GCH1 VPS33A USP33 VPS45 NEK1 RIC3 NUMB SNCA APOC2 PKP2 ACAP2 EXOC4 LYSMD3 RESF1 CEBPB SEC23A ADRB2 KDSR SLC7A14 SCAPER TRIP11 RPSAP58 LTN1 SLC33A1 SLC30A10 NOX5 ATP13A1 ATP1A1 KDELR2,COPI-mediated anterograde transport,5.265892182575334e-16,0.1862745098039216,19,0,6,6,0,0.03550295857988166,0,0.9644970414201184,CD_1E_mineral_abs_ALS
C193,SEPT3 RPSAP58 STEAP1B RPSA VTN MLLT11 PXDNL SPTAN1 CCDC177,C193,NA,NA,NA,0,1,1,0,0.1111111111111111,0,0.8888888888888888,CD_1E_mineral_abs_ALS
C194,BBC3 AKAP12 SLC52A2 GCN1 AP4E1 ADRB2 CFH APOC2 APOE,C194,NA,NA,NA,0,1,1,0,0.1111111111111111,0,0.8888888888888888,CD_1E_mineral_abs_ALS
C182,SPPL2C GSTM3 ATOX1 SCFD2 SEC24D YWHAH PDIA4 ARCN1 DUOX2 COG8 SLC31A1 SPTA1 FOLR1 BET1L SPTAN1 NAMPT DCTN4 SLC7A11 PLIN2 SEC22B STX5 SEC24A PDIA3 P4HB KDELR3 GLRX EVC2 COPG2 TXNDC11 MPZL1 SFT2D3 AKAP12 GOLIM4 DDOST GOLT1B ANXA5 CD55 LMAN1 SLC52A2 SEC61A1 EDEM1 PXDNL ARF1 TMEM165 GOSR1 HOMER2 PDIA6 NPIPB15 HM13 STX6 GSTA3 SESN2 FTH1 ABCC4 CASP7 AKR1E2 COG3 PSEN1 RPSA SLC22A5 VTN SPTLC3 TMEM147 MT1A BAX AKR1C3 PGRMC2 PDIA5 UAP1 COG6 CKAP4 AKR1B15 YIF1A ERGIC1 VNN3 MSRA SOD1 PRKAR2B COPA GOSR2 CALR SEC23B ALG2 VSIG2 LOC102724985 PDXDC1 NTRK1 COG5 GCH1 VPS33A VPS45 SNCA LYSMD3 CEBPB SEC23A ADRB2 KDSR TRIP11 RPSAP58 SLC33A1 NOX5 ATP13A1 KDELR2,COPI-mediated anterograde transport,6.876555079021946e-20,0.1862745098039216,19,0,5,5,0,0.04854368932038835,0,0.9514563106796116,CD_1E_mineral_abs_ALS
C185,PKN2 NIPBL HERC4 ATP8B2 DOP1A ZDHHC17 PHF20L1 USP33 EHBP1 OSBPL11 NEK1 RIC3 NEMF NUMB OSBPL8 ATRX ACAP2 ATP2B1 RESF1 RICTOR SCAPER SCAF11 ITPR2 LTN1 CCL15 SLC30A10 MAN1A2 ZNF292,C185,NA,NA,NA,0,1,1,0,0.03571428571428571,0,0.9642857142857144,CD_1E_mineral_abs_ALS
C186,GOSR2 SFT2D3 SCFD2 GOLIM4 COG8 SPTA1 FOLR1 COG5 VPS33A BET1L VPS45 COG6 GOSR1 STX5 KDELR3 STX6 TRIP11 COPG2 COG3,COPI-mediated anterograde transport,2.214804892057642e-20,0.1176470588235294,12,0,1,1,0,0.05263157894736842,0,0.9473684210526316,CD_1E_mineral_abs_ALS
C183,SPPL2C GSTM3 CALR ATOX1 ALG2 VSIG2 AKAP12 SEC24D YWHAH PDIA4 RPSA VTN SLC22A5 SPTLC3 TMEM147 MT1A DUOX2 SLC31A1 DDOST BAX AKR1C3 GOLT1B ANXA5 PGRMC2 GCH1 CD55 PDIA5 SEC61A1 EDEM1 SLC52A2 UAP1 CKAP4 PXDNL NAMPT SNCA SLC7A11 AKR1B15 YIF1A ERGIC1 TMEM165 VNN3 PLIN2 LYSMD3 PDIA6 PDIA3 P4HB HM13 CEBPB ADRB2 KDSR GSTA3 RPSAP58 SESN2 MSRA SOD1 SLC33A1 PRKAR2B GLRX EVC2 NOX5 FTH1 ATP13A1 ABCC4 CASP7 AKR1E2 TXNDC11 PSEN1,"oxidoreductase activity, acting on a sulfur group of donors",1.3874656970826755e-9,0.14545454545454545,8,0,4,4,0,0.05970149253731343,0,0.9402985074626866,CD_1E_mineral_abs_ALS
C184,GSTM3 ATOX1 VSIG2 MT1A DUOX2 SLC31A1 BAX AKR1C3 ANXA5 GCH1 CD55 PXDNL NAMPT SNCA SLC7A11 VNN3 PLIN2 CEBPB GSTA3 MSRA SESN2 SOD1 PRKAR2B GLRX NOX5 FTH1 ABCC4 CASP7 TXNDC11,cellular detoxification,1.948726942804248e-6,0.04918032786885246,6,0,1,1,0,0.034482758620689655,0,0.9655172413793104,CD_1E_mineral_abs_ALS
C190,ERGIC1 CALR PDIA5 AKAP12 SLC52A2 PDIA6 EDEM1 SLC22A5 SEC24D UAP1 CASP7 TXNDC11 ADRB2,C190,NA,NA,NA,0,2,2,0,0.15384615384615383,0,0.8461538461538461,CD_1E_mineral_abs_ALS
C196,GSTM3 SOD1 PRKAR2B GCH1 ABCC4 MT1A SNCA GSTA3,C196,NA,NA,NA,0,1,1,0,0.125,0,0.875,CD_1E_mineral_abs_ALS
