Cluster,genes,Top.pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds,comparison
C170,BCKDK FAM172A PNPLA5 ATP10A TYR KCNH2 SV2B SCAF11 MBNL2 ASS1 YRDC CD55 ATP11A CXADR TBC1D30 OCLN TNRC6B SORL1 TBC1D5 BACE1 SLC22A1 SLC12A2 PIK3R1 SNAP23 IGF1R SLC19A2 STK11 SSR3 FMR1 HSP90AA1 KDM5A ATP8A1 ACSL3 PNPLA1 VAMP7 BDNF CDC14A ACAP2 ITSN2 GPAT3 RHAG GOLIM4 F3 EHHADH EPS15 MED23 LVRN CLCN3 ATRN SLC43A3 SNCA MAP3K9 PPFIBP1 CHD9 SLC39A1 SLC2A14 GCH1 RET SLC20A1 NPEPPS PTPN1 SPPL3 TBC1D26 COG5 SLC36A4 MBLAC2 KDSR ITPR2 CASP3 SYT1 FAM13B ATP1A1 ATP2A1 NEIL1 ATP1A4 PSEN1 THRA SH3YL1 PCLO TMEM263 KIAA0895 RIMKLA KMT2A RICTOR AFF1 LZTS2 ATRX EVI5 ATP9A NME2P1 SH3GL3 TRHDE SPTLC3 RABGAP1L PKN2 NF1 BPTF OSBPL8 NPAT YWHAH ARNTL STXBP3 ATP2B1 ATP8A2 DOP1B SRD5A2 SLC30A7 TFRC NKTR TMEM136 RIMKLB DNM2 SLC22A3 VAMP4 HEXD ARFIP1 ACVR1 SPPL2C SEC63 ABCB1 DNAJB2 ATP1A2 PRNP ABCG1 MAP2K1 FNDC3A GSTA3 ZNF839 HOMER2 PUM2 ABCB5 VTN TMEM9 PIGW SLC25A20 AKAP13 IGF2R BEST3 PPP2R2A ATP8B3 ERBIN ANO10 ZNF236 ATP7A CASK MARVELD2 SYNJ1 SPPL2B GOSR2 TRAM2 MBOAT1 ADAM10 EPHB3 DOP1A DNAJC1 SLC7A5 LTN1 KIAA1109,Ion transport by P-type ATPases,1.2816701914789736e-10,0.21818181818181817,12,1,17,17,0.006329113924050633,0.10759493670886076,0,0.8860759493670886,CD_1E_mineral_abs_PD
C198,LVRN TRHDE NPEPPS PPP2R2A,peptide metabolic process,3.632551638201051e-6,0.047619047619047616,3,0,1,1,0,0.25,0,0.75,CD_1E_mineral_abs_PD
C171,BCKDK ATP10A TYR KCNH2 SV2B ASS1 YRDC CD55 ATP11A CXADR OCLN SLC22A1 SLC12A2 PIK3R1 IGF1R SLC19A2 STK11 SSR3 HSP90AA1 ATP8A1 BDNF CDC14A GPAT3 F3 GOLIM4 RHAG EHHADH SLC43A3 SNCA MAP3K9 PPFIBP1 SLC39A1 SLC2A14 RET SLC20A1 PTPN1 SPPL3 KDSR CASP3 SYT1 ATP1A1 ATP2A1 ATP1A4 PSEN1 THRA PCLO KIAA0895 LZTS2 ATP9A NME2P1 SH3GL3 SPTLC3 NF1 OSBPL8 YWHAH ARNTL ATP2B1 ATP8A2 DOP1B SRD5A2 TFRC DNM2 SLC22A3 SPPL2C ABCB1 DNAJB2 ABCG1 PRNP ATP1A2 MAP2K1 GSTA3 ABCB5 VTN TMEM9 PIGW SLC25A20 BEST3 PPP2R2A ATP8B3 ANO10 CASK MARVELD2 SPPL2B GOSR2 MBOAT1 EPHB3 DNAJC1 SLC7A5,Ion transport by P-type ATPases,3.1824175123982663e-11,0.2,11,0,7,7,0,0.07954545454545454,0,0.9204545454545454,CD_1E_mineral_abs_PD
C172,EPS15 FAM172A MED23 FNDC3A RABGAP1L CLCN3 SCAF11 PKN2 MBNL2 CHD9 HOMER2 OSBPL8 PUM2 BPTF TBC1D30 NPAT TNRC6B STXBP3 AKAP13 SORL1 TBC1D5 BACE1 TBC1D26 SNAP23 ATP2B1 COG5 SLC36A4 MBLAC2 ERBIN ZNF236 ATP7A ITPR2 KDM5A FMR1 SLC30A7 NKTR SYNJ1 GOSR2 FAM13B ACSL3 ADAM10 SH3YL1 TMEM263 VAMP7 DOP1A KMT2A RICTOR VAMP4 AFF1 ARFIP1 ACVR1 ACAP2 KIAA1109 LTN1 ITSN2 SEC63 ATRX EVI5,C172,NA,NA,NA,1,8,8,0.017241379310344827,0.13793103448275862,0,0.8448275862068966,CD_1E_mineral_abs_PD
C206,SV2B SLC20A1 GCH1 ACAP2,C206,NA,NA,NA,0,1,1,0,0.25,0,0.75,CD_1E_mineral_abs_PD
C207,ABCB5 AFF1 ABCG1 SORL1,C207,NA,NA,NA,0,1,1,0,0.25,0,0.75,CD_1E_mineral_abs_PD
C209,SPTLC3 KDSR ATRN ACVR1,C209,NA,NA,NA,0,1,1,0,0.25,0,0.75,CD_1E_mineral_abs_PD
C180,SSR3 DNAJC1 SLC30A7 ATRN ACVR1 TMEM136 TRAM2 SEC63 SLC36A4 TMEM263,C180,NA,NA,NA,0,1,1,0,0.1,0,0.9,CD_1E_mineral_abs_PD
C212,BEST3 ARFIP1 CLCN3 SLC12A2,C212,NA,NA,NA,0,1,1,0,0.25,0,0.75,CD_1E_mineral_abs_PD
C193,KDSR SPTLC3 SLC43A3 SLC7A5 MBOAT1,C193,NA,NA,NA,0,1,1,0,0.2,0,0.8,CD_1E_mineral_abs_PD
