Cluster,genes,Top.pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds,comparison
C179,FAF2 TOMM7 CUL5 COX19 SPAG7 CHMP2B MRPL32 OSBPL10 MICU1 TRAPPC11 C8orf82 RCC1 ACOT6 SLC27A4 SMIM12 NDUFS7 RNF167 TRAPPC12 ARFRP1 SLC52A2 SS18 BET1 DAAM1 CCDC28A TMED2 FAM173A SCRN2 FIG4 BLVRB TTC33 COG4 MAN2A1 MRPL2 AACS DYNC2H1 NDUFA5 GPR162 YIF1A SLC25A13 AMPD3 AHCY YME1L1 DCTN4 OSBP HIGD1A PINK1 NEMF B3GNT2 VPS26B DYNC1I2 ALDH4A1 KDSR UAP1 SERPINB8 STARD3NL CPT1C UBXN1 RBM12 CDC40 RER1 GSTK1 SPOPL KYAT1 NSF CNEP1R1 COG5 AC011479.1 NFKBIL1 UBR1 ATP5PB MOSPD3 GOLPH3 PHYH UXS1 HS2ST1 ATP13A2 MRPL23 KATNAL2 ACSS2 ACYP2 STUB1 CTR9 PHF20L1 SMIM2 HIGD2A C3AR1 RAB30 NELFB SQSTM1 MIEF2 FASTK TOMM20 DNAAF2 SCAMP1 UBQLN2 ABHD14B VCP ACO2 CROT TRPT1 RTL8A CD151 ISOC1 ITPRIPL1 CLPB STX10 PPFIA3 PCBP2 PITPNM2 GCC1 FPGT CPT1B CHCHD4 ZFAND3 SLC22A18 GPBP1 UBXN4 CLDND1 DNPEP EXOC5 AC026464.4 SMIM11A CHMP4C MCCC1 VPS33A UBL4A TMED7 BCKDHA ATG3 CLPSL2 DUS1L RFNG ECE1 SACS CMAS VPS37D PCBD1 YIPF5 CLSTN1 KYAT3 OGFRL1 ACBD5 SPTSSA EDEM3 ST13 SPINT2 RAB5IF TOGARAM1 SCFD1 COPB1 TUBA4B CERS2 TCTA SPAST TBCC POLDIP2 TTC3 TOMM40L FAM91A1 TOMM20L UBE4A ARFGAP2 ESRRA UQCRFS1 OSBPL11 WDR7 MT1P3 RELCH CCDC71,COPI-mediated anterograde transport,9.526866928084286e-7,0.10784313725490197,11,0,6,6,0,0.03550295857988166,0,0.9644970414201184,CD_1F_perox_ALS
C194,SPINT2 ATG3 ITPRIPL1 AC011479.1 SLC52A2 RAB5IF,C194,NA,NA,NA,0,1,1,0,0.16666666666666666,0,0.8333333333333334,CD_1F_perox_ALS
C180,CUL5 CHMP2B OSBPL10 TRAPPC11 RCC1 TRAPPC12 SS18 BET1 DAAM1 CCDC28A TMED2 FIG4 TTC33 MAN2A1 DYNC2H1 NDUFA5 GPR162 AMPD3 SLC25A13 YME1L1 DCTN4 OSBP HIGD1A NEMF B3GNT2 VPS26B DYNC1I2 KDSR UAP1 RBM12 CDC40 SPOPL NSF CNEP1R1 COG5 UBR1 ATP5PB GOLPH3 UXS1 HS2ST1 KATNAL2 CTR9 PHF20L1 SMIM2 C3AR1 RAB30 DNAAF2 SCAMP1 UBQLN2 CROT RTL8A ISOC1 PITPNM2 FPGT GPBP1 UBXN4 CLDND1 EXOC5 AC026464.4 SMIM11A CHMP4C VPS33A TMED7 ATG3 CLPSL2 SACS CMAS VPS37D YIPF5 KYAT3 OGFRL1 ACBD5 SPTSSA EDEM3 ST13 TOGARAM1 SCFD1 COPB1 TUBA4B SPAST TBCC TTC3 FAM91A1 UBE4A OSBPL11 WDR7 RELCH,COPI-mediated anterograde transport,2.846529954580276e-7,0.08823529411764706,9,0,3,3,0,0.034482758620689655,0,0.9655172413793104,CD_1F_perox_ALS
C181,AHCY ACYP2 STUB1 MCCC1 PINK1 VPS33A BCKDHA SPAG7 DUS1L ALDH4A1 HIGD2A MICU1 ECE1 C8orf82 RFNG NELFB SQSTM1 NDUFS7 FASTK RNF167 PCBD1 ABHD14B CLSTN1 KYAT3 ACO2 GSTK1 TRPT1 CD151 KYAT1 CLPB STX10 CERS2 TCTA NFKBIL1 POLDIP2 FAM173A SCRN2 MOSPD3 BLVRB PHYH PPFIA3 PCBP2 MRPL2 UQCRFS1 ESRRA ATP13A2 ZFAND3 SLC22A18 YIF1A MRPL23 DNPEP CCDC71,mitochondrial matrix,7.049844898535147e-7,0.02140077821011673,11,0,1,1,0,0.019230769230769232,0,0.9807692307692308,CD_1F_perox_ALS
C183,UBQLN2 SPINT2 GPR162 SMIM2 CLPSL2 TUBA4B AC011479.1 RTL8A TBCC ITPRIPL1,C183,NA,NA,NA,0,1,1,0,0.1,0,0.9,CD_1F_perox_ALS
C191,FAF2 UBXN1 ARFGAP2 UBL4A VCP RER1 UBR1,C191,NA,NA,NA,0,1,1,0,0.14285714285714285,0,0.8571428571428572,CD_1F_perox_ALS
C192,UBQLN2 GPR162 SMIM2 CLPSL2 TUBA4B RTL8A TBCC,C192,NA,NA,NA,0,1,1,0,0.14285714285714285,0,0.8571428571428572,CD_1F_perox_ALS
C193,FIG4 SMIM11A VPS37D CHMP4C CDC40 CHMP2B CCDC28A,late endosome membrane,1.1302396509896126e-6,0.02247191011235955,4,0,1,1,0,0.14285714285714285,0,0.8571428571428572,CD_1F_perox_ALS
C214,SCFD1 UBE4A CUL5 NSF,C214,NA,NA,NA,0,1,1,0,0.25,0,0.75,CD_1F_perox_ALS
C206,SQSTM1 ESRRA ACO2 ECE1 NFKBIL1,C206,NA,NA,NA,0,1,1,0,0.2,0,0.8,CD_1F_perox_ALS
C203,UBQLN2 GPR162 SMIM2 CLPSL2 RTL8A,C203,NA,NA,NA,0,1,1,0,0.2,0,0.8,CD_1F_perox_ALS
