Cluster,genes,Top.pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds,comparison
C180,HOMER1 TMCO3 FAM189B ZFP92 ULK1 CHCHD5 GRN CHCHD4 STX2 WDR45 ACSS2 OSBPL6 PCYT1B SNX11 TANGO2 ERGIC3 TMED2 DUS1L STX10 ADRB2 TRPT1 ATP6V1B1 ATP2B1 POLL CHMP1A BCKDHA COG1 MSANTD1 ATP4A GANAB ATG2A TMEM129 TMED9 DCTN1 USP3 SMIM12 AGRN ITGA2 DNPEP DHX36 TMEM136 CPT1C MCCC1 VNN3 LRRK2 ORMDL3 YWHAQ PRSS3 COA3 MAP7D1 COG2 CERS5 RASSF3 SEC31A ORMDL1 TMEM115 AC048338.1 CPT1B DCP2 SPTLC2 SLC52A2 ATP6V1B2 FA2H SS18 CDK5 NENF FAM131C IKBKB SLC7A6 FPGT SLC4A2 ATP13A2 CMTM6 SGPP2 UPP1 MAP9 GPR21 SFXN1 SDCCAG8 SPTAN1 RER1 NAPSB ATOX1 SLC20A1 USB1 PLD3 WIPI1 EDEM3 HACD1 CHKB CTSD ATP8B2 KDSR NEMP2 YWHAB SLC5A6 LRIF1 GADL1 PHPT1 TOGARAM1 TMED10 ALDH4A1 NADSYN1 MAP4K5 CERS2 QPRT ATP1A1 CEP41 CERS3 SLC27A4 RAB7A ATL3 SACM1L PRXL2B LMAN1 RNF167 VAMP2 SGPL1 SNAP29 CLSTN1 SCFD2 DNAAF2 ICA1 STX3 STXBP2 PRSS56 PGRMC2 ATPSCKMT TUBGCP2 SOD1 GSTM1 WDTC1 EFNB1 POLR2B AACS YIF1A GCH1 COG4 SMCR8 RAB1A SEC22B DCTN3 C8orf58 HINT2 MIGA2 SPAST CERS4 ATP1A4 PORCN PRR12 SLC4A8 HIGD2A MRNIP CERS6 SLC7A11 AL359922.1 AKAP11 CCL15 RAB5A SQSTM1 ATP13A1 MCOLN3 BCAS1 PDIA6 C12orf4 KIF13B VAPB SLC22A5 APBA3 RNPEP,Sphingolipid metabolism,1.0663751565814032e-6,0.16666666666666666,9,3,7,7,0.01764705882352941,0.041176470588235294,0,0.9411764705882352,CD_3_NBIA_ALS
C208,FA2H GSTM1 ADRB2 PHPT1 POLL PRXL2B BCAS1,C208,NA,NA,NA,1,0,0,0.14285714285714285,0,0,0.8571428571428572,CD_3_NBIA_ALS
C181,HOMER1 TMCO3 FAM189B ZFP92 ULK1 GRN STX2 WDR45 OSBPL6 PCYT1B SNX11 TANGO2 ERGIC3 TMED2 STX10 TRPT1 ATP6V1B1 ATP2B1 CHMP1A COG1 MSANTD1 ATP4A GANAB ATG2A TMED9 DCTN1 USP3 SMIM12 AGRN ITGA2 DHX36 LRRK2 YWHAQ PRSS3 COA3 MAP7D1 COG2 RASSF3 SEC31A TMEM115 AC048338.1 DCP2 ATP6V1B2 SS18 CDK5 FAM131C IKBKB FPGT SLC4A2 ATP13A2 CMTM6 UPP1 MAP9 GPR21 SFXN1 SDCCAG8 SPTAN1 RER1 NAPSB ATOX1 SLC20A1 USB1 PLD3 WIPI1 EDEM3 CHKB CTSD ATP8B2 NEMP2 YWHAB LRIF1 PHPT1 TOGARAM1 TMED10 CEP41 MAP4K5 CERS2 QPRT ATP1A1 RAB7A ATL3 SACM1L LMAN1 RNF167 VAMP2 SNAP29 CLSTN1 SCFD2 DNAAF2 ICA1 STX3 STXBP2 PRSS56 PGRMC2 ATPSCKMT TUBGCP2 SOD1 WDTC1 EFNB1 POLR2B YIF1A GCH1 COG4 SMCR8 RAB1A SEC22B DCTN3 C8orf58 HINT2 MIGA2 SPAST ATP1A4 PORCN PRR12 SLC4A8 HIGD2A MRNIP AL359922.1 AKAP11 CCL15 RAB5A SQSTM1 ATP13A1 MCOLN3 PDIA6 C12orf4 KIF13B VAPB APBA3 RNPEP,regulation of vacuole organization,2.578914630856286e-10,0.16666666666666666,10,2,5,5,0.015384615384615384,0.038461538461538464,0,0.946153846153846,CD_3_NBIA_ALS
C183,CERS5 MCCC1 WDTC1 EFNB1 ORMDL1 AACS HACD1 CPT1B SPTLC2 SLC52A2 KDSR ACSS2 FA2H SLC5A6 DUS1L GADL1 NENF CERS4 SLC7A6 PHPT1 POLL ALDH4A1 CERS6 QPRT CERS2 BCKDHA NADSYN1 CERS3 SLC27A4 SLC7A11 TMEM129 SGPP2 PRXL2B SMIM12 SGPL1 BCAS1 DNPEP TMEM136 C12orf4 CPT1C VNN3 ORMDL3 SLC22A5,Sphingolipid metabolism,1.5001719523321238e-12,0.16666666666666666,9,1,2,2,0.02325581395348837,0.04651162790697674,0,0.9302325581395348,CD_3_NBIA_ALS
C193,TANGO2 SOD1 TMED2 YWHAB RAB7A PGRMC2 ATP6V1B2 PRR12 RAB1A TMED10,pigment granule,6.611558834866074e-8,0.043859649122807015,5,0,1,1,0,0.1,0,0.9,CD_3_NBIA_ALS
C182,TMCO3 FAM189B ZFP92 GRN STX2 WDR45 OSBPL6 PCYT1B SNX11 ERGIC3 TMED2 STX10 TRPT1 CHMP1A COG1 MSANTD1 ATP4A GANAB TMED9 DCTN1 SMIM12 AGRN COA3 MAP7D1 COG2 RASSF3 SEC31A TMEM115 AC048338.1 ATP6V1B2 CDK5 FAM131C SLC4A2 ATP13A2 MAP9 GPR21 SFXN1 SDCCAG8 SPTAN1 RER1 NAPSB ATOX1 USB1 PLD3 CTSD ATP8B2 NEMP2 PHPT1 TMED10 CEP41 QPRT CERS2 ATP1A1 RAB7A ATL3 LMAN1 RNF167 VAMP2 SNAP29 CLSTN1 SCFD2 STX3 STXBP2 PRSS56 PGRMC2 ATPSCKMT TUBGCP2 SOD1 EFNB1 YIF1A COG4 RAB1A SEC22B DCTN3 C8orf58 HINT2 MIGA2 PORCN PRR12 SLC4A8 HIGD2A ATP13A1 MCOLN3 PDIA6 C12orf4 KIF13B VAPB APBA3 RNPEP,SNARE complex,5.885674999266155e-7,0.1176470588235294,6,2,4,4,0.02247191011235955,0.0449438202247191,0,0.9325842696629214,CD_3_NBIA_ALS
C219,WIPI1 ULK1 ATG2A SMCR8 WDR45,regulation of vacuole organization,2.1699829031851496e-11,0.08333333333333333,5,1,0,0,0.2,0,0,0.8,CD_3_NBIA_ALS
C188,TANGO2 COA3 SOD1 ZFP92 HINT2 CDK5 TRPT1 HIGD2A ATOX1 SFXN1 LRRK2 PRR12 YWHAB MRNIP,C188,NA,NA,NA,0,1,1,0,0.07142857142857142,0,0.9285714285714286,CD_3_NBIA_ALS
C194,QPRT CERS2 RER1 RNPEP FAM131C GRN CTSD YIF1A RNF167 SNX11,C194,NA,NA,NA,0,1,1,0,0.1,0,0.9,CD_3_NBIA_ALS
C195,FAM189B ATL3 PRSS56 ATP8B2 SLC4A2 GPR21 ATP13A2 MCOLN3 AGRN,C195,NA,NA,NA,1,0,0,0.1111111111111111,0,0,0.8888888888888888,CD_3_NBIA_ALS
