category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,comparison
Cellular Processes,Transport and catabolism,hsa04142,Lysosome,30/193,126/7783,0.23809523809523808,9.60152973106341,15.521547690288456,8.271033115395168e-22,2.0677582788487918e-19,1.7848018827957992e-19,4864/1509/4126/79158/2760/1201/4125/3073/5476/3425/2799/57192/3916/950/968/1508/54/6272/4074/51172/3920/1520/1513/7805/10312/1512/1777/8763/3482/20,30,CD_1A_lyso_AD
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,23/193,176/7783,0.13068181818181818,5.269930522845031,9.136372840900137,4.5230815717208056e-11,5.653851964651007e-9,4.880166958961922e-9,1509/3916/3689/3920/3108/1520/10312/836/972/2207/929/3109/3117/7189/3113/3122/7132/3459/3115/5594/3123/7096/7097,23,CD_1A_lyso_AD
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,20/193,146/7783,0.136986301369863,5.524167790474838,8.799482174714042,3.8532616953793143e-10,3.211051412816095e-8,2.7716443773781035e-8,3916/4353/4074/3689/3920/3108/1520/10312/929/1536/3109/3117/3113/3122/3105/1535/3115/9341/3123/7097,20,CD_1A_lyso_AD
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,14/193,75/7783,0.18666666666666668,7.527599309153715,9.057673178191287,3.0875038871767342e-9,1.9296899294854589e-7,1.665627097029554e-7,3689/3108/1536/3109/3117/7189/3113/3122/3459/1535/3115/5594/3123/7097,14,CD_1A_lyso_AD
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,14/193,78/7783,0.1794871794871795,7.238076258801648,8.829071608504258,5.281379076985298e-9,2.640689538492649e-7,2.2793320226989183e-7,1508/3108/1520/972/10437/6892/3109/3117/567/3113/3122/3105/3115/3123,14,CD_1A_lyso_AD
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,14/193,93/7783,0.15053763440860216,6.070644604156221,7.844131336353663,5.521124614699373e-8,2.300468589458072e-6,1.9856676245848625e-6,8741/54/3689/3108/1513/10312/3109/3117/3113/3122/3115/4314/3123/7097,14,CD_1A_lyso_AD
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,18/193,173/7783,0.10404624277456648,4.195812992302854,6.778216884635738,2.3691588585188185e-7,8.46128163756721e-6,7.303422045058011e-6,3108/836/972/6892/3109/3117/567/7189/3113/3122/7132/3105/3459/3115/8764/29992/3123/7097,18,CD_1A_lyso_AD
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,14/193,109/7783,0.12844036697247707,5.179540809050721,7.007035235213658,4.2137024658953717e-7,1.3167820205923036e-5,1.136590796721778e-5,3108/836/3109/3117/7189/3113/3122/7132/3459/3115/5594/23643/3123/7097,14,CD_1A_lyso_AD
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,11/193,66/7783,0.16666666666666666,6.7210708117443865,7.44266412849327,5.356191333334772e-7,1.4878309259263257e-5,1.2842330097469338e-5,3689/3108/836/3109/3117/3113/3122/3105/3115/1604/3123,11,CD_1A_lyso_AD
Human Diseases,Immune disease,hsa05310,Asthma,8/193,31/7783,0.25806451612903225,10.406819321410664,8.36797062959619,5.982265163113691e-7,1.4955662907784228e-5,1.2909098509876911e-5,3108/2207/3109/3117/3113/3122/3115/3123,8,CD_1A_lyso_AD
Human Diseases,Immune disease,hsa05330,Allograft rejection,8/193,37/7783,0.21621621621621623,8.719226999019746,7.504803195902759,2.5767587384123726e-6,5.856269860028119e-5,5.054885563392693e-5,3108/3109/3117/3113/3122/3105/3115/3123,8,CD_1A_lyso_AD
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,8/193,43/7783,0.18604651162790697,7.5025906735751295,6.817945793911272,8.519029175918178e-6,1.6382748415227265e-4,1.41408986320909e-4,3108/3109/3117/3113/3122/3105/3115/3123,8,CD_1A_lyso_AD
Human Diseases,Immune disease,hsa05332,Graft-versus-host disease,8/193,43/7783,0.18604651162790697,7.5025906735751295,6.817945793911272,8.519029175918178e-6,1.6382748415227265e-4,1.41408986320909e-4,3108/3109/3117/3113/3122/3105/3115/3123,8,CD_1A_lyso_AD
Organismal Systems,Immune system,hsa04658,Th1 and Th2 cell differentiation,11/193,92/7783,0.11956521739130435,4.821637756251408,5.879703237171008,1.5278769248305532e-5,2.546461541384256e-4,2.1979983830895677e-4,4853/3108/3109/3117/3113/3122/3459/3115/5594/4854/3123,11,CD_1A_lyso_AD
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,11/193,92/7783,0.11956521739130435,4.821637756251408,5.879703237171008,1.5278769248305532e-5,2.546461541384256e-4,2.1979983830895677e-4,3689/3108/3109/3117/3113/719/3122/713/3115/629/3123,11,CD_1A_lyso_AD
Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,8/193,47/7783,0.1702127659574468,6.864072318377246,6.429739765026872,1.6969212680101215e-5,2.651439481265815e-4,2.2886109206715456e-4,8741/3108/3109/3117/3113/3122/3115/3123,8,CD_1A_lyso_AD
Organismal Systems,Digestive system,hsa04979,Cholesterol metabolism,8/193,48/7783,0.16666666666666666,6.7210708117443865,6.339735844664411,1.993532667662338e-5,2.931665687738732e-4,2.5304903831008e-4,348/4864/6272/341/4043/6646/27141/255738,8,CD_1A_lyso_AD
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,11/193,97/7783,0.1134020618556701,4.573099727578655,5.646563216480409,2.537976458509816e-5,3.524967303485856e-4,3.0426033566930544e-4,3108/929/3109/3117/3113/3122/3115/960/1604/3123/912,11,CD_1A_lyso_AD
Human Diseases,Immune disease,hsa05320,Autoimmune thyroid disease,8/193,50/7783,0.16,6.452227979274611,6.167204988963845,2.7184589113483967e-5,3.576919620195259e-4,3.0874464090106443e-4,3108/3109/3117/3113/3122/3105/3115/3123,8,CD_1A_lyso_AD
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,9/193,66/7783,0.13636363636363635,5.499057936881771,5.852921283565294,3.2108861333095713e-5,4.013607666636964e-4,3.464377143834011e-4,3108/3109/3117/3113/3122/3459/3115/3123/7097,9,CD_1A_lyso_AD
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,8/193,53/7783,0.1509433962264151,6.087007527617558,5.925349174146385,4.211167568792009e-5,5.013294724752392e-4,4.327264920312591e-4,3108/3109/3117/3113/3122/713/3115/3123,8,CD_1A_lyso_AD
Human Diseases,Infectious disease: bacterial,hsa05133,Pertussis,9/193,75/7783,0.12,4.839170984455958,5.327219764183922,8.989725169072966e-5,0.001021559678303746,8.817673012727072e-4,3689/836/929/7189/713/840/5594/23643/3659,9,CD_1A_lyso_AD
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,15/193,196/7783,0.07653061224489796,3.0862059849846677,4.716866236147823,9.961720241603342e-5,0.0010827956784351458,9.346236382282312e-4,3108/836/965/6892/3109/3117/567/7189/3113/3122/3105/3115/960/3123/7097,15,CD_1A_lyso_AD
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,9/193,83/7783,0.10843373493975904,4.372744865472251,4.925842859599594,1.983624580444193e-4,0.0020662756046293676,0.0017835221008379808,1191/3689/5627/719/713/5329/5265/629/1604,9,CD_1A_lyso_AD
Metabolism,Glycan biosynthesis and metabolism,hsa00511,Other glycan degradation,4/193,17/7783,0.23529411764705882,9.48857055775678,5.5868075357887905,6.77085831818417e-4,0.00677085831818417,0.005844319811485283,4126/4125/3073/4123,4,CD_1A_lyso_AD
Environmental Information Processing,Signal transduction,hsa04330,Notch signaling pathway,7/193,61/7783,0.11475409836065574,4.627622526119087,4.535503314778433,7.265970729755513e-4,0.006986510317072608,0.006030461536841621,5664/5663/4853/23385/4855/4854/8650,7,CD_1A_lyso_AD
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,12/193,165/7783,0.07272727272727272,2.932830899670278,4.001462283098174,7.87755516619874e-4,0.007294032561295129,0.00629590178974948,3108/64499/836/3109/3117/3113/3122/7132/3459/3115/5594/3123,12,CD_1A_lyso_AD
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,9/193,107/7783,0.08411214953271028,3.3919422788242697,3.972633319890074,0.0012988310192190145,0.0115967055287412,0.010009787930071352,3108/3109/3117/3113/3122/3459/3115/5594/3123,9,CD_1A_lyso_AD
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecules,11/193,152/7783,0.07236842105263158,2.9183596945732204,3.8085923272705418,0.0013514843221354913,0.011650726914961133,0.010056416916071714,3689/3108/965/4267/3109/3117/3113/3122/3105/3115/3123,11,CD_1A_lyso_AD
Cellular Processes,Cell growth and death,hsa04210,Apoptosis,10/193,131/7783,0.07633587786259542,3.078353043547047,3.825347284279226,0.0014900831532565926,0.012016799623037037,0.010372395464095126,1509/1508/1520/1513/1512/836/7132/823/840/5594,10,CD_1A_lyso_AD
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,10/193,131/7783,0.07633587786259542,3.078353043547047,3.825347284279226,0.0014900831532565926,0.012016799623037037,0.010372395464095126,54209/54/1513/353514/140885/7189/7132/3459/1535/5594,10,CD_1A_lyso_AD
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,13/193,208/7783,0.0625,2.520401554404145,3.544067898185126,0.0019426969998227585,0.015177320311115301,0.013100423847488997,9619/836/929/1536/7436/7189/7132/1535/840/5594/23643/4314/7097,13,CD_1A_lyso_AD
Organismal Systems,Nervous system,hsa04722,Neurotrophin signaling pathway,9/193,116/7783,0.07758620689655173,3.1287743433982493,3.6834032767174887,0.0022820340055630228,0.017288136405780478,0.01492239142393683,5664/5663/6272/7189/10782/6195/5594/25970/27018,9,CD_1A_lyso_AD
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,13/193,215/7783,0.06046511627906977,2.438341968911917,3.410312688011628,0.002601192331379714,0.019126414201321426,0.01650911541587744,3689/3108/3109/3117/567/3113/3122/7132/3105/3115/5594/3123/2114,13,CD_1A_lyso_AD
