category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,comparison
Cellular Processes,Transport and catabolism,hsa04142,Lysosome,51/288,126/7783,0.40476190476190477,10.93840939153439,22.045952641744,6.267764311154242e-41,1.7549740071231878e-38,1.5306540212502993e-38,57192/138050/427/2581/3073/2517/4126/3425/1509/410/6609/2990/2760/3074/4668/5476/2720/4758/4864/4669/1201/2548/175/4125/285362/6448/10577/3916/968/3373/8372/1508/950/3920/9114/2588/51172/53/4074/1512/54/4891/1511/1497/8722/2519/23659/527/967/3482/768239,51,CD_1A_lyso_DLB
Metabolism,Lipid metabolism,hsa00600,Sphingolipid metabolism,30/288,52/7783,0.5769230769230769,15.590945512820513,20.69299293017588,3.245257169052097e-30,4.543360036672936e-28,3.9626298064215086e-28,427/56624/2581/340485/3073/410/6609/166929/2760/3074/2720/4758/339221/64781/125981/55512/57704/123099/7357/7368/8560/6610/259230/55627/129807/2583/56848/8611/8877/768239,30,CD_1A_lyso_DLB
Metabolism,Glycan biosynthesis and metabolism,hsa00511,Other glycan degradation,14/288,17/7783,0.8235294117647058,22.255310457516337,17.196864083787702,4.073781886456181e-18,3.802196427359102e-16,3.3162013952906456e-16,3073/2517/4126/3074/2720/4758/175/4125/57704/284004/23324/4123/129807/2519,14,CD_1A_lyso_DLB
Metabolism,Glycan biosynthesis and metabolism,hsa00531,Glycosaminoglycan degradation,11/288,18/7783,0.6111111111111112,16.51485339506173,12.917225379018278,3.729216729213581e-12,2.610451710449507e-10,2.2767849504672392e-10,138050/3073/3425/2990/3074/2720/4669/6448/3373/8372/2588,11,CD_1A_lyso_DLB
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,23/288,146/7783,0.15753424657534246,4.257253614916285,7.787940876675376,3.028688877590302e-9,1.696065771450569e-7,1.4792754096862106e-7,3916/3920/523/4353/9114/526/821/4074/525/7059/527/1536/3108/3117/1535/9341/3109/929/3105/7037/3123/3107/3115,23,CD_1A_lyso_DLB
Cellular Processes,Cell growth and death,hsa04216,Ferroptosis,11/288,36/7783,0.3055555555555556,8.257426697530866,8.555062150320984,3.87665069555911e-8,1.8091036579275845e-6,1.5778648445082692e-6,30061/6520/4891/2512/55240/5094/1536/3162/2495/7037/5621,11,CD_1A_lyso_DLB
Organismal Systems,Digestive system,hsa04978,Mineral absorption,13/288,58/7783,0.22413793103448276,6.0571719348659006,7.577544759761014,1.3157125719057552e-7,5.2628502876230205e-6,4.590155138077222e-6,30061/1317/4891/4495/4502/2512/55503/538/4493/4501/3162/2495/645745,13,CD_1A_lyso_DLB
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,13/288,78/7783,0.16666666666666666,4.504050925925926,6.096596152589364,4.72581560735917e-6,1.6540354625757094e-4,1.442617395930694e-4,1508/821/3108/3117/3109/567/3105/3809/3309/3123/972/3107/3115,13,CD_1A_lyso_DLB
Organismal Systems,Digestive system,hsa04979,Cholesterol metabolism,10/288,48/7783,0.20833333333333334,5.630063657407408,6.307154364102166,7.73282811210128e-6,2.405768745987065e-4,2.098264470184207e-4,348/4864/10577/7416/57552/4043/5360/255738/341/1593,10,CD_1A_lyso_DLB
Metabolism,Carbohydrate metabolism,hsa00500,Starch and sucrose metabolism,8/288,30/7783,0.26666666666666666,7.2064814814814815,6.676167708123815,9.172627864377761e-6,2.568335802025773e-4,2.2400522784585692e-4,2595/280/279/2548/276/278/277/57818,8,CD_1A_lyso_DLB
Environmental Information Processing,Signal transduction,hsa04071,Sphingolipid signaling pathway,15/288,115/7783,0.13043478260869565,3.524909420289855,5.3469941537830525,1.9747484817270784e-5,5.026632498941653e-4,4.3841306005806916e-4,427/56624/340485/1509/6609/166929/125981/123099/8560/6610/259230/581/56848/5338/8877,15,CD_1A_lyso_DLB
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,13/288,93/7783,0.13978494623655913,3.777591099163679,5.282051784962369,3.380626501837895e-5,7.888128504288421e-4,6.879871477424488e-4,523/9114/526/54/525/2353/527/3108/3117/3109/4314/3123/3115,13,CD_1A_lyso_DLB
Organismal Systems,Nervous system,hsa04721,Synaptic vesicle cycle,11/288,76/7783,0.14473684210526316,3.9114126461988303,4.999469454219779,9.873909386013432e-5,0.002126688175449047,0.001854855852271349,523/9114/526/525/6507/527/161/6571/6844/1785/1175,11,CD_1A_lyso_DLB
Metabolism,Glycan biosynthesis and metabolism,hsa00604,Glycosphingolipid biosynthesis - ganglio series,5/288,15/7783,0.3333333333333333,9.008101851851851,6.085225096787651,1.4823565769999568e-4,0.0029647131539999134,0.002585764856120226,3073/3074/2720/2583/8705,5,CD_1A_lyso_DLB
Metabolism,Carbohydrate metabolism,hsa00052,Galactose metabolism,6/288,25/7783,0.24,6.485833333333333,5.385099898543302,2.3802006219389278e-4,0.004443041160952665,0.003875133644139167,2595/2720/2548/130589/3938/57818,6,CD_1A_lyso_DLB
Human Diseases,Immune disease,hsa05330,Allograft rejection,7/288,37/7783,0.1891891891891892,5.112706456456457,4.91525288948187,3.496974771481795e-4,0.006119705850093141,0.005337487809103793,3108/3117/3109/3105/3123/3107/3115,7,CD_1A_lyso_DLB
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,16/288,176/7783,0.09090909090909091,2.4567550505050506,3.831706156210359,7.813094935658916e-4,0.012070025150092875,0.010527239980532132,1509/3916/3920/9114/581/836/56848/527/3108/3117/3109/8877/929/3123/972/3115,16,CD_1A_lyso_DLB
Organismal Systems,Digestive system,hsa04973,Carbohydrate digestion and absorption,7/288,42/7783,0.16666666666666666,4.504050925925926,4.463263829506252,7.822184255456562e-4,0.012070025150092875,0.010527239980532132,280/279/276/3938/278/277/57818,7,CD_1A_lyso_DLB
Metabolism,Metabolism of cofactors and vitamins,hsa00860,Porphyrin metabolism,7/288,43/7783,0.16279069767441862,4.399305555555555,4.381370603104392,9.052518862569656e-4,0.012070025150092875,0.010527239980532132,2990/2512/645/3052/3162/574537/2495,7,CD_1A_lyso_DLB
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,7/288,43/7783,0.16279069767441862,4.399305555555555,4.381370603104392,9.052518862569656e-4,0.012070025150092875,0.010527239980532132,3108/3117/3109/3105/3123/3107/3115,7,CD_1A_lyso_DLB
Human Diseases,Immune disease,hsa05332,Graft-versus-host disease,7/288,43/7783,0.16279069767441862,4.399305555555555,4.381370603104392,9.052518862569656e-4,0.012070025150092875,0.010527239980532132,3108/3117/3109/3105/3123/3107/3115,7,CD_1A_lyso_DLB
Genetic Information Processing,"Folding, sorting and degradation",hsa04141,Protein processing in endoplasmic reticulum,15/288,165/7783,0.09090909090909091,2.4567550505050506,3.7073540162635914,0.001133387169142243,0.01442492760726491,0.01258113986799045,23193/26270/1650/1649/7184/581/821/10525/7841/9709/823/11253/3309/79139/5886,15,CD_1A_lyso_DLB
Metabolism,Carbohydrate metabolism,hsa00520,Amino sugar and nucleotide sugar metabolism,6/288,34/7783,0.17647058823529413,4.768995098039216,4.317160941230291,0.001365916607191689,0.016628550000594478,0.014503096241119997,3073/3074/5973/1118/51005/197258,6,CD_1A_lyso_DLB
Human Diseases,Immune disease,hsa05320,Autoimmune thyroid disease,7/288,50/7783,0.14,3.7834027777777783,3.8702862935409357,0.00225023095625881,0.026252694489686118,0.022897086923335263,3108/3117/3109/3105/3123/3107/3115,7,CD_1A_lyso_DLB
Organismal Systems,Excretory system,hsa04966,Collecting duct acid secretion,5/288,27/7783,0.18518518518518517,5.004501028806584,4.085708987839254,0.0027673860401142138,0.030549929733928397,0.02664505149726086,523/9114/526/525/527,5,CD_1A_lyso_DLB
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,8/288,66/7783,0.12121212121212122,3.2756734006734005,3.63926507305183,0.0028367791895790653,0.030549929733928397,0.02664505149726086,836/3108/3117/3109/3105/3123/3107/3115,8,CD_1A_lyso_DLB
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,8/288,67/7783,0.11940298507462686,3.2267827529021558,3.58818791607431,0.003120549239654759,0.0323612513741975,0.02822485082260835,9415/10062/5360/2710/5468/3157/123/1593,8,CD_1A_lyso_DLB
Organismal Systems,Digestive system,hsa04970,Salivary secretion,9/288,86/7783,0.10465116279069768,2.828125,3.3415688102149694,0.004341277128001773,0.043412771280017734,0.03786377043971472,280/279/276/55503/278/277/1471/6844/4069,9,CD_1A_lyso_DLB
Human Diseases,Immune disease,hsa05310,Asthma,5/288,31/7783,0.16129032258064516,4.358758960573477,3.672897778032616,0.005162496073297897,0.04984478967322108,0.04347365114356124,3108/3117/3109/3123/3115,5,CD_1A_lyso_DLB
