category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,comparison
Metabolism,Lipid metabolism,hsa00564,Glycerophospholipid metabolism,29/145,97/7783,0.29896907216494845,16.04742268041237,20.546487337256366,5.8194767675696965e-28,1.4141328545194362e-25,1.1638953535139394e-25,8398/54675/154141/8605/123745/255189/1609/5321/283748/81490/100137049/254531/54947/56994/151056/85465/10390/150763/196051/129642/122618/11145/10162/23646/43/84803/5338/8613/137964,29,CD_1B_otherlipid_PD
Metabolism,Lipid metabolism,hsa00565,Ether lipid metabolism,18/145,48/7783,0.375,20.12844827586207,18.31512925445498,1.1346184464875096e-19,1.3785614124823242e-17,1.1346184464875096e-17,8398/8605/123745/255189/5321/283748/100137049/254531/54947/56994/151056/85465/10390/122618/11145/23646/5338/8613,18,CD_1B_otherlipid_PD
Metabolism,Lipid metabolism,hsa00592,alpha-Linolenic acid metabolism,9/145,26/7783,0.34615384615384615,18.580106100795756,12.370893195752327,5.031136091835321e-10,4.07522023438661e-8,3.354090727890214e-8,8398/8605/123745/255189/5321/283748/100137049/151056/11145,9,CD_1B_otherlipid_PD
Organismal Systems,Endocrine system,hsa04913,Ovarian steroidogenesis,11/145,49/7783,0.22448979591836735,12.049683321604503,10.690193714168785,1.0189375120956806e-9,6.190045385981259e-8,5.094687560478403e-8,8605/1586/123745/255189/6770/5321/283748/100137049/1583/3949/3480,11,CD_1B_otherlipid_PD
Metabolism,Lipid metabolism,hsa00591,Linoleic acid metabolism,9/145,30/7783,0.3,16.102758620689656,11.4188351717941,2.1621597095821696e-9,1.0508096188569344e-7,8.648638838328679e-8,8398/8605/123745/255189/5321/283748/100137049/151056/11145,9,CD_1B_otherlipid_PD
Human Diseases,Cancer: overview,hsa05231,Choline metabolism in cancer,12/145,93/7783,0.12903225806451613,6.925917686318131,7.920884969927946,1.2656877049365277e-7,5.126035204992938e-6,4.218959016455093e-6,8605/123745/255189/1609/5321/283748/100137049/56994/6580/5338/8613/5900,12,CD_1B_otherlipid_PD
Metabolism,Lipid metabolism,hsa00590,Arachidonic acid metabolism,9/145,60/7783,0.15,8.051379310344828,7.554339039975507,1.3890880660405207e-6,4.8221200006835215e-5,3.968823045830059e-5,8398/8605/123745/255189/5321/283748/100137049/151056/11145,9,CD_1B_otherlipid_PD
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,10/145,89/7783,0.11235955056179775,6.030995738086013,6.576769923193043,5.342112117037379e-6,1.6226665555501036e-4,1.3355280292593445e-4,8605/123745/255189/5321/283748/100137049/5338/6300/776/5580,10,CD_1B_otherlipid_PD
Organismal Systems,Immune system,hsa04666,Fc gamma R-mediated phagocytosis,10/145,91/7783,0.10989010989010989,5.898446381205002,6.475886139704281,6.540831794553878e-6,1.766024584529547e-4,1.4535181765675285e-4,8398/8605/123745/255189/5321/283748/100137049/5338/8613/5580,10,CD_1B_otherlipid_PD
Organismal Systems,Nervous system,hsa04730,Long-term depression,8/145,58/7783,0.13793103448275862,7.403567181926277,6.744138961874815,1.0436278802357894e-5,2.3425298053406023e-4,1.9280080702391788e-4,8605/123745/255189/5321/283748/100137049/3480/2781,8,CD_1B_otherlipid_PD
Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,10/145,96/7783,0.10416666666666667,5.591235632183909,6.236293489962883,1.0604044386315484e-5,2.3425298053406023e-4,1.9280080702391788e-4,8398/8605/123745/255189/5321/283748/100137049/6300/41/5580,10,CD_1B_otherlipid_PD
Metabolism,Lipid metabolism,hsa00561,Glycerolipid metabolism,8/145,61/7783,0.13114754098360656,7.039457320520068,6.524357089950479,1.5295586652881203e-5,3.097356297208444e-4,2.5492644421468673e-4,154141/1609/150763/196051/129642/84803/8613/137964,8,CD_1B_otherlipid_PD
Organismal Systems,Endocrine system,hsa04920,Adipocytokine signaling pathway,8/145,68/7783,0.11764705882352941,6.314807302231237,6.064762545100478,3.439932106597832e-5,6.430026937717486e-4,5.292203240919742e-4,6258/2180/6257/51703/23305/6256/6517/6794,8,CD_1B_otherlipid_PD
Environmental Information Processing,Signal transduction,hsa04370,VEGF signaling pathway,7/145,54/7783,0.12962962962962962,6.957982120051086,6.053049272813409,5.7375804184045465e-5,9.958800297659321e-4,8.196543454863638e-4,8605/123745/255189/5321/283748/100137049/6300,7,CD_1B_otherlipid_PD
Organismal Systems,Immune system,hsa04664,Fc epsilon RI signaling pathway,7/145,63/7783,0.1111111111111111,5.9639846743295015,5.45044352310748,1.5587278934671786e-4,0.002525139187416829,0.002078303857956238,8605/123745/255189/5321/283748/100137049/6300,7,CD_1B_otherlipid_PD
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,9/145,109/7783,0.08256880733944955,4.4319519139512815,4.971452944000986,1.8477219762724005e-4,0.002806227751463708,0.0023096524703405006,8605/123745/255189/5321/283748/100137049/774/776/836,9,CD_1B_otherlipid_PD
