category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,comparison
Metabolism,Lipid metabolism,hsa00600,Sphingolipid metabolism,11/105,52/7783,0.21153846153846154,15.68003663003663,12.42015979194314,6.031948914215321e-11,1.4536996883258924e-8,1.2889322416691687e-8,56624/340485/56848/130367/123099/7368/55627/8560/8611/8612/8877,11,CD_3_NBIA_DLB
Environmental Information Processing,Signal transduction,hsa04071,Sphingolipid signaling pathway,9/105,115/7783,0.0782608695652174,5.800993788819876,6.065340981429214,2.2492409831121775e-5,0.0020050331714462208,0.0017777756444795059,56624/340485/56848/130367/123099/8560/5338/1509/8877,9,CD_3_NBIA_DLB
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,10/105,146/7783,0.0684931506849315,5.076973255055446,5.815259560461277,2.4958919146633453e-5,0.0020050331714462208,0.0017777756444795059,525/3916/1536/4481/7037/821/527/526/5868/3113,10,CD_3_NBIA_DLB
Metabolism,Lipid metabolism,hsa00564,Glycerophospholipid metabolism,8/105,97/7783,0.08247422680412371,6.1133038782523315,5.925888683605968,4.495461974370235e-5,0.0022452828102342034,0.0019907945423784375,8611/5338/8525/8612/23646/2820/10908/1120,8,CD_3_NBIA_DLB
Cellular Processes,Transport and catabolism,hsa04142,Lysosome,9/105,126/7783,0.07142857142857142,5.294557823129252,5.683169545000598,4.658263091772206e-5,0.0022452828102342034,0.0019907945423784375,3916/2548/138050/1509/2990/1497/1212/527/53,9,CD_3_NBIA_DLB
Organismal Systems,Nervous system,hsa04721,Synaptic vesicle cycle,7/105,76/7783,0.09210526315789473,6.82719298245614,5.969524330526953,6.776153394248219e-5,0.0027217549466897013,0.0024132616474252435,525/6809/161/1212/6844/527/526,7,CD_3_NBIA_DLB
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,10/105,176/7783,0.056818181818181816,4.211580086580087,5.039466830726956,1.2213073471153957e-4,0.003963258996619293,0.003514049252298391,56848/3916/1509/836/8877/527/572/5868/3113/3553,10,CD_3_NBIA_DLB
Metabolism,Global and overview maps,hsa01240,Biosynthesis of cofactors,9/105,144/7783,0.0625,4.632738095238095,5.145330643497262,1.315604646180678e-4,0.003963258996619293,0.003514049252298391,8566/51109/2990/574537/2643/212/7390/2729/23475,9,CD_3_NBIA_DLB
Metabolism,Metabolism of cofactors and vitamins,hsa00860,Porphyrin metabolism,5/105,43/7783,0.11627906976744186,8.619047619047619,5.858421895056444,2.6011973643858064e-4,0.006965428497966437,0.006175942280354605,2990/574537/212/7390/2395,5,CD_3_NBIA_DLB
Metabolism,Lipid metabolism,hsa00565,Ether lipid metabolism,5/105,48/7783,0.10416666666666667,7.721230158730159,5.462047039416702,4.3865368981093835e-4,0.010571553924443615,0.009373336740170579,7368/8611/5338/8612/23646,5,CD_3_NBIA_DLB
Cellular Processes,Cell growth and death,hsa04216,Ferroptosis,4/105,36/7783,0.1111111111111111,8.235978835978836,5.08859596512179,0.0013219862737013433,0.027663651082890536,0.024528155360676044,1536/7037/2729/5621,4,CD_3_NBIA_DLB
Organismal Systems,Immune system,hsa04666,Fc gamma R-mediated phagocytosis,6/105,91/7783,0.06593406593406594,4.887284144427001,4.361777965062812,0.0013774432074468317,0.027663651082890536,0.024528155360676044,56848/8611/5338/8612/23396/8877,6,CD_3_NBIA_DLB
Human Diseases,Cancer: overview,hsa05231,Choline metabolism in cancer,6/105,93/7783,0.06451612903225806,4.782181259600614,4.290785967653355,0.0015413992516458243,0.028575170742049516,0.02533636016875323,8611/5338/8525/8612/23396/1120,6,CD_3_NBIA_DLB
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,14/105,440/7783,0.031818181818181815,2.3584848484848484,3.4305249478978426,0.0022383857278894742,0.03853221145866881,0.034164834794102504,7416/23130/836/26100/351/8878/1536/4713/9217/487/572/5868/5621/3553,14,CD_3_NBIA_DLB
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,7/105,140/7783,0.05,3.7061904761904767,3.7783889132070976,0.0027546901454481966,0.04425868833686769,0.03924225259831467,56848/8611/5338/8525/8612/23396/8877,7,CD_3_NBIA_DLB
