query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,comparison
query_1,TRUE,1.7057832290036913e-10,453,250,37,0.148,0.08167770419426049,REACTOME_NEUTROPHIL_DEGRANULATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NEUTROPHIL_DEGRANULATION,12733,2303,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","GRN,AGA,CTSD,GNS,NPC2,ARSA,TOM1,TMBIM1,HPSE,CST3,FTL,TCIRG1,CMTM6,CD63,CTSS,VAMP8,OSTF1,DDOST,ALDOA,GSN,HRNR,LGALS3,MVP,ATP6AP2,FTH1,CD59,RAB7A,PFKL,ANXA2,CKAP4,ATG7,PSEN1,YPEL5,GOLGA7,GYG1,CD55,AMPD3",CD_1A_lyso_ALS
query_1,TRUE,5.801407760073673e-6,1052,250,49,0.196,0.04657794676806084,REACTOME_INNATE_IMMUNE_SYSTEM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INNATE_IMMUNE_SYSTEM,12733,2049,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","GRN,AGA,CTSD,GNS,NPC2,ARSA,TOM1,CTSL,TMBIM1,HPSE,ATP6V1B2,PLD3,ATP6V1B1,CST3,FTL,TCIRG1,CMTM6,CD63,CTSS,VAMP8,OSTF1,DDOST,ALDOA,ATOX1,GSN,ATP6V1G1,HRNR,LGALS3,MVP,ATP6AP2,FTH1,CD59,CFB,RAB7A,IKBKB,PFKL,ANXA2,PCBP2,CKAP4,ATG7,PSEN1,YPEL5,GOLGA7,GYG1,CD55,TAX1BP1,DUSP3,AMPD3,TLR1",CD_1A_lyso_ALS
query_1,TRUE,2.1123407267957102e-5,114,250,14,0.056,0.12280701754385964,KEGG_LYSOSOME,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_LYSOSOME,12733,407,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X","AGA,CTSD,GNS,NAGA,NPC2,ARSA,HYAL1,ARSG,CTSL,GNPTG,TCIRG1,CD63,CTSS,AP1B1",CD_1A_lyso_ALS
query_1,TRUE,2.4319546284343383e-5,100,250,13,0.052,0.13,REACTOME_SPHINGOLIPID_METABOLISM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SPHINGOLIPID_METABOLISM,12733,2883,,"X,X,X,X,X,X,X,X,X,X,X,X,X","SPTLC2,ARSA,CERS5,CERS3,CERS4,ARSG,CERS6,NEU2,A4GALT,CERS2,B3GALT4,B3GALNT1,SGPL1",CD_1A_lyso_ALS
query_1,TRUE,2.4348321815462003e-5,70,250,11,0.044,0.15714285714285714,REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,12733,3075,,"X,X,X,X,X,X,X,X,X,X,X","GNS,FTL,VAMP8,AP1B1,VAMP2,TGOLN2,FTH1,BLOC1S1,SNAPIN,STX4,ARF1",CD_1A_lyso_ALS
query_1,TRUE,2.4348321815462003e-5,300,250,22,0.088,0.07333333333333333,REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,12733,1467,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","GANAB,OS9,KDELR2,CMAS,NEU2,DDOST,TMED10,MAN2A1,ARF3,DERL1,CD59,MAN1C1,CALR,KDELR1,TMEM115,COG5,FPGT,CD55,SEC22B,TMED9,MAN1A1,ARF1",CD_1A_lyso_ALS
query_1,TRUE,5.79776142488199e-5,700,250,35,0.14,0.05,REACTOME_TRANSPORT_OF_SMALL_MOLECULES,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSPORT_OF_SMALL_MOLECULES,12733,3071,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ATP13A2,NPC2,P4HB,SLC41A2,OS9,SLC25A1,MCOLN3,APOE,ATP6V1B2,SLC20A2,ATP6V1B1,SLC31A1,MICU1,FTL,SLC4A2,TCIRG1,SLC18A1,SRI,SLC16A7,ATP8B2,SLC8B1,ATP6V1G1,ATP2B1,DERL1,SLC22A18,FTH1,PLTP,SLC24A4,SLC7A7,SLC4A8,SLC26A6,TRPM4,SLC12A4,SLC12A6,ARF1",CD_1A_lyso_ALS
query_1,TRUE,6.217954330712668e-5,611,250,32,0.128,0.05237315875613748,REACTOME_MEMBRANE_TRAFFICKING,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MEMBRANE_TRAFFICKING,12733,2177,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","CHMP2B,GNS,KDELR2,RIN2,FTL,KLC1,VAMP8,AP1B1,TMED10,VAMP2,MAN2A1,ARF3,VAMP3,TGOLN2,FTH1,CD59,GABARAPL2,MAN1C1,RAB7A,KDELR1,BLOC1S1,TMEM115,PLIN3,SNAPIN,COG5,STX10,STX4,CD55,SEC22B,TMED9,MAN1A1,ARF1",CD_1A_lyso_ALS
query_1,TRUE,7.260414716531197e-5,26,250,7,0.028,0.2692307692307692,WP_SPHINGOLIPID_METABOLISM_INTEGRATED_PATHWAY,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_SPHINGOLIPID_METABOLISM_INTEGRATED_PATHWAY,12733,3909,,"X,X,X,X,X,X,X","SPTLC2,CERS5,CERS3,CERS4,CERS6,CERS2,SGPL1",CD_1A_lyso_ALS
query_1,TRUE,1.0058995919580968e-4,28,250,7,0.028,0.25,WP_SPHINGOLIPID_PATHWAY,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_SPHINGOLIPID_PATHWAY,12733,3912,,"X,X,X,X,X,X,X","SPTLC2,CERS5,CERS3,CERS4,CERS6,CERS2,SGPL1",CD_1A_lyso_ALS
query_1,TRUE,1.0058995919580968e-4,53,250,9,0.036,0.16981132075471697,KEGG_VIBRIO_CHOLERAE_INFECTION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_VIBRIO_CHOLERAE_INFECTION,12733,495,,"X,X,X,X,X,X,X,X,X","KDELR2,ATP6V1B2,PDIA4,ATP6V1B1,TCIRG1,SEC61A1,ATP6V1G1,KDELR1,ARF1",CD_1A_lyso_ALS
query_1,TRUE,1.0058995919580968e-4,703,250,34,0.136,0.04836415362731152,REACTOME_VESICLE_MEDIATED_TRANSPORT,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_VESICLE_MEDIATED_TRANSPORT,12733,3110,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","CHMP2B,GNS,KDELR2,RIN2,APOE,FTL,KLC1,VAMP8,AP1B1,TMED10,VAMP2,MAN2A1,ARF3,VAMP3,TGOLN2,FTH1,CD59,GABARAPL2,MAN1C1,CALR,RAB7A,KDELR1,BLOC1S1,TMEM115,PLIN3,SNAPIN,COG5,STX10,STX4,CD55,SEC22B,TMED9,MAN1A1,ARF1",CD_1A_lyso_ALS
query_1,TRUE,1.0058995919580968e-4,54,250,9,0.036,0.16666666666666666,REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,12733,1963,,"X,X,X,X,X,X,X,X,X","FTL,VAMP8,AP1B1,VAMP2,TGOLN2,FTH1,BLOC1S1,SNAPIN,ARF1",CD_1A_lyso_ALS
query_1,TRUE,1.382704688836482e-4,195,250,16,0.064,0.08205128205128205,REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,12733,2095,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","KDELR2,KLC1,TMED10,MAN2A1,ARF3,VAMP3,TGOLN2,MAN1C1,KDELR1,PLIN3,COG5,STX10,SEC22B,TMED9,MAN1A1,ARF1",CD_1A_lyso_ALS
