query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,comparison
query_1,TRUE,4.430090810573437e-21,123,192,27,0.140625,0.21951219512195122,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,12733,2212,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","CTSA,LGMN,HLA-DQA2,CTSB,CTSH,CTSF,CTSL,CTSS,CTSC,KLC1,HLA-DMA,CTSK,IFI30,CTSE,OSBPL1A,HLA-DMB,AP1S3,AP2A2,RAB7A,CTSV,CD74,HLA-DRA,HLA-DQA1,HLA-DPB1,DNM2,HLA-DRB1,HLA-DPA1",CD_1A_lyso_FTLD
query_1,TRUE,1.2325811778758864e-19,114,192,25,0.13020833333333334,0.21929824561403508,KEGG_LYSOSOME,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_LYSOSOME,12733,407,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","NPC2,MCOLN1,CTSA,MAN2B1,LGMN,GM2A,CTSB,NAGLU,FUCA1,CTSH,CTSF,CTSL,CTSS,LAMP1,CTSC,CD63,ACP2,GNPTG,CTSK,CTNS,CTSE,AP1S3,ACP5,CTSV,CTSZ",CD_1A_lyso_FTLD
query_1,TRUE,1.5440652566142487e-17,85,192,21,0.109375,0.24705882352941178,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,12733,324,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","LGMN,HLA-DQA2,CTSB,CTSL,CTSS,HLA-DMA,IFI30,HLA-DMB,TAPBP,CD74,HLA-DRA,HLA-A,HLA-DQA1,KIR2DS4,HLA-B,B2M,HLA-DPB1,HLA-F,HLA-DRB1,HLA-DPA1,HLA-C",CD_1A_lyso_FTLD
query_1,TRUE,9.294155095529115e-16,453,192,38,0.19791666666666666,0.08388520971302428,REACTOME_NEUTROPHIL_DEGRANULATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NEUTROPHIL_DEGRANULATION,12733,2303,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","GRN,NPC2,CTSA,MAN2B1,GM2A,CTSB,FUCA1,CTSH,ATP8B4,CTSS,LAMP1,CTSC,TOM1,CD63,CMTM6,RAB31,TMBIM1,CYB5R3,FTH1,AP2A2,RAB7A,QSOX1,CTSZ,CYBB,HLA-B,B2M,MVP,ATG7,ATP6AP2,CYBA,CD14,SDCBP,BST2,GSDMD,PSEN1,TLR2,HLA-C,LYZ",CD_1A_lyso_FTLD
query_1,TRUE,2.1110881516668774e-12,805,192,45,0.234375,0.055900621118012424,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ADAPTIVE_IMMUNE_SYSTEM,12733,1411,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","CTSA,LGMN,HLA-DQA2,CTSB,CTSH,CTSF,CTSL,CTSS,CTSC,KLC1,HLA-DMA,CTSK,IFI30,CTSE,OSBPL1A,HLA-DMB,AP1S3,TAPBP,AP2A2,RAB7A,CTSV,CD74,REL,HLA-DRA,HLA-A,HLA-DQA1,TREM2,PILRA,CYBB,HLA-B,B2M,TLR1,HLA-DPB1,ATG7,PSMB8,LY96,CYBA,DNM2,CD14,HLA-F,TLR2,HLA-DRB1,HLA-DPA1,CSK,HLA-C",CD_1A_lyso_FTLD
query_1,TRUE,5.389570331200414e-12,42,192,13,0.06770833333333333,0.30952380952380953,KEGG_TYPE_I_DIABETES_MELLITUS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_TYPE_I_DIABETES_MELLITUS,12733,486,,"X,X,X,X,X,X,X,X,X,X,X,X,X","HLA-DQA2,PTPRN,HLA-DMA,HLA-DMB,HLA-DRA,HLA-A,HLA-DQA1,HLA-B,HLA-DPB1,HLA-F,HLA-DRB1,HLA-DPA1,HLA-C",CD_1A_lyso_FTLD
query_1,TRUE,1.7105416324299002e-11,36,192,12,0.0625,0.3333333333333333,KEGG_ALLOGRAFT_REJECTION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ALLOGRAFT_REJECTION,12733,318,,"X,X,X,X,X,X,X,X,X,X,X,X","HLA-DQA2,HLA-DMA,HLA-DMB,HLA-DRA,HLA-A,HLA-DQA1,HLA-B,HLA-DPB1,HLA-F,HLA-DRB1,HLA-DPA1,HLA-C",CD_1A_lyso_FTLD
query_1,TRUE,2.59240127351363e-11,15,192,9,0.046875,0.6,KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES,12733,630,,"X,X,X,X,X,X,X,X,X","HLA-DQA2,HLA-DMA,HLA-DMB,CD74,HLA-DRA,HLA-DQA1,HLA-DPB1,HLA-DRB1,HLA-DPA1",CD_1A_lyso_FTLD
query_1,TRUE,4.891042104276012e-11,1052,192,49,0.2552083333333333,0.04657794676806084,REACTOME_INNATE_IMMUNE_SYSTEM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INNATE_IMMUNE_SYSTEM,12733,2049,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","GRN,NPC2,CTSA,MAN2B1,LGMN,GM2A,CTSB,FUCA1,CTSH,CTSL,ATP8B4,CTSS,LAMP1,CTSC,TOM1,CD63,CMTM6,RAB31,CTSK,TMBIM1,CYB5R3,FTH1,AP2A2,RAB7A,CTSV,QSOX1,KIR2DS4,CTSZ,TREM2,CYBB,FOS,HLA-B,B2M,TLR1,MVP,ATG7,ATP6AP2,LY96,CYBA,DNM2,CD14,SDCBP,BST2,GSDMD,PSEN1,TLR2,TREX1,HLA-C,LYZ",CD_1A_lyso_FTLD
query_1,TRUE,4.891042104276012e-11,125,192,18,0.09375,0.144,WP_EBOLA_VIRUS_INFECTION_IN_HOST,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_EBOLA_VIRUS_INFECTION_IN_HOST,12733,3353,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","NPC2,HLA-DQA2,CTSB,CTSL,HLA-DMA,HLA-DMB,RAB7A,REL,HLA-DRA,HLA-A,HLA-DQA1,HLA-B,HLA-DPB1,HLA-F,BST2,HLA-DRB1,HLA-DPA1,HLA-C",CD_1A_lyso_FTLD
