query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,comparison
query_1,TRUE,4.835053387815697e-35,719,196,70,0.35714285714285715,0.09735744089012517,REACTOME_METABOLISM_OF_LIPIDS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_METABOLISM_OF_LIPIDS,12733,2187,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","PLA2G6,CRLS1,SREBF1,MBOAT1,SYNJ1,MVK,SRD5A2,SPTLC3,PLA2G4C,SLC25A20,PNPLA5,ABCB11,CYP17A1,PLA2G4E,CERS3,CERS5,PLA2G4F,STAR,PLA2G4A,PLA2G4D,PTDSS2,PLA2G4B,ACSM3,ACSL1,RXRB,CDK19,ALDH3B2,ACSL5,SC5D,LPCAT4,HSD11B2,LPCAT2,CYP11A1,PLD6,CHPT1,FDX1,PLB1,PLBD1,SELENOI,CEPT1,GPAT2,SBF1,SPNS2,ACSL6,AWAT2,RXRA,PNPLA8,MBOAT2,PLD4,PLAAT3,LPCAT3,EHHADH,LSS,CERS4,ELOVL3,PLD3,HSD17B3,INPP5J,FITM2,NR1H2,ACHE,GPAT3,CYB5B,PLD2,PLPP3,HMGCR,HMGCLL1,ABCB4,HSD17B4,GPAT4",CD_1B_otherlipid_PD
query_1,TRUE,1.7694285715033965e-25,121,196,30,0.15306122448979592,0.24793388429752067,REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,12733,1950,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","PLA2G6,CRLS1,MBOAT1,PLA2G4C,PLA2G4E,PLA2G4F,PLA2G4A,PLA2G4D,PTDSS2,PLA2G4B,LPCAT4,LPCAT2,PLD6,CHPT1,PLB1,PLBD1,SELENOI,CEPT1,GPAT2,AWAT2,PNPLA8,MBOAT2,PLD4,PLAAT3,LPCAT3,PLD3,ACHE,GPAT3,PLD2,GPAT4",CD_1B_otherlipid_PD
query_1,TRUE,3.7558225418172286e-22,202,196,33,0.1683673469387755,0.16336633663366337,REACTOME_PHOSPHOLIPID_METABOLISM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PHOSPHOLIPID_METABOLISM,12733,2422,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","PLA2G6,CRLS1,MBOAT1,SYNJ1,PLA2G4C,PLA2G4E,PLA2G4F,PLA2G4A,PLA2G4D,PTDSS2,PLA2G4B,LPCAT4,LPCAT2,PLD6,CHPT1,PLB1,PLBD1,SELENOI,CEPT1,GPAT2,SBF1,AWAT2,PNPLA8,MBOAT2,PLD4,PLAAT3,LPCAT3,PLD3,INPP5J,ACHE,GPAT3,PLD2,GPAT4",CD_1B_otherlipid_PD
query_1,TRUE,1.6759819711745438e-18,27,196,15,0.07653061224489796,0.5555555555555556,REACTOME_ACYL_CHAIN_REMODELLING_OF_PC,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ACYL_CHAIN_REMODELLING_OF_PC,12733,1406,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","PLA2G6,PLA2G4C,PLA2G4E,PLA2G4F,PLA2G4A,PLA2G4D,PLA2G4B,LPCAT4,LPCAT2,PLB1,PLBD1,PNPLA8,MBOAT2,PLAAT3,LPCAT3",CD_1B_otherlipid_PD
query_1,TRUE,2.0901453411391866e-16,72,196,19,0.09693877551020408,0.2638888888888889,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,12733,376,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","PLA2G6,CRLS1,MBOAT1,PLA2G4E,DGKQ,PLA2G4A,PTDSS2,PLA2G4B,LPCAT4,LPCAT2,CHPT1,GPAT2,MBOAT2,LPCAT3,ACHE,GPAT3,PLD2,PLPP3,GPAT4",CD_1B_otherlipid_PD
query_1,TRUE,3.3454755151438824e-16,29,196,14,0.07142857142857142,0.4827586206896552,REACTOME_ACYL_CHAIN_REMODELLING_OF_PE,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ACYL_CHAIN_REMODELLING_OF_PE,12733,1407,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X","PLA2G6,MBOAT1,PLA2G4C,PLA2G4E,PLA2G4F,PLA2G4A,PLA2G4D,PLA2G4B,LPCAT4,PLBD1,PNPLA8,MBOAT2,PLAAT3,LPCAT3",CD_1B_otherlipid_PD
query_1,TRUE,8.731254236254797e-10,105,196,16,0.08163265306122448,0.1523809523809524,WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES,12733,3282,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","SREBF1,ABCG1,MVK,SRD5A2,ABCB11,CYP17A1,STAR,ACSL1,SC5D,CYP11A1,FDX1,LSS,ELOVL3,HSD17B3,NR1H2,HMGCR",CD_1B_otherlipid_PD
query_1,TRUE,9.730572891821585e-10,9,196,7,0.03571428571428571,0.7777777777777778,REACTOME_HYDROLYSIS_OF_LPC,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HYDROLYSIS_OF_LPC,12733,2028,,"X,X,X,X,X,X,X","PLA2G4C,PLA2G4E,PLA2G4F,PLA2G4A,PLA2G4D,PLA2G4B,PLBD1",CD_1B_otherlipid_PD
query_1,TRUE,2.2640771933021786e-9,22,196,9,0.04591836734693878,0.4090909090909091,REACTOME_ACYL_CHAIN_REMODELLING_OF_PS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ACYL_CHAIN_REMODELLING_OF_PS,12733,1410,,"X,X,X,X,X,X,X,X,X","MBOAT1,PLA2G4E,PLA2G4F,PLA2G4A,PLA2G4D,PLA2G4B,LPCAT4,PLAAT3,LPCAT3",CD_1B_otherlipid_PD
query_1,TRUE,1.0059246873273986e-7,32,196,9,0.04591836734693878,0.28125,KEGG_ETHER_LIPID_METABOLISM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ETHER_LIPID_METABOLISM,12733,364,,"X,X,X,X,X,X,X,X,X","PLA2G6,PLA2G4E,PLA2G4A,PLA2G4B,LPCAT4,LPCAT2,CHPT1,PLD2,PLPP3",CD_1B_otherlipid_PD
