query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,comparison
query_1,TRUE,3.7350371277586675e-31,271,195,45,0.23076923076923078,0.16605166051660517,REACTOME_INTERFERON_SIGNALING,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INTERFERON_SIGNALING,12733,2066,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ADAR,SAMHD1,IRF2,IFI6,ISG15,CAMK2A,TRIM14,IFI27,HSPA2,IRF7,IFI35,BST2,IFI44L,IFI44,PSMB8,IFIT5,IFIT3,HSPA1L,TRIM5,TUBB2B,MX1,MAVS,HSPA1A,RSAD2,SP100,PML,OAS2,IRF9,TRIM21,IFI30,HLA-DRB5,XAF1,ISG20,MX2,TRIM25,IRF5,HLA-F,HLA-DQB1,B2M,HLA-A,HLA-DQA1,IFIT1,IRF8,GBP2,HLA-C",CD_2_leukodys_FTLD
query_1,TRUE,5.032395746420997e-26,76,195,26,0.13333333333333333,0.34210526315789475,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,12733,2064,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ADAR,SAMHD1,IRF2,IFI6,ISG15,IFI27,IRF7,IFI35,BST2,PSMB8,IFIT5,IFIT3,MX1,RSAD2,OAS2,IRF9,XAF1,ISG20,MX2,IRF5,HLA-F,HLA-A,IFIT1,IRF8,GBP2,HLA-C",CD_2_leukodys_FTLD
query_1,TRUE,2.7375900204761976e-19,747,195,53,0.2717948717948718,0.07095046854082998,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,12733,1653,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","CSF1R,ADAR,SAMHD1,IRF2,IL34,SNAP25,IFI6,GSDMD,ISG15,CAMK2A,TRIM14,IFI27,HSPA2,IRF7,IFI35,BST2,IFI44L,IFI44,PSMB8,IFIT5,MYD88,IFIT3,HSPA1L,TRIM5,TUBB2B,MX1,MAVS,STX1A,HSPA1A,RSAD2,SP100,PML,OAS2,IRF9,TRIM21,IFI30,HLA-DRB5,XAF1,ISG20,MX2,IL15RA,TRIM25,IRF5,HLA-F,HLA-DQB1,B2M,HLA-A,HLA-DQA1,IFIT1,IL15,IRF8,GBP2,HLA-C",CD_2_leukodys_FTLD
query_1,TRUE,7.423861130411471e-18,95,195,22,0.11282051282051282,0.23157894736842105,REACTOME_INTERFERON_GAMMA_SIGNALING,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INTERFERON_GAMMA_SIGNALING,12733,2065,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","IRF2,CAMK2A,TRIM14,IRF7,TRIM5,SP100,PML,OAS2,IRF9,TRIM21,IFI30,HLA-DRB5,TRIM25,IRF5,HLA-F,HLA-DQB1,B2M,HLA-A,HLA-DQA1,IRF8,GBP2,HLA-C",CD_2_leukodys_FTLD
query_1,TRUE,5.24864135156178e-10,85,195,15,0.07692307692307693,0.17647058823529413,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,12733,324,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","HSPA2,HSPA6,HSPA1L,HLA-DMB,HSPA1A,CD74,IFI30,HLA-DRB5,TAPBP,HLA-F,HLA-DQB1,B2M,HLA-A,HLA-DQA1,HLA-C",CD_2_leukodys_FTLD
query_1,TRUE,1.4694234511141661e-5,9,195,5,0.02564102564102564,0.5555555555555556,WP_MRNA_VACCINE_ACTIVATION_OF_DENDRITIC_CELL_AND_INDUCTION_OF_IFN1,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_MRNA_VACCINE_ACTIVATION_OF_DENDRITIC_CELL_AND_INDUCTION_OF_IFN1,12733,3692,,"X,X,X,X,X","MR1,IRF7,MAVS,TLR7,TLR3",CD_2_leukodys_FTLD
query_1,TRUE,1.4694234511141661e-5,130,195,13,0.06666666666666667,0.1,WP_MEASLES_VIRUS_INFECTION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_MEASLES_VIRUS_INFECTION,12733,3627,,"X,X,X,X,X,X,X,X,X,X,X,X,X","ADAR,HSPA2,IRF7,HSPA6,TRADD,MYD88,HSPA1L,MX1,MAVS,HSPA1A,OAS2,IRF9,TLR7",CD_2_leukodys_FTLD
query_1,TRUE,2.123070715932522e-5,42,195,8,0.041025641025641026,0.19047619047619047,KEGG_TYPE_I_DIABETES_MELLITUS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_TYPE_I_DIABETES_MELLITUS,12733,486,,"X,X,X,X,X,X,X,X","PTPRN,HLA-DMB,HLA-DRB5,HLA-F,HLA-DQB1,HLA-A,HLA-DQA1,HLA-C",CD_2_leukodys_FTLD
query_1,TRUE,2.123070715932522e-5,18,195,6,0.03076923076923077,0.3333333333333333,REACTOME_MODULATION_OF_HOST_RESPONSES_BY_IFN_STIMULATED_GENES,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MODULATION_OF_HOST_RESPONSES_BY_IFN_STIMULATED_GENES,12733,2243,,"X,X,X,X,X,X","IFI6,ISG15,IFI27,IFI44L,IFI44,TRIM25",CD_2_leukodys_FTLD
query_1,TRUE,2.123070715932522e-5,10,195,5,0.02564102564102564,0.5,KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES,12733,631,,"X,X,X,X,X","TAPBP,HLA-F,B2M,HLA-A,HLA-C",CD_2_leukodys_FTLD
