query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,comparison
query_1,TRUE,2.4333420070804383e-20,719,187,53,0.28342245989304815,0.0737134909596662,REACTOME_METABOLISM_OF_LIPIDS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_METABOLISM_OF_LIPIDS,12733,2187,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ELOVL7,CERS5,ACOT9,CERS4,ORMDL3,CERS6,CERS3,PTDSS2,ORMDL2,SPTLC2,ELOVL3,CERS2,ELOVL1,ACSL3,ELOVL6,CERS1,SGPP1,PLPP1,AGPS,PIP5K1C,ACSM3,SBF1,ELOVL4,SELENOI,KDSR,ASAH2,LPCAT3,CDK8,ORMDL1,ACHE,GPAT3,LSS,ELOVL2,ACOT7,MSMO1,SC5D,ALDH3B2,PLD2,ACER2,AGK,ACSL1,PLA2G4B,GPAT2,GPAT4,PLA2G4E,PLD3,CYB5B,PLD6,HMGCR,LPCAT4,RAB5A,CPT1A,PLA2G4D",CD_3_NBIA_PD
query_1,TRUE,3.5861964054011536e-11,35,187,12,0.06417112299465241,0.34285714285714286,REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,12733,2882,,"X,X,X,X,X,X,X,X,X,X,X,X","CERS5,CERS4,ORMDL3,CERS6,CERS3,ORMDL2,SPTLC2,CERS2,CERS1,KDSR,ORMDL1,CYB5B",CD_3_NBIA_PD
query_1,TRUE,4.138605708269449e-11,100,187,17,0.09090909090909091,0.17,REACTOME_SPHINGOLIPID_METABOLISM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SPHINGOLIPID_METABOLISM,12733,2883,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","CERS5,CERS4,ORMDL3,CERS6,CERS3,ORMDL2,SPTLC2,CERS2,CERS1,SGPP1,PLPP1,KDSR,ASAH2,ORMDL1,ALDH3B2,ACER2,CYB5B",CD_3_NBIA_PD
query_1,TRUE,2.602113897000083e-10,54,187,13,0.06951871657754011,0.24074074074074073,REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES,12733,2103,,"X,X,X,X,X,X,X,X,X,X,X,X,X","ATP13A2,ATP2A1,ATP8B3,ATP8A1,ATP8A2,ATP1A4,ATP2B1,ATP10A,ATP1A1,ATP1A2,ATP11A,ATP9A,ATP4A",CD_3_NBIA_PD
query_1,TRUE,5.193012564973082e-10,26,187,10,0.053475935828877004,0.38461538461538464,WP_SPHINGOLIPID_METABOLISM_INTEGRATED_PATHWAY,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_SPHINGOLIPID_METABOLISM_INTEGRATED_PATHWAY,12733,3909,,"X,X,X,X,X,X,X,X,X,X","CERS5,CERS4,CERS6,CERS3,SPTLC2,CERS2,CERS1,SGPP1,PLPP1,KDSR",CD_3_NBIA_PD
query_1,TRUE,1.798497470411948e-8,26,187,9,0.0481283422459893,0.34615384615384615,WP_SPHINGOLIPID_METABOLISM_OVERVIEW,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_SPHINGOLIPID_METABOLISM_OVERVIEW,12733,3911,,"X,X,X,X,X,X,X,X,X","CERS4,CERS6,CERS3,SPTLC2,CERS2,CERS1,SGPP1,PLPP1,KDSR",CD_3_NBIA_PD
query_1,TRUE,3.322500331524191e-8,28,187,9,0.0481283422459893,0.32142857142857145,WP_SPHINGOLIPID_PATHWAY,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_SPHINGOLIPID_PATHWAY,12733,3912,,"X,X,X,X,X,X,X,X,X","CERS5,CERS4,CERS6,CERS3,SPTLC2,CERS2,PLPP1,KDSR,ASAH2",CD_3_NBIA_PD
query_1,TRUE,5.144366654959264e-8,121,187,15,0.08021390374331551,0.12396694214876033,REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,12733,1950,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","PTDSS2,SELENOI,LPCAT3,ACHE,GPAT3,PLD2,AGK,PLA2G4B,GPAT2,GPAT4,PLA2G4E,PLD3,PLD6,LPCAT4,PLA2G4D",CD_3_NBIA_PD
query_1,TRUE,1.7249688614415113e-7,202,187,18,0.0962566844919786,0.0891089108910891,REACTOME_PHOSPHOLIPID_METABOLISM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PHOSPHOLIPID_METABOLISM,12733,2422,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","PTDSS2,PIP5K1C,SBF1,SELENOI,LPCAT3,ACHE,GPAT3,PLD2,AGK,PLA2G4B,GPAT2,GPAT4,PLA2G4E,PLD3,PLD6,LPCAT4,RAB5A,PLA2G4D",CD_3_NBIA_PD
query_1,TRUE,1.8313457176855168e-7,24,187,8,0.0427807486631016,0.3333333333333333,REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS,12733,2950,,"X,X,X,X,X,X,X,X","ELOVL7,ELOVL3,ELOVL1,ACSL3,ELOVL6,ELOVL4,ELOVL2,ACSL1",CD_3_NBIA_PD
query_1,TRUE,1.0519763246501759e-6,72,187,11,0.058823529411764705,0.1527777777777778,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,12733,376,,"X,X,X,X,X,X,X,X,X,X,X","PTDSS2,PLPP1,LPCAT3,ACHE,GPAT3,PLD2,PLA2G4B,GPAT2,GPAT4,PLA2G4E,LPCAT4",CD_3_NBIA_PD
query_1,TRUE,1.3089109959106244e-6,43,187,9,0.0481283422459893,0.20930232558139536,WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS,12733,3285,,"X,X,X,X,X,X,X,X,X","ELOVL3,ACSL3,ELOVL4,LSS,ELOVL2,MSMO1,SC5D,ACSL1,HMGCR",CD_3_NBIA_PD
query_1,TRUE,1.8338124254990671e-6,13,187,6,0.03208556149732621,0.46153846153846156,WP_OMEGA9_FATTY_ACID_SYNTHESIS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_OMEGA9_FATTY_ACID_SYNTHESIS,12733,3759,,"X,X,X,X,X,X","ELOVL3,ELOVL1,ACSL3,ELOVL6,ELOVL2,ACSL1",CD_3_NBIA_PD
