query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,comparison
query_1,TRUE,1.946548419587384e-6,26,184,8,0.043478260869565216,0.3076923076923077,WP_SPHINGOLIPID_METABOLISM_INTEGRATED_PATHWAY,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_SPHINGOLIPID_METABOLISM_INTEGRATED_PATHWAY,12733,3909,,"X,X,X,X,X,X,X,X","SPTLC2,CERS5,CERS4,CERS3,CERS6,SGPL1,UGT8,SGPP1",CD_1A_lyso_ALS
query_1,TRUE,1.946548419587384e-6,28,184,8,0.043478260869565216,0.2857142857142857,WP_SPHINGOLIPID_PATHWAY,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_SPHINGOLIPID_PATHWAY,12733,3912,,"X,X,X,X,X,X,X,X","SPTLC2,CERS5,CERS4,CERS3,CERS6,SGPL1,UGT8,SERINC1",CD_1A_lyso_ALS
query_1,TRUE,1.5031104627349714e-5,26,184,7,0.03804347826086957,0.2692307692307692,WP_SPHINGOLIPID_METABOLISM_OVERVIEW,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_SPHINGOLIPID_METABOLISM_OVERVIEW,12733,3911,,"X,X,X,X,X,X,X","SPTLC2,CERS4,CERS3,CERS6,SGPL1,UGT8,SGPP1",CD_1A_lyso_ALS
query_1,TRUE,1.5031104627349714e-5,611,184,28,0.15217391304347827,0.04582651391162029,REACTOME_MEMBRANE_TRAFFICKING,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MEMBRANE_TRAFFICKING,12733,2177,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","CHMP2B,GNS,KDELR2,RIN2,VAMP8,FTL,ARF3,KLC1,AP1B1,TMED10,MAN2A1,COG5,TGOLN2,RAB27B,VAMP3,GABARAPL2,PLIN3,SNAPIN,BLOC1S1,KDELR1,STX10,GOLGA1,VAMP2,MAN1C1,RAB7A,STX4,TMED7,MAN1A1",CD_1A_lyso_ALS
query_1,TRUE,2.837032893221446e-5,195,184,15,0.08152173913043478,0.07692307692307693,REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,12733,2095,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","KDELR2,ARF3,KLC1,TMED10,MAN2A1,COG5,TGOLN2,VAMP3,PLIN3,KDELR1,STX10,GOLGA1,MAN1C1,TMED7,MAN1A1",CD_1A_lyso_ALS
query_1,TRUE,3.2285125955338715e-5,100,184,11,0.059782608695652176,0.11,REACTOME_SPHINGOLIPID_METABOLISM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SPHINGOLIPID_METABOLISM,12733,2883,,"X,X,X,X,X,X,X,X,X,X,X","SPTLC2,CERS5,ARSG,CERS4,CERS3,STS,CERS6,SGPL1,UGT8,B3GALNT1,SGPP1",CD_1A_lyso_ALS
query_1,TRUE,3.997380590243755e-5,703,184,29,0.15760869565217392,0.041251778093883355,REACTOME_VESICLE_MEDIATED_TRANSPORT,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_VESICLE_MEDIATED_TRANSPORT,12733,3110,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","CHMP2B,GNS,KDELR2,RIN2,VAMP8,FTL,ARF3,KLC1,AP1B1,TMED10,MAN2A1,COG5,TGOLN2,RAB27B,VAMP3,GABARAPL2,PLIN3,SNAPIN,BLOC1S1,KDELR1,CALR,STX10,GOLGA1,VAMP2,MAN1C1,RAB7A,STX4,TMED7,MAN1A1",CD_1A_lyso_ALS
query_1,TRUE,8.446911844135315e-5,70,184,9,0.04891304347826087,0.12857142857142856,REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,12733,3075,,"X,X,X,X,X,X,X,X,X","GNS,VAMP8,FTL,AP1B1,TGOLN2,SNAPIN,BLOC1S1,VAMP2,STX4",CD_1A_lyso_ALS
query_1,TRUE,7.884710248298438e-4,300,184,16,0.08695652173913043,0.05333333333333334,REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,12733,1467,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","GANAB,KDELR2,OS9,SLC35A1,CMAS,ARF3,TMED10,MAN2A1,COG5,FPGT,KDELR1,CALR,MAN1C1,DERL1,TMED7,MAN1A1",CD_1A_lyso_ALS
query_1,TRUE,9.882959582853343e-4,21,184,5,0.02717391304347826,0.23809523809523808,WP_METABOLISM_OF_SPHINGOLIPIDS_IN_ER_AND_GOLGI_APPARATUS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_METABOLISM_OF_SPHINGOLIPIDS_IN_ER_AND_GOLGI_APPARATUS,12733,3639,,"X,X,X,X,X","CERS3,SGPL1,UGT8,B3GALNT1,SGPP1",CD_1A_lyso_ALS
query_1,TRUE,0.0010460181914675488,54,184,7,0.03804347826086957,0.12962962962962962,REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,12733,1963,,"X,X,X,X,X,X,X","VAMP8,FTL,AP1B1,TGOLN2,SNAPIN,BLOC1S1,VAMP2",CD_1A_lyso_ALS
query_1,TRUE,0.0010533742087951532,22,184,5,0.02717391304347826,0.22727272727272727,WP_SYNTHESIS_OF_CERAMIDES_AND_1DEOXYCERAMIDES,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_SYNTHESIS_OF_CERAMIDES_AND_1DEOXYCERAMIDES,12733,3932,,"X,X,X,X,X","CERS5,CERS4,CERS3,CERS6,UGT8",CD_1A_lyso_ALS
query_1,TRUE,0.002298805986639842,453,184,19,0.10326086956521739,0.04194260485651214,REACTOME_NEUTROPHIL_DEGRANULATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NEUTROPHIL_DEGRANULATION,12733,2303,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","GRN,GNS,TMBIM1,TOM1,HPSE,CTSS,VAMP8,FTL,OSTF1,CMTM6,HRNR,LGALS3,ATP6AP2,ENPP4,ATG7,PSEN1,GSN,RAB7A,GOLGA7",CD_1A_lyso_ALS
