query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,comparison
query_1,TRUE,6.89066015513166e-7,10,161,6,0.037267080745341616,0.6,REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC,12733,1869,,"X,X,X,X,X,X","CCT5,TCP1,CCT7,CCT4,CCT2,CCT3",CD_1C_aminoacids_DLB
query_1,TRUE,3.0549459945956416e-6,64,161,10,0.062111801242236024,0.15625,REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,12733,2228,,"X,X,X,X,X,X,X,X,X,X","SLC25A13,ACO2,VDAC1,ATP5F1A,HSPD1,ATP5F1B,FXN,MTX1,SLC25A6,SLC25A12",CD_1C_aminoacids_DLB
query_1,TRUE,3.6905768248881417e-6,158,161,14,0.08695652173913043,0.08860759493670886,REACTOME_PROTEIN_LOCALIZATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PROTEIN_LOCALIZATION,12733,2500,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X","SLC25A13,ACO2,VDAC1,ATP5F1A,HSPD1,IDH1,ATP5F1B,CAT,FXN,EHHADH,MTX1,CROT,SLC25A6,SLC25A12",CD_1C_aminoacids_DLB
query_1,TRUE,3.748655628608008e-6,70,161,10,0.062111801242236024,0.14285714285714285,WP_AMINO_ACID_METABOLISM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_AMINO_ACID_METABOLISM,12733,3195,,"X,X,X,X,X,X,X,X,X,X","CBS,ASS1,ACO2,GLUL,IDH1,G6PC2,BHMT,EHHADH,MAOA,DDC",CD_1C_aminoacids_DLB
query_1,TRUE,4.818340589959791e-6,94,161,11,0.06832298136645963,0.11702127659574468,REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,12733,2227,,"X,X,X,X,X,X,X,X,X,X,X","ACO2,ATP5F1A,HSPD1,IDH2,ATP5F1B,ATP5PF,NDUFV1,FECH,SLC25A6,SLC25A5,MT-CO1",CD_1C_aminoacids_DLB
query_1,TRUE,6.230008238886553e-6,123,161,12,0.07453416149068323,0.0975609756097561,KEGG_PARKINSONS_DISEASE,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_PARKINSONS_DISEASE,12733,435,,"X,X,X,X,X,X,X,X,X,X,X,X","VDAC1,ATP5F1A,MT-CO3,PRKN,ATP5F1B,ATP5PF,NDUFV1,NDUFA10,SLC25A6,PINK1,SLC25A5,MT-CO1",CD_1C_aminoacids_DLB
query_1,TRUE,6.230008238886553e-6,17,161,6,0.037267080745341616,0.35294117647058826,KEGG_MEDICUS_REFERENCE_ASSEMBLY_AND_TRAFFICKING_OF_TELOMERASE,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_MEDICUS_REFERENCE_ASSEMBLY_AND_TRAFFICKING_OF_TELOMERASE,12733,637,,"X,X,X,X,X,X","CCT5,TCP1,CCT7,CCT4,CCT2,CCT3",CD_1C_aminoacids_DLB
query_1,TRUE,7.501278569128776e-6,343,161,19,0.11801242236024845,0.05539358600583091,WP_ADHD_AND_AUTISM_ASD_PATHWAYS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ADHD_AND_AUTISM_ASD_PATHWAYS,12733,3177,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","MTHFR,CBS,SLC25A13,GCH1,PTS,GATM,PAH,GK,GLUL,FAAH2,NLGN1,BHMT,AOX1,MAOA,DDC,COMT,KYAT1,QPRT,SLC25A12",CD_1C_aminoacids_DLB
query_1,TRUE,3.9127820099690685e-5,77,161,9,0.055900621118012424,0.11688311688311688,WP_METABOLIC_EPILEPTIC_DISORDERS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_METABOLIC_EPILEPTIC_DISORDERS,12733,3633,,"X,X,X,X,X,X,X,X,X","GLDC,CBS,ASS1,GATM,GAPDH,PKLR,FBP1,SLC25A5,ALDOC",CD_1C_aminoacids_DLB
query_1,TRUE,3.9127820099690685e-5,55,161,8,0.049689440993788817,0.14545454545454545,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_GLYCOLYSIS_GLUCONEOGENESIS,12733,378,,"X,X,X,X,X,X,X,X","GAPDH,PKLR,FBP1,G6PC2,GALM,PCK2,ADH1B,ALDOC",CD_1C_aminoacids_DLB
