query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,comparison
query_1,TRUE,1.7775534092990194e-15,152,129,21,0.16279069767441862,0.13815789473684212,REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,12733,1815,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","COG3,COPA,STX5,KDELR2,LMAN1,GOSR1,COG6,ARCN1,SPTA1,DCTN4,SEC24A,SEC22B,KDELR3,COG5,BET1L,SPTAN1,ARF1,FOLR1,COG8,COPG2,GOSR2",CD_1E_mineral_abs_ALS
query_1,TRUE,1.7775534092990194e-15,98,129,18,0.13953488372093023,0.1836734693877551,REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT,12733,1628,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","COG3,COPA,STX5,KDELR2,GOSR1,COG6,ARCN1,SPTA1,DCTN4,KDELR3,COG5,BET1L,SPTAN1,ARF1,FOLR1,COG8,COPG2,GOSR2",CD_1E_mineral_abs_ALS
query_1,TRUE,1.7775534092990194e-15,180,129,22,0.17054263565891473,0.12222222222222222,REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION,12733,3074,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","COG3,COPA,STX5,KDELR2,LMAN1,GOSR1,COG6,ARCN1,SPTA1,DCTN4,SEC24A,MAN1A2,SEC22B,KDELR3,COG5,BET1L,SPTAN1,ARF1,FOLR1,COG8,COPG2,GOSR2",CD_1E_mineral_abs_ALS
query_1,TRUE,5.60654607168755e-15,300,129,26,0.20155038759689922,0.08666666666666667,REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,12733,1467,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","COG3,COPA,STX5,KDELR2,LMAN1,GOSR1,COG6,PDIA3,ARCN1,SPTA1,DCTN4,SEC24A,MAN1A2,SEC22B,UAP1,KDELR3,COG5,BET1L,ALG2,SPTAN1,CALR,ARF1,FOLR1,COG8,COPG2,GOSR2",CD_1E_mineral_abs_ALS
query_1,TRUE,1.1992835841661693e-14,40,129,13,0.10077519379844961,0.325,REACTOME_INTRA_GOLGI_TRAFFIC,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INTRA_GOLGI_TRAFFIC,12733,2096,,"X,X,X,X,X,X,X,X,X,X,X,X,X","COG3,STX5,GOSR1,COG6,MAN1A2,TRIP11,COG5,BET1L,GOLIM4,ARF1,COG8,GOSR2,VPS45",CD_1E_mineral_abs_ALS
query_1,TRUE,1.0229822546833888e-12,195,129,20,0.15503875968992248,0.10256410256410256,REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,12733,2095,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","COG3,COPA,STX5,KDELR2,GOSR1,COG6,ARCN1,DCTN4,MAN1A2,SEC22B,TRIP11,KDELR3,COG5,BET1L,GOLIM4,ARF1,COG8,COPG2,GOSR2,VPS45",CD_1E_mineral_abs_ALS
query_1,TRUE,2.7008594697340497e-10,611,129,29,0.2248062015503876,0.04746317512274959,REACTOME_MEMBRANE_TRAFFICKING,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MEMBRANE_TRAFFICKING,12733,2177,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ADRB2,COG3,COPA,STX5,KDELR2,LMAN1,GOSR1,COG6,ARCN1,SPTA1,DCTN4,SNAP23,SEC24A,MAN1A2,SEC22B,TRIP11,KDELR3,COG5,BET1L,EXOC4,SPTAN1,GOLIM4,ARF1,YWHAH,FOLR1,COG8,COPG2,GOSR2,VPS45",CD_1E_mineral_abs_ALS
query_1,TRUE,1.3527015480882863e-9,703,129,30,0.23255813953488372,0.04267425320056899,REACTOME_VESICLE_MEDIATED_TRANSPORT,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_VESICLE_MEDIATED_TRANSPORT,12733,3110,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ADRB2,COG3,COPA,STX5,KDELR2,LMAN1,GOSR1,COG6,ARCN1,SPTA1,DCTN4,SNAP23,SEC24A,MAN1A2,SEC22B,TRIP11,KDELR3,COG5,BET1L,EXOC4,SPTAN1,CALR,GOLIM4,ARF1,YWHAH,FOLR1,COG8,COPG2,GOSR2,VPS45",CD_1E_mineral_abs_ALS
query_1,TRUE,9.210339931146321e-6,23,129,6,0.046511627906976744,0.2608695652173913,KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION,12733,704,,"X,X,X,X,X,X","COPA,KDELR2,ARCN1,KDELR3,ARF1,COPG2",CD_1E_mineral_abs_ALS
query_1,TRUE,1.1911803157867448e-5,700,129,24,0.18604651162790697,0.03428571428571429,REACTOME_TRANSPORT_OF_SMALL_MOLECULES,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSPORT_OF_SMALL_MOLECULES,12733,3071,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","CLCN3,SLC46A1,ATP7A,SLC5A6,HMOX1,ATP11B,SLC39A3,ATP8B2,SLC31A1,SLC7A11,SLC39A4,ABCC4,P4HB,ATP2C1,ATP2B1,BEST3,SLC22A5,SLC9A7,ANO10,ARF1,SLC41A2,SLC13A2,SLC9A9,SLC26A7",CD_1E_mineral_abs_ALS
