query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,comparison
query_1,TRUE,2.1958810865611034e-20,51,134,18,0.13432835820895522,0.35294117647058826,WP_COPPER_HOMEOSTASIS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_COPPER_HOMEOSTASIS,12733,3307,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ATP7A,MT1A,ATP7B,SLC31A1,MT1G,MT1X,SLC11A2,STEAP3,MT4,SLC31A2,MT2A,MT1L,CASP3,MT1E,SOD3,MT1B,CCS,PRNP",CD_1E_mineral_abs_DLB
query_1,TRUE,1.3363696195244365e-11,11,134,8,0.05970149253731343,0.7272727272727273,REACTOME_METALLOTHIONEINS_BIND_METALS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_METALLOTHIONEINS_BIND_METALS,12733,2198,,"X,X,X,X,X,X,X,X","MT1A,MT1G,MT1X,MT4,MT2A,MT1E,MT1M,MT1B",CD_1E_mineral_abs_DLB
query_1,TRUE,2.527958267869026e-11,36,134,11,0.08208955223880597,0.3055555555555556,WP_ZINC_HOMEOSTASIS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ZINC_HOMEOSTASIS,12733,4023,,"X,X,X,X,X,X,X,X,X,X,X","MT1A,MT1G,MT1X,SLC30A2,MT4,MT2A,SLC39A1,MT1L,MT1E,MT1M,MT1B",CD_1E_mineral_abs_DLB
query_1,TRUE,5.120513389592064e-11,13,134,8,0.05970149253731343,0.6153846153846154,REACTOME_RESPONSE_TO_METAL_IONS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RESPONSE_TO_METAL_IONS,12733,2641,,"X,X,X,X,X,X,X,X","MT1A,MT1G,MT1X,MT4,MT2A,MT1E,MT1M,MT1B",CD_1E_mineral_abs_DLB
query_1,TRUE,1.1511857868721229e-10,56,134,12,0.08955223880597014,0.21428571428571427,WP_FERROPTOSIS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FERROPTOSIS,12733,3419,,"X,X,X,X,X,X,X,X,X,X,X,X","SLC40A1,SLC11A2,STEAP3,SLC3A2,IREB2,TFRC,HMOX1,GCH1,CP,PRNP,FTH1,GCLC",CD_1E_mineral_abs_DLB
query_1,TRUE,3.3243511763488887e-10,16,134,8,0.05970149253731343,0.5,WP_IRON_METABOLISM_DISORDERS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_IRON_METABOLISM_DISORDERS,12733,3571,,"X,X,X,X,X,X,X,X","SLC40A1,SLC11A2,STEAP3,HAMP,HFE,TFRC,CP,FTH1",CD_1E_mineral_abs_DLB
query_1,TRUE,7.586827400380531e-10,11,134,7,0.05223880597014925,0.6363636363636364,WP_IRON_METABOLISM_IN_PLACENTA,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_IRON_METABOLISM_IN_PLACENTA,12733,3572,,"X,X,X,X,X,X,X","SLC40A1,SLC11A2,STEAP3,HAMP,IREB2,TFRC,FTH1",CD_1E_mineral_abs_DLB
query_1,TRUE,4.712885696623054e-9,700,134,30,0.22388059701492538,0.04285714285714286,REACTOME_TRANSPORT_OF_SMALL_MOLECULES,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSPORT_OF_SMALL_MOLECULES,12733,3071,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ATP7A,ATP7B,SLC31A1,SLC40A1,APOE,SLC11A2,SLC30A2,ABCC4,STEAP3,ATP8A2,SLC3A2,SLC39A1,HBA1,IREB2,ABCC2,ABCG2,HFE,HBB,ABCB1,ABCC1,TFRC,HMOX1,CFTR,ATP2A1,CP,APOB,APOC2,FTH1,CA1,ABCB4",CD_1E_mineral_abs_DLB
query_1,TRUE,1.0441865338422067e-8,49,134,10,0.07462686567164178,0.20408163265306123,WP_VITAMIN_B12_METABOLISM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_VITAMIN_B12_METABOLISM,12733,4006,,"X,X,X,X,X,X,X,X,X,X","APOE,HBA1,SOD3,HBB,IL6,APOB,IL1B,PLG,TNF,INS",CD_1E_mineral_abs_DLB
query_1,TRUE,4.598994814430065e-8,57,134,10,0.07462686567164178,0.17543859649122806,REACTOME_IRON_UPTAKE_AND_TRANSPORT,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_IRON_UPTAKE_AND_TRANSPORT,12733,2110,,"X,X,X,X,X,X,X,X,X,X","SLC40A1,SLC11A2,STEAP3,IREB2,ABCG2,HFE,TFRC,HMOX1,CP,FTH1",CD_1E_mineral_abs_DLB
query_1,TRUE,1.2631543250007746e-7,64,134,10,0.07462686567164178,0.15625,WP_FOLATE_METABOLISM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FOLATE_METABOLISM,12733,3429,,"X,X,X,X,X,X,X,X,X,X","HBA1,SOD3,HBB,IL6,APOB,IL1B,CAT,PLG,TNF,INS",CD_1E_mineral_abs_DLB
