query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,comparison
query_1,TRUE,1.6749945850464643e-21,114,273,30,0.10989010989010989,0.2631578947368421,KEGG_LYSOSOME,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_LYSOSOME,12733,407,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","NPC1,CTSD,MANBA,GNPTAB,GM2A,CLN3,MAN2B1,HEXA,CTSA,IDUA,GNS,MCOLN1,LAMP1,SCARB2,CD68,CTSB,ACP5,SORT1,M6PR,NAGPA,LAMP2,CTSS,CTSK,LAPTM5,TCIRG1,CTSH,DNASE2,CD164,IGF2R,ABCA2",CD_1A_lyso_AD
query_1,TRUE,1.2324171611475405e-17,453,273,48,0.17582417582417584,0.10596026490066225,REACTOME_NEUTROPHIL_DEGRANULATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NEUTROPHIL_DEGRANULATION,12733,2303,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","CTSD,MANBA,GM2A,PSEN1,MAN2B1,CTSA,GNS,LAMP1,GRN,CD68,CTSB,CHI3L1,NCSTN,CHIT1,MPO,TSPAN14,ITGB2,LAMP2,LGALS3,CTSS,TCIRG1,CTSH,CPPED1,TIMP2,FCER1G,CD58,SIRPA,FTL,CD14,ENPP4,CYBB,STK10,B2M,C3AR1,IGF2R,CAPN1,CYBA,PLAUR,ADAM10,MAPK1,SERPINA1,GSN,CD44,CD55,AZU1,GLIPR1,TLR2,PLEKHO2",CD_1A_lyso_AD
query_1,TRUE,1.688513966549962e-11,1052,273,63,0.23076923076923078,0.05988593155893536,REACTOME_INNATE_IMMUNE_SYSTEM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INNATE_IMMUNE_SYSTEM,12733,2049,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","CTSD,MANBA,GM2A,CLU,PSEN1,MAN2B1,CTSA,TREM2,GNS,LAMP1,GRN,PLD3,CD68,CTSB,CHI3L1,NCSTN,CHIT1,MPO,TSPAN14,ITGB2,UNC93B1,LAMP2,LGALS3,CTSS,CTSK,TCIRG1,CTSH,CPPED1,DNM2,TIMP2,ATP7A,FCER1G,CD58,PROS1,SIRPA,FTL,CD14,ENPP4,CYBB,STK10,B2M,TRAF6,C3AR1,IGF2R,CAPN1,C1QB,CYBA,PLAUR,ADAM10,DUSP3,RPS6KA1,MAPK1,SERPINA1,GSN,LY96,CD44,CFB,CD55,AZU1,GLIPR1,TLR1,TLR2,PLEKHO2",CD_1A_lyso_AD
query_1,TRUE,9.290141719865326e-8,15,273,8,0.029304029304029304,0.5333333333333333,KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES,12733,630,,"X,X,X,X,X,X,X,X","HLA-DMA,CD74,HLA-DMB,HLA-DQA1,HLA-DPA1,HLA-DRA,HLA-DPB1,HLA-DRB1",CD_1A_lyso_AD
query_1,TRUE,7.917052704110287e-7,70,273,13,0.047619047619047616,0.18571428571428572,KEGG_LEISHMANIA_INFECTION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_LEISHMANIA_INFECTION,12733,400,,"X,X,X,X,X,X,X,X,X,X,X,X,X","ITGB2,HLA-DMA,HLA-DMB,HLA-DQA1,TRAF6,HLA-DPA1,HLA-DRA,IFNGR1,CYBA,HLA-DPB1,MAPK1,HLA-DRB1,TLR2",CD_1A_lyso_AD
query_1,TRUE,8.238905894963074e-7,85,273,14,0.05128205128205128,0.16470588235294117,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,12733,324,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X","CTSB,HLA-DMA,CTSS,CD74,IFI30,TAPBP,HLA-DMB,HLA-DQA1,B2M,HLA-DPA1,HLA-DRA,HLA-A,HLA-DPB1,HLA-DRB1",CD_1A_lyso_AD
query_1,TRUE,1.8165548080712286e-6,123,273,16,0.05860805860805861,0.13008130081300814,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,12733,2212,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","CTSD,CTSA,CTSB,HLA-DMA,CTSS,CTSK,CTSH,DNM2,CD74,IFI30,HLA-DMB,HLA-DQA1,HLA-DPA1,HLA-DRA,HLA-DPB1,HLA-DRB1",CD_1A_lyso_AD
query_1,TRUE,2.18522649535377e-6,15,273,7,0.02564102564102564,0.4666666666666667,KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION,12733,576,,"X,X,X,X,X,X,X","HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DPA1,HLA-DRA,HLA-DPB1,HLA-DRB1",CD_1A_lyso_AD
query_1,TRUE,7.036465528820173e-6,11,273,6,0.02197802197802198,0.5454545454545454,KEGG_MEDICUS_REFERENCE_NOTCH_PROTEOLYTIC_ACTIVATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_MEDICUS_REFERENCE_NOTCH_PROTEOLYTIC_ACTIVATION,12733,876,,"X,X,X,X,X,X","PSEN2,PSEN1,NOTCH2,NCSTN,NOTCH4,NOTCH3",CD_1A_lyso_AD
query_1,TRUE,2.3667540756304273e-5,67,273,11,0.040293040293040296,0.16417910447761194,KEGG_VIRAL_MYOCARDITIS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_VIRAL_MYOCARDITIS,12733,496,,"X,X,X,X,X,X,X,X,X,X,X","ITGB2,HLA-DMA,CASP3,HLA-DMB,HLA-DQA1,HLA-DPA1,HLA-DRA,HLA-A,HLA-DPB1,CD55,HLA-DRB1",CD_1A_lyso_AD
