query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,comparison
query_1,TRUE,3.1083355149061382e-12,65,198,16,0.08080808080808081,0.24615384615384617,WP_CHOLESTEROL_METABOLISM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_CHOLESTEROL_METABOLISM,12733,3284,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","APOE,ABCG8,NPC1,ABCG5,ABCA1,STARD3,APOC1,STAR,LDLR,CETP,SOAT1,APOA1,SCARB1,CIDEB,PCSK9,FABP2",CD_1B_otherlipid_AD
query_1,TRUE,7.077374451578124e-12,71,198,16,0.08080808080808081,0.22535211267605634,REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,12733,2448,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","APOE,NPC1,ABCG1,VLDLR,APOC4,ABCA1,GPIHBP1,APOC1,LDLR,NR1H3,CETP,SOAT1,APOA5,APOA1,SCARB1,PCSK9",CD_1B_otherlipid_AD
query_1,TRUE,5.013830651662898e-11,27,198,11,0.05555555555555555,0.4074074074074074,WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION,12733,3918,,"X,X,X,X,X,X,X,X,X,X,X","APOE,ABCG8,ABCG5,ABCA1,APOC1,LDLR,CETP,SOAT1,APOA5,APOA1,SCARB1",CD_1B_otherlipid_AD
query_1,TRUE,1.0796573085753288e-9,35,198,11,0.05555555555555555,0.3142857142857143,REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE,12733,2449,,"X,X,X,X,X,X,X,X,X,X,X","APOE,NPC1,VLDLR,APOC4,APOC1,LDLR,NR1H3,SOAT1,APOA1,SCARB1,PCSK9",CD_1B_otherlipid_AD
query_1,TRUE,1.4514298850183682e-9,719,198,39,0.19696969696969696,0.054242002781641166,REACTOME_METABOLISM_OF_LIPIDS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_METABOLISM_OF_LIPIDS,12733,2187,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","PLD4,GM2A,PITPNM1,PLD3,SLC25A20,TBXAS1,ACBD4,PLA2G3,PLAAT3,PCYT1A,ABCC3,ABCA1,FAAH2,PON3,STARD3,PLA2G2D,SREBF1,HSD11B1,STAR,NR1H3,ABCB4,INPP5J,MGLL,APOA5,PTGDS,DPEP2,APOA1,PITPNM2,CSNK1G2,PLD2,ALOX5,OSBPL10,AKR1C1,CDK19,PTGS1,SYNJ1,PIK3CD,PNPLA6,FABP2",CD_1B_otherlipid_AD
query_1,TRUE,3.699827221455491e-7,16,198,7,0.03535353535353535,0.4375,WP_METABOLIC_PATHWAY_OF_LDL_HDL_AND_TG_INCLUDING_DISEASES,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_METABOLIC_PATHWAY_OF_LDL_HDL_AND_TG_INCLUDING_DISEASES,12733,3635,,"X,X,X,X,X,X,X","APOE,ABCA1,LDLR,CETP,APOA1,SCARB1,PCSK9",CD_1B_otherlipid_AD
query_1,TRUE,3.699827221455491e-7,46,198,10,0.050505050505050504,0.21739130434782608,REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING,12733,2333,,"X,X,X,X,X,X,X,X,X,X","APOE,ABCG8,ABCG5,ABCG1,APOC4,ABCA1,APOC1,SREBF1,NR1H3,CETP",CD_1B_otherlipid_AD
query_1,TRUE,3.699827221455491e-7,453,198,27,0.13636363636363635,0.059602649006622516,REACTOME_NEUTROPHIL_DEGRANULATION,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NEUTROPHIL_DEGRANULATION,12733,2303,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","GM2A,CHI3L1,CD47,GRN,CAPN1,MS4A3,CD68,TMEM63A,LGALS3,SLC2A5,MMP9,CTSD,ITGAX,CTSB,PRKCD,ITGAM,ALOX5,SLC11A1,CD14,TYROBP,SERPINA1,C3AR1,FCER1G,CPPED1,C5AR1,LYZ,TIMP2",CD_1B_otherlipid_AD
query_1,TRUE,6.194499078018071e-7,37,198,9,0.045454545454545456,0.24324324324324326,REACTOME_NR1H3_NR1H2_REGULATE_GENE_EXPRESSION_LINKED_TO_CHOLESTEROL_TRANSPORT_AND_EFFLUX,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NR1H3_NR1H2_REGULATE_GENE_EXPRESSION_LINKED_TO_CHOLESTEROL_TRANSPORT_AND_EFFLUX,12733,2339,,"X,X,X,X,X,X,X,X,X","APOE,ABCG8,ABCG5,ABCG1,APOC4,ABCA1,APOC1,NR1H3,CETP",CD_1B_otherlipid_AD
query_1,TRUE,1.253066022288206e-6,19,198,7,0.03535353535353535,0.3684210526315789,WP_CHOLESTASIS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_CHOLESTASIS,12733,3280,,"X,X,X,X,X,X,X","ABCG8,ABCG5,ABCC3,LDLR,ABCB4,SCARB1,ABCC2",CD_1B_otherlipid_AD
