query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents,evidence_codes,intersection,comparison
query_1,TRUE,1.7927762228207712e-23,42,143,19,0.13286713286713286,0.4523809523809524,KEGG_ABC_TRANSPORTERS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ABC_TRANSPORTERS,12733,312,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ABCA10,ABCC4,ABCA9,ABCB5,ABCC5,ABCA5,ABCC11,ABCG8,ABCG1,ABCG2,ABCG5,ABCB1,ABCC2,ABCC1,ABCD4,ABCB6,CFTR,ABCB4,ABCA6",CD_1E_mineral_abs_AD
query_1,TRUE,4.879268032982522e-15,90,143,18,0.1258741258741259,0.2,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,12733,1355,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ABCA10,ABCC4,ABCA9,ABCB5,ABCC5,ABCA5,ABCC11,ABCG8,ABCG1,ABCG5,ABCB1,ABCC2,ABCC1,ABCB6,CFTR,ABCB4,ABCA6,APOA1",CD_1E_mineral_abs_AD
query_1,TRUE,5.930094516681006e-11,47,143,12,0.08391608391608392,0.2553191489361702,WP_TROP2_REGULATORY_SIGNALING,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_TROP2_REGULATORY_SIGNALING,12733,3975,,"X,X,X,X,X,X,X,X,X,X,X,X","PSEN1,PIK3R1,ABCC1,ADAM10,NUMB,ITGB1,CCND1,IGF1,NOTCH1,IGF2R,NFKB1,FN1",CD_1E_mineral_abs_AD
query_1,TRUE,9.604424054471569e-11,700,143,34,0.23776223776223776,0.04857142857142857,REACTOME_TRANSPORT_OF_SMALL_MOLECULES,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSPORT_OF_SMALL_MOLECULES,12733,3071,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ATP7A,ATP11A,APOE,SLC30A2,ABCA10,SLC24A1,ABCC4,ABCA9,ABCB5,ABCC5,ABCA5,ABCC11,ABCG8,ABCG1,ATP2B1,ATP9A,ABCG2,HFE,ABCG5,ABCB1,ABCC2,SOAT1,ABCC1,ABCB6,STOM,ATP13A1,CFTR,HMOX2,CP,SLC2A9,ABCB4,ABCA6,CLCN7,APOA1",CD_1E_mineral_abs_AD
query_1,TRUE,1.8578794470236201e-9,49,143,11,0.07692307692307693,0.22448979591836735,WP_VITAMIN_B12_METABOLISM,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_VITAMIN_B12_METABOLISM,12733,4006,,"X,X,X,X,X,X,X,X,X,X,X","APOE,IL1B,INSR,CCL2,MMAB,IL6,SOD3,IFNG,NFKB1,APOA1,TNF",CD_1E_mineral_abs_AD
query_1,TRUE,2.603946460668596e-9,18,143,8,0.055944055944055944,0.4444444444444444,REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,12733,1356,,"X,X,X,X,X,X,X,X","ABCA10,ABCA9,ABCA5,ABCG8,ABCG1,ABCG5,ABCA6,APOA1",CD_1E_mineral_abs_AD
query_1,TRUE,2.735024272385357e-7,99,143,12,0.08391608391608392,0.12121212121212122,WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY,12733,3302,,"X,X,X,X,X,X,X,X,X,X,X,X","CLU,ATP11A,CASP7,CASP8,CASP3,VTN,CD55,PROS1,CFI,C3AR1,IFNG,AXL",CD_1E_mineral_abs_AD
query_1,TRUE,3.140687175828962e-7,305,143,19,0.13286713286713286,0.06229508196721312,WP_NUCLEAR_RECEPTORS_METAPATHWAY,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_NUCLEAR_RECEPTORS_METAPATHWAY,12733,3749,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","SLC39A11,ABCC4,ABCC5,ABCG8,ABCG5,ABCB1,ABCC2,STOM,IL1B,CCND1,CCL2,SOD3,SLC2A9,IFNG,ABCB4,SERPINA1,APOA1,STAT3,TNF",CD_1E_mineral_abs_AD
query_1,TRUE,4.687111454794962e-7,248,143,17,0.11888111888111888,0.06854838709677419,WP_ALZHEIMERS_DISEASE_AND_MIRNA_EFFECTS,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ALZHEIMERS_DISEASE_AND_MIRNA_EFFECTS,12733,3194,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","PSEN1,APOE,PIK3R1,CASP7,EIF2AK3,ITPR2,CASP8,CASP3,BACE1,ADAM10,IL1B,INSR,IL6,PIK3C3,TNFRSF1A,NFKB1,TNF",CD_1E_mineral_abs_AD
query_1,TRUE,4.687111454794962e-7,248,143,17,0.11888111888111888,0.06854838709677419,WP_ALZHEIMERS_DISEASE,c2.cp.v2025.1.Hs.symbols,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ALZHEIMERS_DISEASE,12733,3193,,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","PSEN1,APOE,PIK3R1,CASP7,EIF2AK3,ITPR2,CASP8,CASP3,BACE1,ADAM10,IL1B,INSR,IL6,PIK3C3,TNFRSF1A,NFKB1,TNF",CD_1E_mineral_abs_AD
